N	2gram	Tiupa_Teor	Tvorches
1	и в	24	56
2	как бы	8	41
3	в его	12	37
4	в романе	3	34
5	в то	9	30
6	то же	12	25
7	в году	2	24
8	не только	24	24
9	же время	8	24
10	но в	12	24
11	как и	6	23
12	то есть	22	23
13	и не	17	23
14	а в	15	23
15	и его	11	23
16	в этом	12	22
17	что в	10	21
18	в том	20	21
19	он не	5	19
20	том что	11	19
21	может быть	22	19
22	потому что	3	19
23	у него	2	18
24	то что	6	18
25	таким образом	3	17
26	и на	2	17
27	что он	4	17
28	все это	2	17
29	при этом	20	16
30	но и	14	16
31	никогда не	4	16
32	как в	5	16
33	прежде всего	3	16
34	не может	8	16
35	xix века	2	15
36	в мире	26	15
37	в этой	3	15
38	с его	6	15
39	и даже	2	14
40	это не	4	14
41	о том	2	13
42	времени в	2	13
43	а не	14	13
44	в котором	1	12
45	тем самым	6	12
46	в целом	4	12
47	в своей	8	11
48	все же	1	11
49	отнюдь не	3	11
50	для него	5	11
51	что достоевский	1	11
52	в самом	7	10
53	творческого процесса	1	10
54	в русской	6	10
55	не в	9	10
56	в конце	2	10
57	только в	9	10
58	так и	14	10
59	но не	13	10
60	как будто	2	10
61	в душе	9	9
62	в своих	1	9
63	первой части	2	9
64	а затем	2	9
65	и от	1	9
66	один из	2	9
67	жизни в	2	9
68	в свою	4	9
69	в нем	7	9
70	даже в	3	8
71	именно в	3	8
72	в соответствии	3	8
73	не менее	6	8
74	так же	2	8
75	ивана карамазова	1	8
76	хотя и	4	8
77	одним из	3	8
78	это уже	1	8
79	вместе с	2	8
80	тогда как	18	8
81	соответствии с	2	8
82	одной из	2	8
83	еще не	6	8
84	в себе	14	8
85	так как	1	8
86	романе достоевского	1	8
87	в их	4	8
88	на его	1	8
89	об этом	2	8
90	вовсе не	3	8
91	по сути	5	8
92	человека и	2	8
93	русской литературе	2	7
94	в этих	4	7
95	и сам	4	7
96	например в	3	7
97	уже не	6	7
98	казалось бы	2	7
99	что она	2	7
100	в которой	3	7
101	в чем	2	7
102	в рассказе	2	7
103	не случайно	5	7
104	своего рода	11	7
105	самом деле	2	7
106	сути дела	3	7
107	читателя в	4	7
108	в момент	3	6
109	в принципе	7	6
110	не столько	7	6
111	и как	3	6
112	конечном счете	6	6
113	если он	1	6
114	но у	1	6
115	одна из	1	6
116	его в	4	6
117	в конечном	6	6
118	так что	1	6
119	и ее	4	6
120	с ним	1	6
121	если бы	3	6
122	приводит к	6	6
123	в повести	2	6
124	все эти	3	6
125	ли не	1	6
126	место в	7	6
127	более не	2	5
128	и другие	2	5
129	быть может	1	5
130	в них	2	5
131	с другой	9	5
132	по отношению	10	5
133	как правило	5	5
134	в своем	7	5
135	в одной	1	5
136	во всей	3	5
137	из них	1	5
138	что они	2	5
139	в ее	6	5
140	что и	2	5
141	не было	1	5
142	что не	1	5
143	в таком	3	5
144	я не	2	5
145	и это	2	5
146	а с	3	5
147	героя и	6	5
148	что это	1	5
149	если не	1	5
150	между тем	5	5
151	в первой	6	5
152	дело не	2	5
153	однако это	1	5
154	не так	1	5
155	на деле	2	5
156	с этим	1	5
157	самим собой	4	5
158	в творческом	1	5
159	в истории	1	5
160	до конца	1	5
161	том же	1	5
162	но если	1	5
