N	3gram	Bakhtin_Fr	Analitik
1	в том что	6	25
2	не может быть	5	19
3	по отношению к	2	18
4	в то же	5	16
5	о том что	3	15
6	в отличие от	4	14
7	то же время	5	14
8	той или иной	5	14
9	к тому же	1	13
10	так и не	3	10
11	того или иного	1	9
12	с другой стороны	1	9
13	в том чтобы	1	9
14	подобно тому как	2	9
15	с одной стороны	2	9
16	с точки зрения	6	8
17	как и в	1	8
18	не только в	5	8
19	в этом отношении	5	8
20	в свое время	5	7
21	во всяком случае	2	7
22	в той или	5	5
23	не только не	1	5
24	но и в	5	5
25	в этом случае	1	5
26	в самом начале	1	4
27	до известной степени	2	4
28	в самом деле	1	4
29	для того чтобы	2	4
30	тех или иных	1	4
31	и не может	2	4
32	большей или меньшей	7	4
33	в известном смысле	1	4
34	в значительной степени	4	4
35	том что он	1	4
36	в основе своей	2	4
37	в том числе	10	3
38	далеко не всегда	1	3
39	сами по себе	1	3
40	как нам кажется	1	3
41	в связи с	1	3
42	как раз и	2	3
43	то есть в	5	3
44	можно сказать что	3	3
45	и той же	1	3
46	включает в себя	3	3
47	дело в том	2	3
48	содержит в себе	2	3
49	одной и той	1	3
50	не могут быть	2	3
51	между тем в	1	3
52	выходит далеко за	1	2
53	в применении к	3	2
54	во внешнем мире	1	2
55	в себя момент	1	2
56	друг с другом	2	2
57	до сих пор	7	2
58	лишь в самом	1	2
59	и прежде всего	4	2
60	тому же в	1	2
61	это означает что	1	2
62	как если бы	1	2
63	так и на	3	2
64	в тех случаях	1	2
65	во многих отношениях	1	2
66	в борьбе с	1	2
67	они могут быть	1	2
68	карнавал переживаемый в	1	2
69	переживаемый в одиночку	1	2
70	на то что	1	2
71	а между тем	1	2
72	на этот вопрос	2	2
73	в одной из	1	2
74	но в то	2	2
75	в отрыве от	2	2
76	по своей природе	1	2
77	при этом что	2	2
78	так и его	2	2
79	в этой системе	1	2
80	с самим собой	1	2
81	тех случаях когда	1	2
82	же время в	1	2
83	прежде всего в	1	2
84	нет и не	1	2
85	с этого момента	1	2
86	в целом ряде	2	1
87	не могла не	1	1
88	для него самого	1	1
89	в дальнейшем мы	1	1
90	и на всех	1	1
91	или защита гротескно-комического	1	1
92	непререкаемости и незыблемости	1	1
93	пределы кажущейся ложной	1	1
94	при всей их	2	1
95	в себе в	1	1
96	не подлежит никакому	2	1
97	но еще и	1	1
98	и его эстетической	1	1
99	незыблемости существующего мира	1	1
100	ее карнавальным лоном	1	1
101	мы видим что	1	1
102	в пределах одной	2	1
103	во всех этих	2	1
104	в себя и	1	1
105	породившим ее карнавальным	1	1
106	условие ее постоянного	1	1
