N	2gram	Tiupa_Vved	ViktorSh
1	а.н веселовского	1	2
2	в конце	3	2
3	и в	23	2
4	в том	21	2
5	теории прозы	1	2
6	том что	16	2
7	в другом	2	1
8	но это	4	1
9	одно и	1	1
10	столь же	3	1
11	том же	1	1
12	в самом	6	1
13	и т.д	6	1
14	предлагает нам	1	1
15	для них	3	1
16	а только	3	1
17	именно в	1	1
18	все то	1	1
19	ни к	3	1
20	самом деле	6	1
21	здесь достаточно	1	1
22	и составляет	3	1
23	ясно что	2	1
24	речи и	1	1
25	в частности	19	1
26	и то	1	1
27	так в	5	1
28	крайней мере	1	1
29	не хотел	1	1
30	этом и	2	1
31	и его	9	1
32	сводится к	6	1
33	даже не	1	1
34	к чему	1	1
35	значительной степени	2	1
36	хотя бы	2	1
37	по поводу	5	1
38	далеко не	5	1
39	тем более	3	1
40	по крайней	1	1
41	в которых	2	1
42	к этому	3	1
43	о теории	1	1
44	только в	9	1
45	одном и	1	1
46	потому что	7	1
47	в значительной	2	1
48	в их	2	1
49	и только	2	1
50	то же	8	1
51	по своим	3	1
52	чего не	1	1
53	и не	24	1
54	гораздо более	1	1
55	собственно и	2	1
56	дело в	1	1
57	да и	3	1
58	в этом	27	1
59	все это	3	1
