N	4gram	Losev_Prob	slovoVRo
1	в то же время	1	18
2	в той или иной	2	13
3	но в то же	2	7
4	с этой точки зрения	2	2
5	ни в чем не	2	2
6	в то время как	4	2
7	то же время это	1	2
8	и ни в чем	1	1
9	в нем не только	1	1
10	во всяком случае не	1	1
11	стремится к своему пределу	1	1
12	дело в том что	4	1
13	в том что в	1	1
14	ни в какой степени	1	1
15	в связи с этим	1	1
16	каковы бы ни были	1	1
17	в своей книге о	1	1
18	в том числе и	1	1
19	которые в свою очередь	1	1
20	с точки зрения которого	1	1
21	в том что он	2	1
22	которые в той или	1	1
23	все более и более	1	1
24	бы то ни было	2	1
25	и с точки зрения	1	1
26	заключается в том чтобы	1	1
27	прежде чем перейти к	1	1
28	тем не менее в	2	1
29	проявляется в том что	1	1
30	в какой степени не	1	1
