1	один и тот же	2	3
2	в то же время	6	2
3	уже не может быть	2	2
4	бы то ни было	1	2
5	в его превосходной книге	1	1
6	в каких бы условиях	1	1
7	только в том что	1	1
8	для того чтобы знать	1	1
9	и в то же	2	1
10	во всех этих случаях	1	1
11	конечно не может быть	1	1
12	в данный момент в	1	1
13	несмотря на то что	1	1
14	позицию по отношению к	1	1
15	и тем не менее	7	1
16	а только в том	2	1
17	в том случае когда	3	1
18	в этом смысле можно	1	1
19	но во всяком случае	1	1
20	по отношению к таким	1	1
21	для себя и для	1	1
22	одного и того же	4	1
23	но для того чтобы	3	1
24	с нашей точки зрения	1	1
25	имеет дело лишь с	1	1
26	то же самое что	1	1
27	дело в том что	1	1
28	в то или иное	1	1
29	того или иного индивидуума	1	1
