N	4gram	Nazirov_Tv	slovoVRo
1	в то же время	18	18
2	но в то же	5	7
3	и в то же	2	6
4	и не может быть	2	2
5	ни в чем не	1	2
6	или во всяком случае	1	2
7	то же время он	2	2
8	на самом же деле	1	1
9	мы имеем в виду	1	1
10	в начале xx века	1	1
11	в этом романе и	1	1
12	дело в том что	4	1
13	в том что в	3	1
14	уже говорили что в	1	1
15	мы уже говорили что	1	1
16	между настоящим и прошлым	1	1
17	нет и не может	1	1
18	в том числе и	1	1
19	дело не только в	1	1
20	все более и более	1	1
21	бы то ни было	1	1
22	с другой стороны и	1	1
23	одну и ту же	1	1
24	в целом ряде случаев	1	1
25	так же как и	1	1
