N	3gram	Tiupa_Narr	VelikijI
1	в первый раз	1	3
2	в том что	8	2
3	которым можно было	2	2
4	том что он	1	2
5	и над ними	1	2
6	не могли бы	1	1
7	так и в	1	1
8	и должна быть	1	1
9	никогда не было	1	1
10	свободного выбора в	1	1
11	и в форме	2	1
12	на том свете	2	1
13	есть прежде всего	1	1
14	как и в	1	1
15	что нет у	2	1
16	по крайней мере	1	1
17	в мире и	1	1
18	и не было	1	1
19	как это случилось	1	1
20	но все же	4	1
21	с другой стороны	4	1
22	в известном смысле	2	1
23	бы то ни	3	1
24	но от этого	1	1
