N	2gram	Trubetskoy	Vvedenie
1	в том	11	38
2	в этом	15	35
3	и в	26	35
4	может быть	10	30
5	том что	7	30
6	не только	10	26
7	для того	5	23
8	того чтобы	5	22
9	таким образом	22	21
10	не может	4	19
11	то что	7	19
12	потому что	7	18
13	только в	4	16
14	о том	6	16
15	так как	9	15
16	представляет собой	3	14
17	в общем	8	14
18	что в	9	13
19	в самом	4	13
20	и не	8	13
21	в нем	4	13
22	в его	5	12
23	того что	3	12
24	в их	1	12
25	точки зрения	13	12
26	что такое	1	12
27	как на	8	12
28	то же	4	11
29	в ее	1	11
30	по себе	1	11
31	в данном	1	11
32	ясно что	3	11
33	прежде всего	2	10
34	не в	2	10
35	между тем	2	10
36	в той	1	10
37	но в	7	10
38	дело с	1	9
39	представляют собой	1	9
40	тем не	3	9
41	смысле этого	1	9
42	все же	6	9
43	из этих	10	9
44	но не	8	9
45	и как	3	9
46	не менее	3	9
47	это не	1	8
48	в качестве	3	8
49	как нечто	1	8
50	именно в	2	8
51	о котором	2	8
52	широком смысле	1	8
53	с другой	8	8
54	представить себе	1	7
55	до сих	5	7
56	смысле слова	1	7
57	в широком	1	7
58	как и	1	7
59	самом деле	1	7
60	но и	9	7
61	сих пор	5	7
62	в разных	2	7
63	с течением	3	7
64	было бы	1	7
65	только как	1	7
66	этот вопрос	1	7
67	как бы	12	7
68	течением времени	3	7
69	один из	2	6
70	все это	6	6
71	не могут	2	6
72	его в	1	6
73	на этот	4	6
74	тем что	1	6
75	с тем	18	6
76	а именно	1	6
77	вместе с	15	6
78	в которых	4	6
79	же время	2	6
80	и это	2	6
81	так например	2	6
82	уже не	3	6
83	мере в	1	6
84	и даже	3	6
85	хотя бы	3	6
86	и что	4	6
87	сказать что	2	6
88	могут быть	1	6
89	но если	2	6
90	и его	1	6
91	в то	4	6
92	а в	4	6
93	связь между	1	5
94	на почве	1	5
95	а потому	1	5
96	смотреть на	2	5
97	уже в	2	5
98	с этой	3	5
99	что и	6	5
100	в виду	2	5
101	другой стороны	1	5
102	с их	1	5
103	в них	2	5
104	но с	3	5
105	в первом	1	5
106	одним из	2	5
107	не есть	1	5
108	что он	4	5
109	одно из	2	5
110	от этого	1	5
111	по своему	2	5
112	данном случае	1	5
113	культуры в	1	5
114	во всяком	6	5
115	в течение	4	5
116	так что	3	5
117	а не	5	5
118	дело не	1	5
119	и т.д	6	5
120	или вообще	1	5
121	быть в	1	5
122	а как	1	5
123	по языку	1	5
124	есть не	1	5
125	всяком случае	6	5
126	в прямом	1	4
127	только что	2	4
128	с одной	7	4
129	тогда когда	2	4
130	с точки	6	4
131	этом отношении	2	4
132	о чем	1	4
133	как раз	1	4
134	в результате	3	4
135	по мере	1	4
136	в виде	4	4
137	в себе	6	4
138	должен был	4	4
139	так или	3	4
140	но все	7	4
141	из двух	1	4
142	или иначе	3	4
143	в одном	3	4
144	в котором	4	4
145	заключается в	1	4
146	и ее	1	4
147	как она	1	4
148	в своей	1	4
149	да и	1	4
150	сравнению с	2	4
151	в чем	1	4
152	к тому	6	4
153	по крайней	5	4
154	еще не	2	4
155	однако не	1	4
156	не имеет	5	4
157	еще и	1	4
158	как о	3	4
159	от характера	1	4
160	одной стороны	7	4
161	по сравнению	2	4
162	связана с	2	4
163	по отношению	1	4
164	мы имеем	2	4
165	не вполне	3	4
166	так называемых	1	4
167	отличие от	1	4
168	в отличие	1	4
169	крайней мере	5	4
170	можно сказать	3	4
171	той же	1	4
172	отношению к	3	4
173	одной из	5	4
174	в области	9	4
175	все более	1	4
176	только с	1	4
177	и для	5	4
178	из них	7	4
179	прямом смысле	1	4
180	и к	5	3
181	в свое	1	3
182	с этим	1	3
183	невозможно но	1	3
184	что с	1	3
185	можно говорить	1	3
186	и здесь	2	3
187	и на	2	3
188	данного народа	1	3
189	этой области	1	3
190	того как	1	3
191	зависит от	1	3
192	обе эти	1	3
193	при этом	3	3
194	что это	3	3
195	в сущности	1	3
196	из которых	4	3
197	не как	2	3
198	и римлян	1	3
199	в отношении	6	3
200	в этих	4	3
201	чем в	1	3
202	связи с	9	3
203	если бы	3	3
204	а также	2	3
205	в силу	5	3
206	в очень	1	3
207	во внимание	1	3
208	том виде	2	3
209	за собой	3	3
210	в конце	6	3
211	относящиеся к	1	3
212	находит себе	1	3
213	вряд ли	1	3
214	одновременно и	2	3
215	как в	1	3
216	в каком	1	3
217	той или	2	3
218	и того	1	3
219	бы и	1	3
220	на этой	1	3
221	и других	1	3
222	все эти	6	3
223	и есть	1	3
224	что даже	1	3
225	на этом	1	3
226	до нас	1	3
227	духовной жизни	1	3
228	так называемой	2	3
229	в значительной	3	3
230	входит в	1	3
231	по возможности	1	3
232	же как	3	3
233	так чтобы	2	3
234	в строгом	1	3
235	совсем не	1	3
236	в ней	1	3
237	времени в	1	3
238	и тогда	4	3
239	в слове	1	3
240	только на	1	3
241	не с	2	3
242	греков и	1	3
243	в этой	4	3
244	же самое	2	3
245	в начале	2	3
246	не следует	1	3
247	того же	6	3
248	так же	5	3
249	при помощи	1	3
250	идет речь	1	3
251	отчет в	1	3
252	отношение к	5	3
253	однако в	1	3
254	на нее	3	3
255	в своем	3	3
256	или иной	2	3
257	что она	1	3
258	язык в	1	3
259	здесь не	1	3
260	он сам	1	3
261	к этому	3	3
262	для этого	2	3
263	что уже	1	3
264	мы видели	2	3
265	к нему	7	3
266	никогда не	5	3
267	или иным	1	2
268	при жизни	4	2
269	еще при	1	2
270	так и	6	2
271	должна была	2	2
272	и другие	3	2
273	что они	1	2
274	во втором	1	2
275	что оно	4	2
276	научного анализа	1	2
277	после того	1	2
278	ни с	1	2
279	и сейчас	2	2
280	первом случае	1	2
281	мы не	1	2
282	и должно	1	2
283	ли быть	1	2
284	и далее	1	2
285	несмотря на	6	2
286	прийти к	1	2
287	ни к	1	2
288	учение о	4	2
289	это уже	1	2
290	и из	2	2
291	труда и	1	2
292	котором здесь	1	2
293	не исчерпывается	2	2
294	с системой	1	2
295	явлениями в	1	2
296	него в	1	2
297	данной национальной	1	2
298	себя в	1	2
299	у нас	1	2
300	славянской и	1	2
301	лежит в	1	2
302	между русскими	1	2
303	в своих	1	2
304	не было	2	2
305	этой точки	2	2
306	а во-вторых	1	2
307	что к	1	2
308	и с	10	2
309	без остатка	2	2
310	с ней	3	2
311	то о	1	2
312	которое в	1	2
313	значение в	1	2
314	виде в	2	2
315	себе задачей	1	2
316	это есть	1	2
317	по существу	2	2
318	и прочими	1	2
319	с конца	1	2
320	жизни и	2	2
321	и требует	1	2
322	к разным	1	2
323	том или	1	2
324	случае не	3	2
325	в связи	3	2
326	но пока	1	2
327	в соответствии	1	2
328	и так	1	2
329	следовательно и	1	2
330	и при	3	2
331	или ином	1	2
332	тем или	1	2
333	по тем	1	2
334	ее частей	1	2
335	о которых	1	2
336	к культуре	2	2
337	в каждой	1	2
338	как только	1	2
339	могло бы	1	2
340	целого и	1	2
341	и те	3	2
342	казалось бы	1	2
343	влечет за	2	2
344	во всех	2	2
345	и потому	6	2
346	мы можем	2	2
347	а с	7	2
348	не существует	1	2
349	не могли	1	2
350	бы с	1	2
351	на задний	1	2
352	что мы	2	2
353	когда мы	1	2
354	так называемая	1	2
355	мы уже	1	2
356	ничего не	1	2
357	чтобы он	1	2
358	в свою	2	2
359	задний план	1	2
360	так называемую	2	2
361	в этот	1	2
362	значительной мере	2	2
363	у них	3	2
364	мы должны	6	2
365	быть и	2	2
366	из таких	1	2
367	своему значению	1	2
368	но зато	1	2
369	речь идет	1	2
370	точно так	3	2
371	из него	2	2
372	а между	1	2
373	факт что	1	2
374	и до	1	2
375	это однако	1	2
376	отдать себе	1	2
377	тогда как	1	2
378	свою очередь	1	2
379	она была	1	2
380	не совпадает	1	2
381	состоит в	2	2
382	может ли	2	2
383	что здесь	1	2
384	соответствии с	1	2
385	русскими и	1	2
386	природы и	1	2
387	но вместе	2	2
388	не похожи	1	2
389	должно быть	1	2
390	одного и	1	2
391	них не	2	2
392	языка как	1	2
393	в известных	1	2
394	а так	3	2
395	том же	1	2
396	а отсюда	1	2
397	тем более	1	2
398	языка с	1	2
399	иной раз	2	2
400	с помощью	1	2
401	чаще всего	1	2
402	что именно	2	2
403	на то	2	2
404	в создании	2	2
405	его к	1	2
406	надо было	2	2
407	этого слова	1	2
408	но это	1	2
409	конце концов	3	2
410	которого мы	1	2
411	так называемые	3	2
412	его можно	2	2
413	бы в	1	2
414	и совершенно	1	2
415	т.д в	1	2
416	не к	2	2
417	котором он	1	2
418	можно только	2	2
419	из поля	1	1
420	все в	1	1
421	к лицу	1	1
422	здесь идет	1	1
423	то в	1	1
424	трудно сказать	1	1
425	только тогда	1	1
426	к общему	1	1
427	утверждать что	2	1
428	с которого	2	1
429	связи и	1	1
430	все что	2	1
431	из человеческих	2	1
432	взгляд на	2	1
433	котором они	1	1
434	мы видим	1	1
435	та же	1	1
436	нужные для	1	1
437	она и	1	1
438	его нельзя	1	1
439	народа в	1	1
440	они не	1	1
441	может не	1	1
442	в вопросах	1	1
443	различие между	1	1
444	по тому	2	1
445	в момент	1	1
446	бы то	2	1
447	бытие не	1	1
448	жить в	1	1
449	ли они	2	1
450	известно что	1	1
451	воплощения в	1	1
452	к одной	2	1
453	жизни а	1	1
454	нужно было	1	1
455	время и	1	1
456	как к	1	1
457	за исключением	1	1
458	от природы	1	1
459	в общих	1	1
460	том числе	5	1
461	гораздо менее	2	1
462	далеком прошлом	1	1
463	притом не	1	1
464	для себя	1	1
465	мы знаем	1	1
466	отношения к	1	1
467	или по	2	1
468	новое и	1	1
469	для него	3	1
470	которых он	1	1
471	специализировались на	1	1
472	то для	1	1
473	ни было	2	1
474	с ним	1	1
475	особенности этого	1	1
476	который можно	1	1
477	в пользу	2	1
478	кроме того	1	1
479	растворилась в	1	1
480	он умеет	1	1
481	есть один	1	1
482	что так	1	1
483	одном и	1	1
484	которых каждый	1	1
485	между этим	1	1
486	это изменение	1	1
487	от этой	1	1
488	и за	1	1
489	согласно которой	1	1
490	с внешней	1	1
491	и о	3	1
492	по образцу	1	1
493	требует от	2	1
494	европейской культуры	3	1
495	далее в	1	1
496	лицом к	1	1
497	его от	2	1
498	уважении к	1	1
499	на которой	1	1
500	здесь таким	1	1
501	но одно	1	1
