N	4gram	Vygotskiy_	Analitik
1	в то же время	1	14
2	состоит в том что	2	7
3	не что иное как	2	6
4	одного и того же	2	6
5	мы имеем дело с	1	5
6	в том что он	2	4
7	в том или ином	1	4
8	не в том чтобы	1	3
9	дело в том что	2	3
10	одной и той же	4	3
11	бы то ни было	1	3
12	с этой точки зрения	3	2
13	в каждом отдельном случае	1	2
14	мысль о том что	1	2
15	один и тот же	1	2
16	какой бы то ни	1	2
17	заключается в том что	6	2
18	одно и то же	3	2
19	одна и та же	2	1
20	прибавим к этому что	1	1
21	и в том что	1	1
22	которая сама по себе	1	1
23	в том что по	1	1
24	а не только в	1	1
25	и в самом деле	2	1
26	это означает что в	1	1
27	не для того чтобы	1	1
28	том и заключается что	2	1
29	до тех пор пока	2	1
30	и тот же самый	1	1
31	брожу ли я вдоль	1	1
32	клянется ей в вечной	1	1
33	в том и заключается	3	1
34	никак не может быть	1	1
35	я вдоль улиц шумных	1	1
36	в том что именно	1	1
37	что касается искусства то	1	1
38	том что он не	1	1
39	той точки зрения которая	1	1
40	за минуту до этого	1	1
41	о том что искусство	1	1
42	ни одна из них	1	1
43	так же точно и	2	1
44	в самом деле как	1	1
45	несмотря на то что	1	1
46	на то что все	1	1
47	обстоит дело и в	1	1
48	вместе с ним и	1	1
49	в собственном смысле слова	2	1
50	что в конце концов	2	1
51	ей в вечной любви	1	1
52	приводит к тому что	1	1
53	и в этом смысле	1	1
54	одним и тем же	3	1
55	в том что мы	1	1
56	в конечном счете к	1	1
57	в сущности сводится к	1	1
58	ответ на этот вопрос	2	1
59	ли я вдоль улиц	1	1
