N	2gram	Propp_Morf	Mirosoze
1	и в	17	97
2	может быть	61	64
3	не только	8	63
4	в этом	18	55
5	но и	9	54
6	он не	5	53
7	а не	11	53
8	не может	19	49
9	у него	2	47
10	и не	16	39
11	потому что	7	37
12	не в	3	34
13	и есть	3	33
14	для него	2	31
15	не есть	1	30
16	но он	1	30
17	как и	4	29
18	прежде всего	14	29
19	в мире	1	27
20	но в	4	27
21	в своей	1	25
22	он был	1	25
23	и это	1	25
24	и все	1	24
25	у нас	3	24
26	ведет к	1	23
27	что в	10	23
28	что он	5	22
29	в себе	1	20
30	отношение к	1	20
31	в россии	2	19
32	как бы	6	19
33	в его	1	18
34	того что	3	17
35	том что	7	16
36	в том	10	16
37	то что	10	16
38	было бы	5	16
39	и его	3	16
40	духа в	1	15
41	в котором	1	15
42	не знает	2	15
43	в этой	3	15
44	она не	2	14
45	так как	20	14
46	та же	3	13
47	и на	1	13
48	друг друга	3	13
49	и вот	1	13
50	привести к	1	12
51	в них	1	12
52	он сам	1	12
53	к нему	3	12
54	и у	3	12
55	но не	8	12
56	смысле слова	4	12
57	это не	6	12
58	все это	2	12
59	и к	4	11
60	с тем	2	11
61	уже не	4	11
62	хотя бы	5	11
63	в которой	3	11
64	в русской	1	11
65	только в	3	11
66	как в	5	11
67	и там	1	11
68	но это	6	11
69	и для	4	11
70	то же	10	10
71	так же	4	10
72	один из	7	10
73	должна быть	2	10
74	не могут	7	10
75	не имеет	2	10
76	это и	3	10
77	связана с	3	10
78	есть не	1	10
79	все что	1	9
80	из самых	1	9
81	к тому	5	9
82	должно быть	1	9
83	что и	10	9
84	не будет	1	9
85	доходит до	1	9
86	в свою	1	9
87	есть и	4	9
88	а в	8	9
89	от него	2	8
90	в этих	17	8
91	и с	1	8
92	тем что	4	8
93	о том	6	8
94	вопрос о	10	8
95	себя в	2	8
96	т е	25	8
97	что не	1	8
98	не так	2	8
99	еще в	1	8
100	нет в	1	8
101	того чтобы	4	8
102	есть путь	1	8
103	с его	3	8
104	ничего не	5	8
105	они не	3	8
106	только и	1	8
107	для того	3	8
108	во всем	1	7
109	если он	2	7
110	не существует	3	7
111	в нашем	6	7
112	что все	1	7
113	точки зрения	7	7
114	она есть	1	7
115	те же	1	7
116	чем в	2	7
117	что она	2	7
118	на этом	4	7
119	отношения к	1	7
120	себя и	2	7
121	более чем	1	7
122	он в	1	7
123	мог бы	1	7
124	но если	10	7
125	высшей степени	1	7
126	в высшей	1	7
127	свобода в	1	7
128	также и	6	7
129	как он	1	7
130	все еще	3	7
131	к другу	2	6
132	же и	1	6
133	самого себя	2	6
134	с этой	3	6
135	не как	1	6
136	к концу	1	6
137	и нет	1	6
138	увидим что	2	6
139	на пути	4	6
140	и те	1	6
141	всего в	1	6
142	там и	1	6
143	его в	4	6
144	к чему	3	6
145	и она	1	6
146	совсем не	3	6
147	можно было	4	6
148	и здесь	7	6
149	друг к	2	6
150	что это	3	6
151	если бы	3	6
152	в которых	2	6
153	бы не	1	6
154	к людям	1	6
155	в образе	6	6
156	в ее	1	6
157	того как	2	6
158	и более	2	6
159	на все	1	6
160	тех которые	1	6
161	его не	1	6
162	быть и	2	6
163	к ней	3	6
164	на то	3	6
165	еще не	4	5
166	бы в	2	5
167	которые не	1	5
168	одно из	1	5
169	с собой	3	5
170	и как	6	5
171	с этим	14	5
172	во всяком	2	5
173	мы увидим	10	5
174	говорит что	1	5
175	перед ним	1	5
176	сказать что	4	5
177	момент в	2	5
178	все ли	2	5
179	после того	1	5
180	сих пор	1	5
181	вопроса о	3	5
182	должны быть	2	5
183	в то	4	5
184	для чего	1	5
