N	2gram	Bakhtin_Fr	SlovoVZh
1	не может	9	16
2	может быть	11	14
3	точки зрения	10	14
4	как бы	33	13
5	и его	24	13
6	таким образом	5	12
7	и в	105	12
8	отношению к	2	11
9	по отношению	2	11
10	в нашем	3	11
11	и не	34	10
12	так как	11	9
13	если бы	1	9
14	прежде всего	26	8
15	для нас	5	7
16	сказать что	12	7
17	в ней	7	6
18	слова и	1	6
19	с помощью	1	6
20	в том	17	6
21	в процессе	2	6
22	только в	16	6
23	в нем	16	6
24	при этом	10	6
25	и др	32	5
26	можно сказать	4	5
27	что мы	2	5
28	хотя бы	2	5
29	должна быть	1	5
30	то же	6	5
31	а не	1	5
32	в виду	5	5
33	то что	7	5
34	в жизни	7	5
35	как и	15	5
36	как в	6	5
37	том что	9	5
38	и следовательно	3	5
39	но в	16	5
40	никогда не	11	5
41	в самом	7	4
42	и к	7	4
43	в литературе	9	4
44	и на	25	4
45	свое выражение	1	4
46	не только	24	4
47	на самом	6	4
48	как если	1	4
49	за пределы	10	4
50	от того	2	4
51	его в	7	4
52	литературы и	7	4
53	с другой	3	4
54	не в	4	4
55	дело в	2	4
56	отношение к	9	4
57	что не	3	4
58	так и	16	4
59	уже не	3	4
60	жизни и	14	4
61	в этом	22	4
62	все же	10	4
63	к нему	5	4
64	как к	3	3
65	и с	8	3
66	находит свое	2	3
67	до сих	7	3
68	это как	5	3
69	и более	4	3
70	в котором	1	3
71	и по	3	3
72	и пр	5	3
73	так называемой	1	3
74	мы не	1	3
75	между тем	5	3
76	для него	12	3
77	отношении к	1	3
78	с ним	6	3
79	того что	3	3
80	и уже	1	3
81	в некоторых	2	3
82	имеет в	1	3
83	все это	16	3
84	ни в	1	3
85	в пределах	3	3
86	конечно не	2	3
87	по себе	1	3
88	так же	2	3
89	в них	13	3
90	в творчестве	2	3
91	самом деле	3	3
92	только на	3	3
93	но для	3	3
94	в себе	7	3
95	ясно что	1	3
96	все эти	15	3
97	о том	5	3
98	в своей	8	3
99	здесь не	3	3
100	не менее	2	3
101	в такой	1	3
102	нуждается в	1	3
103	да и	5	3
104	но и	20	3
105	ведь и	1	3
106	и для	3	3
107	точек зрения	1	3
108	точка зрения	3	3
109	и ее	1	3
110	и наконец	2	3
111	сих пор	7	3
112	и вообще	5	3
113	формы и	7	3
114	не к	2	3
115	еще не	8	3
116	в особенности	7	2
117	что в	4	2
118	этих двух	2	2
119	все они	1	2
120	нет ничего	3	2
121	перестает быть	3	2
122	но это	5	2
123	и потому	14	2
124	действия и	1	2
125	вместе со	1	2
126	и другие	10	2
127	смысл и	1	2
128	ни на	3	2
129	какой степени	1	2
130	выражение в	5	2
131	опираясь на	1	2
132	мы можем	2	2
133	влияние на	8	2
134	произведение и	1	2
135	в то	5	2
136	еще раз	4	2
137	которые мы	1	2
138	сливается с	1	2
139	нас и	1	2
140	в основном	4	2
141	с одной	2	2
142	совпадает с	1	2
143	уже в	5	2
144	там где	3	2
145	в его	24	2
146	с этой	1	2
147	она не	2	2
148	это не	4	2
149	одной стороны	2	2
150	автора и	2	2
151	относится к	4	2
152	как уже	1	2
153	с точки	6	2
