N	2gram	Vinokur_St	IolandNe
1	стр и	5	7
2	и с	6	3
3	что в	41	2
4	не утверждал	1	2
5	самого себя	1	2
6	он не	11	2
7	должен быть	3	2
8	бы что	3	2
9	ничего не	6	2
10	и не	23	2
11	в этом	37	2
12	неудивительно что	2	1
13	говорить о	3	1
14	все эти	7	1
15	для того	15	1
16	и очень	5	1
17	а в	18	1
18	и о	4	1
19	же это	3	1
20	к нам	1	1
21	жил в	3	1
22	утверждает что	1	1
23	это было	2	1
24	г стр	1	1
25	у всех	1	1
26	то получается	1	1
27	такая мелочь	1	1
28	и та	1	1
29	что для	4	1
30	для него	10	1
31	вплоть до	6	1
32	тех же	1	1
33	тем что	6	1
34	не случайно	1	1
35	бы его	1	1
36	а если	2	1
37	того же	4	1
38	не так	2	1
39	сомневаюсь что	1	1
40	и др	1	1
41	первую очередь	2	1
42	не сомневаюсь	1	1
43	жизни и	6	1
44	пушкина и	20	1
45	с другой	11	1
46	в целом	5	1
47	более чем	3	1
48	было не	3	1
49	он с	1	1
50	литература о	2	1
51	точно и	2	1
52	очевидно что	1	1
53	в эту	3	1
54	другой стороны	9	1
55	я не	13	1
56	себя в	1	1
57	могло бы	3	1
58	то и	1	1
59	в первую	2	1
60	что при	3	1
61	если бы	11	1
62	отношению к	3	1
63	в руки	1	1
64	бы все	3	1
65	доказать что	2	1
66	по существу	3	1
67	и сам	4	1
68	того что	14	1
69	а с	6	1
70	по поводу	13	1
71	так то	1	1
72	и тот	1	1
73	творчества пушкина	6	1
74	а также	4	1
75	стр это	1	1
76	так и	15	1
77	мы стали	1	1
78	в основе	4	1
79	в значительной	2	1
80	оказывается для	1	1
81	следовательно в	1	1
82	о ней	1	1
83	от этого	2	1
84	та и	1	1
85	того чтобы	15	1
86	и без	4	1
87	и творчества	2	1
88	другое дело	3	1
89	бы в	2	1
90	на памяти	1	1
91	с жизнью	1	1
92	не дает	2	1
93	а по	1	1
94	есть только	2	1
95	и в	61	1
96	его личности	1	1
97	видит в	1	1
98	что роман	1	1
99	знакомство с	1	1
100	это был	3	1
101	никогда не	7	1
102	и и	2	1
103	все это	13	1
104	по отношению	3	1
105	со всеми	2	1
106	на котором	1	1
107	нисколько не	3	1
108	как о	2	1
109	в них	2	1
110	во многом	3	1
