N	2gram	Voloshinov	BTomashe
1	у нас	1	3
2	все это	3	2
3	в ней	6	2
4	можно было	1	2
5	не то	1	2
6	и не	10	2
7	очень узко	1	1
8	было говорить	1	1
9	словесного творчества	1	1
10	и о	1	1
11	не только	4	1
12	таким образом	12	1
13	не было	1	1
14	прежде всего	8	1
15	бы только	1	1
16	и в	12	1
17	на самом	4	1
18	так и	4	1
19	на которой	1	1
20	это вместе	1	1
21	можно в	1	1
22	в своей	3	1
23	стиля и	1	1
24	во всяком	1	1
25	и потому	2	1
26	и во	1	1
27	за пределы	4	1
28	же не	1	1
29	по крайней	1	1
30	с другой	4	1
31	художественного произведения	7	1
32	как будто	1	1
33	другой стороны	2	1
34	крайней мере	1	1
35	всяком случае	1	1
36	кроме того	2	1
37	было бы	1	1
38	точно и	1	1
39	и ее	3	1
40	в значительной	1	1
41	по поэтике	1	1
42	в пределах	3	1
43	в данном	2	1
44	должна быть	5	1
45	в области	1	1
46	является только	1	1
47	далеко не	1	1
48	тем более	1	1
49	не вполне	1	1
50	и более	3	1
51	что все	1	1
52	художественном произведении	3	1
53	значительной степени	1	1
54	более подробно	1	1
55	а не	5	1
56	отнюдь не	5	1
57	до конца	2	1
58	и на	4	1
59	выходит за	1	1
60	между ними	2	1
61	еще не	3	1
62	автора по	1	1
63	все же	4	1
64	работу по	1	1
65	что в	2	1
