N	2gram	Propp_Russ	Literetu
1	а не	3	50
2	и не	6	47
3	не только	28	46
4	и в	59	44
5	может быть	14	43
6	при этом	11	41
7	но и	20	41
8	тогда как	4	40
9	в том	33	39
10	в этом	18	38
11	своего рода	3	37
12	том что	33	32
13	в частности	2	30
14	то что	10	29
15	в качестве	5	27
16	то же	6	26
17	в году	5	26
18	состоит в	18	26
19	как и	19	23
20	в то	3	23
21	не в	2	22
22	того что	6	22
23	так и	8	22
24	не может	6	22
25	в себе	1	20
26	прежде всего	2	19
27	как бы	18	18
28	с другой	1	17
29	точки зрения	3	17
30	то есть	3	17
31	в его	3	17
32	в жизни	2	16
33	в этой	4	16
34	не менее	3	15
35	в русской	1	15
36	только в	4	15
37	в целом	2	15
38	и даже	1	14
39	по отношению	1	14
40	однако в	1	14
41	что он	2	14
42	уже не	9	13
43	е годы	2	13
44	в своем	3	13
45	с одной	1	13
46	как это	11	13
47	в тексте	1	13
48	но не	7	13
49	и его	2	13
50	в своей	1	12
51	о том	14	12
52	в данном	7	12
53	одной стороны	1	12
54	к себе	1	12
55	одним из	2	12
56	еще не	7	12
57	отношению к	1	12
58	а также	6	12
59	в е	2	12
60	не столько	3	11
61	в другом	1	11
62	никогда не	1	11
63	и сам	1	11
64	еще в	6	11
65	вместе с	16	11
66	как в	10	11
67	в основе	1	11
68	в отличие	4	11
69	с его	1	11
70	данном случае	8	11
71	это не	14	11
72	отличие от	4	11
73	а в	16	11
74	из них	12	10
75	не случайно	2	10
76	что в	35	10
77	и на	14	10
78	для себя	1	10
79	потому что	15	10
80	этом отношении	1	10
81	жизни и	1	10
82	отнюдь не	3	10
83	в области	3	10
84	с этой	2	9
85	на смену	1	9
86	к тому	4	9
87	представляет собой	5	9
88	связи с	6	9
89	один из	10	9
90	что я	1	9
91	одно из	6	9
92	в начале	1	9
93	же в	5	9
94	быть может	1	8
95	в своих	3	8
96	тем что	7	8
97	все же	7	8
98	одна из	12	8
99	того же	1	8
100	ли не	1	8
101	с точки	3	8
102	как раз	1	8
103	на себя	4	8
104	что не	1	8
105	в конце	1	8
106	а именно	2	8
107	но в	5	8
108	уже в	2	8
109	для него	1	8
110	по существу	7	8
111	и как	2	8
112	вплоть до	4	8
113	в одном	4	7
114	на свою	1	7
115	именно в	3	7
116	для этого	6	7
117	как правило	4	7
118	по преимуществу	1	7
119	не как	1	7
120	тому же	1	7
121	в случае	1	7
122	он не	1	7
123	и тем	1	7
124	и с	12	7
125	в нем	3	7
126	из того	1	7
127	наконец в	1	7
128	до конца	5	7
129	друг друга	3	7
130	и для	3	7
131	он и	1	7
132	у нас	11	7
133	в их	5	7
134	так в	5	7
135	и других	9	7
136	это как	1	7
137	тому как	3	7
138	а затем	5	6
139	в виду	3	6
140	например в	3	6
141	как на	2	6
142	и он	1	6
143	в третьем	1	6
144	у него	2	6
145	его в	9	6
146	не было	3	6
147	во всех	6	6
148	в каждом	2	6
149	было бы	3	6
150	подобно тому	3	6
151	самом деле	1	6
152	как о	1	6
153	поэзии и	1	6
154	еще и	1	6
155	то и	4	6
156	тем же	1	6
157	и др	4	6
158	и то	2	6
159	что ему	2	6
160	в ней	3	6
161	далеко не	5	6
162	при всем	1	6
163	как будто	6	6
164	право на	2	6
165	и наконец	2	6
166	и к	3	5
167	к этой	1	5
168	в связи	4	5
169	с собой	4	5
170	жизни как	1	5
171	в нашем	2	5
172	том чтобы	3	5
173	должно быть	2	5
174	несмотря на	4	5
175	тем не	3	5
176	и за	2	5
177	к жизни	3	5
178	не знает	1	5
179	по аналогии	1	5
180	одном из	1	5
181	между тем	9	5
182	так что	4	5
183	эти слова	1	5
184	в силу	2	5
185	во втором	1	5
186	в россии	4	5
187	себя и	2	5
188	следует признать	2	5
189	не с	5	5
190	быть не	1	5
191	так как	25	5
192	мы не	11	5
193	в литературе	1	5
194	как у	2	5
195	что и	8	5
196	в равной	2	5
197	однако не	1	5
198	как он	2	5
199	место в	2	5
200	все еще	1	5
201	не к	3	5
202	что было	1	4
203	исходя из	2	4
204	от имени	1	4
205	но тем	2	4
206	не бывает	1	4
207	в них	10	4
208	с тем	14	4
209	только для	3	4
210	в природе	2	4
211	во всяком	1	4
212	то это	1	4
213	входит в	4	4
214	для того	6	4
215	не всегда	4	4
216	в руках	3	4
217	только на	4	4
218	не вполне	1	4
219	как мы	11	4
220	в путь	1	4
221	него не	1	4
222	под названием	3	4
223	во всей	2	4
224	к этому	7	4
225	хотя и	3	4
226	все время	1	4
227	что его	1	4
228	очевидно что	2	4
229	себе и	1	4
230	на этом	6	4
231	ту же	2	4
232	и что	8	4
233	общего с	1	4
234	могут быть	3	4
235	и есть	1	4
236	можно сказать	1	4
237	из этого	1	4
238	от жизни	1	4
239	и все	4	4
240	в пределах	2	4
241	приводит к	4	4
242	знает что	1	4
243	аналогии с	1	4
244	не является	2	4
245	тех же	1	4
246	в свою	3	4
247	на том	1	4
248	каждый из	3	4
249	при котором	1	4
250	по этой	1	4
251	но это	5	4
252	таким образом	10	4
253	свидетельствует о	1	4
254	для нас	12	4
255	в г	6	4
256	в каждой	1	4
257	ко всему	2	4
258	не могу	1	4
259	во второй	1	4
260	не оставляет	2	4
261	а по	1	4
262	такой же	3	4
263	на то	2	4
264	нуждается в	1	4
265	не надо	1	4
266	все что	2	3
267	мы и	1	3
268	же и	1	3
269	о чем	7	3
270	в этих	3	3
271	в первом	1	3
272	очерки русской	1	3
273	нет в	2	3
274	и того	1	3
275	вопрос о	4	3
276	он был	2	3
277	во многих	14	3
278	превращается в	1	3
279	так же	7	3
280	себе в	1	3
281	свою очередь	2	3
282	и еще	2	3
283	по которым	1	3
284	следующим образом	9	3
285	а так	1	3
286	который в	2	3
287	с ним	2	3
288	не просто	3	3
289	говорить о	2	3
290	после чего	4	3
291	этой же	2	3
292	как от	1	3
293	а с	6	3
294	а за	4	3
295	в чем	1	3
296	же как	5	3
297	в москве	4	3
298	равной степени	2	3
299	в иных	2	3
300	т п	1	3
301	он в	1	3
302	что для	4	3
303	в первой	1	3
304	и от	2	3
305	те кто	1	3
306	там где	3	3
307	в особенности	3	3
308	в советской	2	3
309	не так	1	3
310	взгляд на	1	3
311	за ним	3	3
312	если в	3	3
313	во время	23	3
314	должна быть	1	3
315	из которых	2	3
316	целом ряде	1	3
317	не на	2	3
318	можно было	3	3
319	если не	1	3
320	если бы	1	3
321	с ней	7	3
322	так называемый	2	3
323	и т	13	3
324	они не	1	3
325	не имеет	9	3
326	не знали	2	3
327	всей своей	1	3
328	ничего общего	3	3
329	в своего	1	3
330	и состоит	1	3
331	такую же	2	3
332	в роли	1	3
333	по земле	2	3
334	того чтобы	6	3
335	относится к	1	3
336	не могло	1	3
337	о своем	1	3
338	и до	3	3
339	в истории	1	3
340	как например	6	3
341	и а	4	3
342	в этот	19	3
343	из наиболее	2	3
344	том же	6	3
345	здесь не	1	3
346	говорится в	1	3
347	всяком случае	1	3
348	власть над	1	3
349	тот же	2	3
350	ничего не	4	3
351	ни с	1	3
352	сколько в	1	3
353	жизни здесь	1	3
354	ее в	7	3
355	из своих	2	3
356	на самом	3	3
357	а на	8	3
358	на нее	5	3
359	дело в	1	3
360	в ту	1	3
361	в какой	3	3
362	от слова	1	3
363	этой цели	2	3
364	все эти	5	3
365	имеется в	1	3
366	и потому	3	3
367	а к	3	3
368	как уже	6	3
369	также и	1	3
370	не по	1	3
371	когда он	3	3
372	стороны и	1	3
373	еще на	1	3
374	отношение к	1	3
375	и о	4	3
376	за счет	2	3
377	в той	1	2
378	во всем	2	2
379	от него	1	2
380	время не	1	2
381	него в	1	2
382	с по	1	2
383	народ и	2	2
384	и другими	3	2
385	является по	1	2
386	их не	2	2
387	подобного рода	1	2
388	и другим	3	2
389	что по	7	2
390	первой половине	1	2
391	на эту	1	2
392	собой не	1	2
393	в это	4	2
394	мир и	1	2
395	в самый	2	2
396	так например	7	2
397	иной художественной	1	2
398	на первый	3	2
399	первый взгляд	1	2
400	начиная со	1	2
401	в котором	2	2
402	не хуже	1	2
403	по тем	1	2
404	собой как	2	2
405	только как	2	2
406	но даже	2	2
407	при рассмотрении	3	2
408	с другим	2	2
409	этой связи	1	2
410	которая по	1	2
411	между двумя	2	2
412	приходит к	1	2
413	не я	1	2
414	так называемых	1	2
415	пока еще	1	2
416	сказать что	1	2
417	и у	5	2
418	могло бы	1	2
419	тем более	1	2
420	по поводу	1	2
421	под именем	3	2
422	идут в	3	2
423	для этой	3	2
424	к ее	1	2
425	к нему	3	2
426	что у	3	2
427	и мы	1	2
428	она как	2	2
429	взывали к	1	2
430	внимание на	1	2
431	и всегда	1	2
432	для которой	1	2
433	а и	7	2
434	и сама	1	2
435	с другими	3	2
436	не от	1	2
437	и притом	1	2
438	но он	3	2
439	и некоторые	3	2
440	тому что	4	2
441	века к	1	2
442	> и	1	2
443	по дороге	1	2
444	природа и	1	2
445	а только	1	2
446	не был	3	2
447	и м	22	2
448	остается в	1	2
449	потребности в	1	2
450	песни и	7	2
451	не означает	2	2
452	сюда же	2	2
453	на нем	1	2
454	всех других	1	2
455	себе на	1	2
456	а третий	1	2
457	он пишет	2	2
458	как известно	2	2
459	и каждый	1	2
460	человека и	1	2
461	в общем	1	2
462	и по	10	2
463	здесь мы	3	2
464	в него	2	2
465	чем и	1	2
466	чтобы не	1	2
467	и ее	3	2
468	я рад	1	2
469	однако и	1	2
470	та же	4	2
471	самих себя	1	2
472	на почве	1	2
473	и который	1	2
474	за рекой	1	2
475	тогда когда	4	2
476	оно было	1	2
477	и при	2	2
478	впрочем в	1	2
479	что они	8	2
480	человек с	1	2
481	никак не	1	2
482	есть и	2	2
483	он на	1	2
484	что сам	1	2
485	для них	5	2
486	на заре	1	2
487	и вновь	1	2
488	свой народ	2	2
489	оно не	2	2
490	все то	1	2
491	с этого	7	2
492	не более	2	2
493	значение в	2	2
494	можно назвать	1	2
495	с ними	6	2
496	становится ясным	2	2
497	каждого из	1	2
498	при всех	2	2
499	и было	1	2
500	перед нами	2	2
501	это и	1	2
502	он же	4	2
503	и более	3	2
504	к свету	1	2
505	из этих	6	2
506	так чтобы	2	2
507	на основе	1	2
508	советской эпохи	1	2
509	с которой	1	2
510	и теперь	1	2
511	в значении	1	2
512	к своим	1	2
513	от других	1	2
514	в совершенно	1	2
515	и наоборот	1	2
516	например а	1	2
517	но мы	1	2
518	нет и	1	2
519	начиная с	4	2
520	который по	1	2
521	у них	2	2
522	теперь уже	1	2
523	этом случае	9	2
524	ответ на	2	2
525	ему в	1	2
526	второй половине	1	2
527	в первый	5	2
528	над ней	1	2
529	мы имеем	7	2
530	и п	28	2
531	по этому	4	2
532	в русском	4	2
533	что к	1	2
534	этом не	2	2
535	и без	1	2
536	нас к	5	2
537	есть в	2	2
538	другом месте	1	2
539	при таком	1	2
540	по убеждению	1	2
541	в такой	1	2
542	должен быть	2	2
543	а он	1	2
544	руки и	3	2
545	жизнь и	2	2
546	от первого	1	2
547	в полной	1	2
548	в таком	5	2
549	а как	1	2
550	оно в	1	2
551	в поле	18	2
552	она не	4	2
553	дело не	2	2
554	что касается	1	2
555	от земли	2	2
556	в нашей	1	2
557	что нам	1	2
558	моя не	1	2
559	в xix	13	2
560	из своей	2	2
561	в большинстве	2	2
562	и самой	1	2
563	ее развития	1	2
564	со своими	1	2
565	для такого	1	2
566	что есть	2	2
567	только по	2	2
568	этом и	1	2
569	слова в	3	2
570	которое в	2	2
571	являют собой	1	2
572	в эти	4	2
573	не можем	5	2
574	что на	5	2
575	связаны не	1	1
576	без особых	1	1
577	с последним	2	1
578	только из	1	1
579	не единственный	2	1
580	и сестер	1	1
581	такая форма	1	1
582	только что	1	1
583	куклу из	1	1
584	которые не	3	1
585	известен только	1	1
586	общий для	1	1
587	случае мы	1	1
588	до самого	1	1
589	в ряде	1	1
590	к числу	2	1
591	ссылаясь на	1	1
592	о них	2	1
593	как способ	1	1
594	в общую	1	1
595	в некоторых	11	1
596	говорит о	3	1
597	и лучше	2	1
598	нас в	2	1
599	с той	2	1
600	ты не	1	1
601	своем дневнике	1	1
602	в день	12	1
603	когда-то как	1	1
604	в состав	1	1
605	проблемы о	1	1
606	песен и	4	1
607	людей и	1	1
608	что чем	1	1
609	более или	1	1
610	это должно	1	1
611	на свой	1	1
612	но все	3	1
613	рождества и	1	1
614	и просто	1	1
615	ни одна	2	1
616	по ним	1	1
617	некоторые другие	5	1
618	из самых	2	1
619	слова с	1	1
620	уже на	1	1
621	места и	1	1
622	имеет место	3	1
623	в собственном	1	1
624	их в	7	1
625	прошлого в	1	1
626	себя к	1	1
627	обращения к	1	1
628	за ней	1	1
629	в огромном	1	1
630	а а	33	1
631	как только	2	1
632	связано с	3	1
633	всякого рода	3	1
634	в дальнейшем	2	1
635	с этим	4	1
636	он искал	1	1
637	у которых	2	1
638	говорится о	3	1
639	нам не	1	1
640	смысла по	1	1
641	некоторые из	2	1
642	на этой	3	1
643	было в	1	1
644	не могли	1	1
645	что однако	1	1
646	когда на	2	1
647	чтобы вызвать	3	1
648	которой он	1	1
649	каждого нового	1	1
650	поэзии как	1	1
651	время от	1	1
652	путь из	1	1
653	общеизвестно что	1	1
654	нашего века	1	1
655	но эти	3	1
656	вот почему	1	1
657	а после	1	1
658	с нашим	1	1
659	из их	1	1
660	имея в	1	1
661	но может	1	1
662	но они	4	1
663	может служить	1	1
664	же говорит	1	1
665	все в	2	1
666	тогда же	1	1
667	в различных	3	1
668	можно приписать	1	1
669	несколько примеров	1	1
670	сближает его	2	1
671	работ и	1	1
672	и те	3	1
673	с общей	1	1
674	не что	3	1
675	и продолжением	1	1
676	первого дня	1	1
677	автора его	1	1
678	дело и	1	1
679	и временем	1	1
680	ней с	1	1
681	день и	2	1
682	переход от	3	1
683	ней и	1	1
684	вернуться к	1	1
685	из всех	1	1
686	по случаю	1	1
687	затем в	1	1
688	наряду с	1	1
689	революции в	1	1
690	силы на	1	1
691	ее как	1	1
692	такая же	1	1
693	на него	1	1
694	к которому	1	1
