N	2gram	Bakhtin_Pr	ViktorSh
1	и в	38	2
2	в том	8	2
3	том что	3	2
4	в другом	2	1
5	все время	1	1
6	но это	3	1
7	для формализма	1	1
8	столь же	2	1
9	том же	2	1
10	по существу	2	1
11	в самом	7	1
12	для них	1	1
13	а только	2	1
14	именно в	1	1
15	их границах	1	1
16	все то	3	1
17	ни к	2	1
18	имеется в	1	1
19	самом деле	6	1
20	ясно что	3	1
21	в частности	2	1
22	поэтического творчества	1	1
23	к созданию	1	1
24	время в	1	1
25	и его	16	1
26	к чему	2	1
27	бы уже	1	1
28	значительной степени	1	1
29	хотя бы	4	1
30	по поводу	2	1
31	далеко не	5	1
32	впрочем не	1	1
33	в которых	1	1
34	говорится в	1	1
35	к этому	2	1
36	только в	13	1
37	одном и	1	1
38	дело именно	1	1
39	в значительной	2	1
40	в их	10	1
41	и только	4	1
42	то же	5	1
43	чего не	1	1
44	не будем	3	1
45	что язык	1	1
46	и не	42	1
47	я не	2	1
48	дело в	2	1
49	да и	3	1
50	в этом	15	1
51	все это	3	1
