N	2gram	Savitsky_P	formyVre
1	и в	14	148
2	в этом	10	73
3	в нем	3	51
4	прежде всего	3	46
5	и т	3	40
6	и не	12	37
7	в его	2	36
8	но и	6	33
9	то же	9	32
10	не только	17	32
11	но в	9	31
12	может быть	5	27
13	не в	5	26
14	как и	1	25
15	как бы	4	25
16	точки зрения	3	24
17	только в	7	23
18	в то	7	23
19	в том	9	22
20	то что	4	22
21	во всех	2	21
22	же время	7	21
23	в своем	4	19
24	и на	1	19
25	в основном	1	19
26	еще не	1	18
27	те же	1	17
28	с этим	2	17
29	в пределах	8	17
30	все же	1	16
31	в условиях	1	16
32	не может	4	16
33	в них	2	15
34	никогда не	1	15
35	с точки	3	15
36	с его	1	15
37	вместе с	1	15
38	и как	3	14
39	и с	2	14
40	так же	1	14
41	а не	2	14
42	как раз	2	14
43	все это	2	14
44	в самом	1	13
45	в котором	4	13
46	для того	3	13
47	друг с	1	13
48	с другом	1	13
49	в частности	2	13
50	того чтобы	1	13
51	а в	4	13
52	же в	4	13
53	время в	2	12
54	не было	2	12
55	отнюдь не	2	12
56	что в	4	12
57	потому что	3	12
58	в истории	1	12
59	но не	3	12
60	из них	2	11
61	хотя и	3	11
62	его в	1	11
63	уже в	1	11
64	в ней	6	11
65	и другие	1	10
66	в ее	2	10
67	также и	1	10
68	на основе	1	10
69	тот же	3	10
70	этом мире	1	10
71	в большинстве	1	10
72	на этой	1	9
73	с другой	5	9
74	наряду с	3	9
75	должно быть	2	9
76	и это	2	9
77	в других	1	9
78	могут быть	3	9
79	отношения к	2	9
80	том что	4	9
81	есть в	2	9
82	и других	2	9
83	и к	4	8
84	в результате	1	8
85	в этих	1	8
86	с одной	3	8
87	что и	1	8
88	в мире	2	8
89	и по	1	8
90	в жизни	2	8
91	если бы	4	8
92	связанные с	1	8
93	большинстве случаев	1	8
94	и то	1	8
95	том числе	2	8
96	во всяком	1	8
97	это не	3	8
98	а также	4	8
99	на фоне	1	8
100	и потому	4	8
101	или иной	1	8
102	еще более	2	7
103	не как	1	7
104	к ним	1	7
105	из этих	1	7
106	в последующие	1	7
107	в себе	3	7
108	в которой	1	7
109	в себя	1	7
110	с ее	1	7
111	например в	2	7
112	нет ничего	1	7
113	было бы	6	7
114	в отличие	1	7
115	т д	1	7
116	того что	2	7
117	мир в	1	7
118	отличие от	1	7
119	во времени	1	7
120	место в	1	7
121	что было	1	6
122	раскрывается в	1	6
123	именно в	2	6
124	с тем	3	6
125	в различных	1	6
126	входят в	1	6
127	во всей	2	6
128	в качестве	9	6
129	xviii века	1	6
130	мы можем	1	6
131	одной стороны	3	6
132	бы ни	2	6
133	и ее	1	6
134	в отношении	10	6
135	мы видим	1	6
136	в которых	5	6
137	мы не	3	6
138	в эпоху	1	6
139	особенно в	1	6
140	есть и	1	6
141	к смерти	1	6
142	в начале	2	6
143	есть не	2	6
144	мы и	1	5
145	одно из	1	5
146	в порядке	3	5
147	в это	1	5
148	было и	1	5
149	хотя бы	8	5
150	только на	1	5
151	борьбе с	1	5
152	что все	1	5
153	по преимуществу	1	5
154	и через	1	5
155	xix века	6	5
156	они как	1	5
157	в смысле	6	5
158	все основные	1	5
159	одно и	1	5
160	не были	1	5
161	в этой	1	5
162	там где	1	5
163	конечно и	1	5
164	с ними	3	5
165	далеко не	1	5
166	они не	1	5
167	не имеет	1	5
168	да и	2	5
169	и уже	1	5
170	ни были	1	5
171	но на	1	5
172	в ряду	2	5
173	стороны и	2	5
174	числе и	1	5
175	и только	1	5
176	только что	1	4
177	по всему	1	4
178	а затем	1	4
179	другой стороны	1	4
180	по себе	4	4
181	в одно	1	4
182	в данном	1	4
183	он был	1	4
184	вопросу о	1	4
185	жизни она	1	4
186	к жизни	1	4
187	весь мир	1	4
188	прежде чем	1	4
189	что не	1	4
190	именно как	2	4
191	в историческом	1	4
192	друг другу	2	4
193	и вот	2	4
194	и при	1	4
195	для них	2	4
196	дело идет	1	4
197	отчасти и	1	4
198	и более	1	4
199	всяком случае	1	4
200	друг друга	1	4
201	одних и	2	4
202	находятся в	1	4
203	как она	1	4
204	тем более	2	4
205	связаны с	1	4
206	и тех	1	4
207	мы должны	4	4
208	и о	5	4
209	нем в	1	3
210	из всех	1	3
211	их не	1	3
212	в борьбе	1	3
213	можно говорить	1	3
214	из нее	1	3
215	культуры в	2	3
216	вопрос о	1	3
217	распадается на	1	3
218	ее по	1	3
219	и еще	1	3
220	в прошлом	1	3
221	как на	2	3
222	она ни	2	3
223	находится в	1	3
224	же как	1	3
225	одна из	2	3
226	и жизнь	1	3
227	литературы и	1	3
228	тот или	1	3
229	главным образом	2	3
230	не могла	1	3
231	и есть	2	3
232	теми же	1	3
233	и здесь	1	3
234	нет никакого	1	3
235	сами по	3	3
236	как наказание	1	3
237	сравнению с	1	3
238	ни к	1	3
239	бы и	1	3
240	что мы	3	3
241	в значительной	2	3
242	не будем	2	3
243	в творчестве	1	3
244	если мы	1	3
245	тем же	1	3
246	не входят	1	3
247	что есть	1	3
248	в определенном	1	3
249	и всегда	1	3
250	них и	1	3
251	в сферу	1	3
252	не столько	2	3
253	при виде	1	3
254	и эти	1	3
255	только к	1	3
256	она не	1	3
257	по сравнению	2	3
258	времени с	1	3
259	всеми его	1	3
260	не к	2	3
