N	2gram	Vygotskiy_	FransuaR
1	и в	37	367
2	в этом	32	112
3	и т.п	5	108
4	и не	15	101
5	таким образом	39	100
6	и его	10	99
7	в его	16	98
8	прежде всего	12	92
9	не только	29	87
10	мы уже	7	85
11	но и	23	84
12	как бы	16	82
13	все эти	6	79
14	вовсе не	5	77
15	как и	20	76
16	в нем	2	75
17	но в	9	75
18	и на	8	72
19	и др	5	72
20	в том	47	71
21	как мы	11	71
22	то же	12	66
23	и все	7	66
24	в них	5	65
25	в этой	13	65
26	так и	12	65
27	и с	10	64
28	в сущности	13	64
29	в то	7	63
30	во время	1	63
31	во всех	4	62
32	все это	9	62
33	же время	2	55
34	что в	25	52
35	в своем	10	51
36	только в	8	48
37	так как	11	46
38	и до	5	46
39	том что	42	45
40	уже говорили	3	44
41	то что	32	41
42	здесь в	1	41
43	у него	2	40
44	жизни и	2	40
45	в самом	16	38
46	точки зрения	49	37
47	в ней	2	37
48	с его	7	36
49	о том	14	35
50	может быть	19	35
51	мы видим	7	35
52	сказать что	16	34
53	и даже	5	34
54	в себе	8	34
55	рядом с	1	32
56	мы видели	8	32
57	в конце	2	32
58	он не	11	32
59	для него	5	32
60	до конца	1	31
61	связаны с	2	31
62	в своей	7	31
63	так же	18	30
64	один из	3	30
65	потому что	11	30
66	той же	4	30
67	и потому	3	30
68	никогда не	8	30
69	в одном	5	29
70	еще не	1	29
71	связи с	7	29
72	в этих	3	29
73	что он	16	29
74	не может	16	29
75	в особенности	1	29
76	при этом	6	29
77	не в	9	29
78	и к	9	28
79	из них	4	28
80	всех этих	2	28
81	также и	2	28
82	в той	1	28
83	в основе	9	28
84	здесь и	3	28
85	и другие	1	27
86	сих пор	4	27
87	до сих	4	27
88	том числе	3	27
89	в образах	1	27
90	все же	6	27
91	на части	1	27
92	по своему	1	27
93	и их	5	27
94	образов в	1	26
95	кроме того	1	26
96	на самом	4	25
97	в области	4	25
98	с помощью	16	25
99	мира и	2	25
100	но не	6	24
101	например в	1	24
