N	4gram	Savitsky_E	Vvedenie
1	в то же время	14	6
2	с одной стороны и	6	3
3	дело в том что	1	3
4	но в то же	2	3
5	с этой точки зрения	5	2
6	заключается в том что	2	2
7	одного и того же	1	2
8	можно сказать что в	2	1
9	то же время в	1	1
10	и для того чтобы	1	1
11	не только в том	1	1
12	той или иной степени	1	1
13	и прежде всего в	1	1
14	тех или иных областей	1	1
15	большей или меньшей степени	1	1
16	в связи с этим	1	1
17	в том смысле что	1	1
18	бы то ни было	4	1
19	в большей или меньшей	1	1
20	ответить на этот вопрос	1	1
21	в том что обе	1	1
22	в той или иной	3	1
23	которая как мы видели	1	1
24	и в этом смысле	2	1
25	не говоря уже о	1	1
26	на этот вопрос мы	1	1
27	на то или иное	1	1
