N	3gram	Potebnia_M	Dialekti
1	и т д	6	75
2	это значит что	1	47
3	с точки зрения	3	46
4	сама по себе	4	26
5	по крайней мере	6	26
6	в том что	18	25
7	не может быть	11	18
8	не что иное	2	18
9	что иное как	2	18
10	тем не менее	10	16
11	сам по себе	5	16
12	само по себе	6	16
13	то же время	3	15
14	в то же	3	14
15	в таком случае	4	14
16	т д и	1	14
17	только тогда когда	5	13
18	д и т	1	12
19	с другой стороны	7	12
20	о том что	1	12
21	на то что	3	11
22	субъекта и объекта	4	11
23	по себе не	3	9
24	и в этом	7	9
25	и не только	1	9
26	подобно тому как	7	9
27	не только не	2	8
28	только то что	1	8
29	или по крайней	2	8
30	в то время	3	8
31	то время как	1	8
32	в этом смысле	4	8
33	говоря уже о	1	7
34	не в том	6	7
35	сами по себе	8	7
36	точно так же	1	7
37	в связи с	2	7
38	не потому что	1	7
39	не говоря уже	1	7
40	только потому что	3	6
41	для того чтобы	4	6
42	более или менее	6	6
43	не нуждается в	2	6
44	выйти за пределы	1	6
45	то что мы	2	6
46	в нем есть	2	6
47	в сравнении с	4	6
48	во всяком случае	7	6
49	с одной стороны	6	6
50	имеет ничего общего	1	5
51	на самом деле	2	5
52	по сравнению с	1	5
53	того или другого	1	5
54	не отличается от	1	5
55	потому что она	1	5
56	ничего общего с	1	5
57	не имеет ничего	1	5
58	по себе и	2	5
59	и тем не	1	5
60	к тому что	2	5
61	то и другое	6	5
62	это будет значить	1	5
63	от того что	5	5
64	в том смысле	7	5
65	свободы и необходимости	3	5
66	будет значить что	1	5
67	до сих пор	5	5
68	одной и той	3	5
69	что в нем	1	5
70	и той же	3	5
71	это было бы	2	5
72	одной стороны и	2	4
73	по себе а	1	4
74	том смысле что	2	4
75	и т п	4	4
76	с этой точки	2	4
77	так же как	1	4
78	но даже и	1	4
79	этой точки зрения	1	4
80	может быть только	2	4
81	и то и	2	4
82	не только о	1	4
83	что это не	1	4
84	для того кто	2	4
85	с тех пор	1	4
86	из того что	2	4
87	но это не	2	4
88	может и не	1	4
89	тогда когда есть	1	4
90	того что она	1	4
91	и может быть	4	4
92	не есть нечто	2	4
93	и тем более	1	4
94	а потом уже	1	4
95	мы можем сказать	1	4
96	можно было бы	1	4
97	как бы ни	4	4
98	не могут быть	5	4
99	в этом отношении	1	4
100	и как бы	4	3
101	внутреннее и внешнее	1	3
102	может быть без	1	3
103	есть не только	1	3
104	в сущности своей	1	3
105	т д в	1	3
106	если бы мы	1	3
107	а потому что	2	3
108	т д не	1	3
109	которая хотя и	1	3
110	но все же	2	3
111	бы то ни	2	3
112	уже о том	1	3
113	и не может	1	3
114	и то не	1	3
115	мы говорим что	1	3
116	как и в	3	3
117	то что я	1	3
118	о том как	1	3
119	не было бы	3	3
120	же может быть	1	3
121	с этой стороны	1	3
122	не только в	3	3
123	в чем заключается	1	3
124	с самого начала	5	3
125	друг другу как	1	3
126	так что в	2	3
127	и с этой	2	3
128	но то что	1	2
129	но все эти	1	2
130	том что все	1	2
131	то тем самым	2	2
132	для нас в	1	2
133	то это будет	1	2
134	в каждом из	1	2
135	времени и пространства	1	2
136	в собственном смысле	2	2
137	возможно только тогда	2	2
138	с теми которые	1	2
139	с нею в	1	2
140	во что бы	1	2
141	друг от друга	3	2
142	как более или	1	2
143	того что не	1	2
144	было бы только	1	2
145	не имеет значения	1	2
146	и есть только	1	2
147	она не может	1	2
148	том что именно	1	2
149	это нисколько не	1	2
150	но и все	1	2
151	в ней не	1	2
152	нет никакой возможности	1	2
153	из всего этого	1	2
154	имеет место в	1	2
155	не менее в	2	2
156	но так как	1	2
157	на деле же	1	2
158	все же есть	1	2
159	она еще не	1	2
