N	3gram	Bakhtin_fo	Psycholo
1	в том что	4	78
2	для того чтобы	11	70
3	в самом деле	1	51
4	и т п	18	37
5	о том что	2	34
6	совершенно ясно что	1	33
7	то же самое	1	31
8	с точки зрения	9	29
9	с одной стороны	3	28
10	все то что	2	23
11	не может быть	4	23
12	до сих пор	4	23
13	и т д	3	22
14	и в самом	1	22
15	к тому что	1	20
16	с другой стороны	1	20
17	на самом деле	1	17
18	с самого начала	3	16
19	в зависимости от	1	15
20	так же как	2	14
21	во всяком случае	1	14
22	в то время	3	14
23	в этом отношении	5	14
24	и в этом	2	13
25	то время как	2	13
26	что в этом	1	12
27	этой точки зрения	1	12
28	в конце концов	1	12
29	тот факт что	1	11
30	то что в	1	11
31	по сравнению с	3	11
32	с этой точки	1	10
33	вместе с тем	3	10
34	только в том	1	10
35	сами по себе	2	10
36	надо сказать что	1	9
37	в отличие от	3	9
38	в данном случае	2	9
39	и как бы	2	8
40	и то же	4	8
41	друг с другом	5	8
42	смысле этого слова	1	8
43	с тем что	2	8
44	что в нем	1	8
45	о которых мы	1	7
46	в свою очередь	1	7
47	можно сказать что	1	7
48	одно и то	4	7
49	что и в	1	7
50	как и в	3	7
51	сама по себе	1	6
52	и та же	2	6
53	и может быть	1	6
54	сводится к тому	1	6
55	и в том	1	6
56	не только в	6	6
57	друг к другу	2	6
58	все больше и	1	5
59	о том как	2	5
60	в первый раз	1	5
61	таким образом все	1	5
62	и вместе с	1	5
63	что в основе	1	5
64	как если бы	2	5
65	больше и больше	1	5
66	мы видим в	1	5
67	и в частности	2	5
68	а как раз	1	5
69	в жизни и	1	5
70	и во всех	3	5
71	как раз в	4	5
72	же как и	2	5
73	потому что они	1	5
74	прямо сказать что	2	4
75	в искусстве и	1	4
76	каждый из них	1	4
77	что в таком	2	4
78	и того же	6	4
79	к тому же	2	4
80	таким образом и	2	4
81	лежит в основе	2	4
82	эта точка зрения	1	4
83	ясно что в	1	4
84	то есть к	1	4
85	мы уже говорили	6	4
86	это имеет место	1	4
87	здесь мы видим	1	4
88	одного и того	6	4
89	не для того	3	4
90	том что в	1	4
91	это вовсе не	1	4
92	эпоса и драмы	1	4
93	то есть в	2	4
94	все более и	2	4
95	более и более	2	4
96	именно в том	1	4
97	одна и та	2	4
98	и в сущности	3	4
99	в себя и	2	3
100	друг от друга	2	3
101	дело идет о	1	3
102	приходит к выводу	1	3
103	по аналогии с	1	3
104	которых мы говорили	1	3
105	и как он	1	3
106	он утверждает что	1	3
107	по отношению к	3	3
108	имел в виду	1	3
109	и в поэзии	2	3
110	дело в том	2	3
111	не могут быть	1	3
112	а вовсе не	1	3
113	все это было	1	3
114	может быть и	4	3
115	только на почве	1	3
116	бросается в глаза	1	3
117	один из самых	1	3
118	в нем нет	2	3
119	в высшей степени	1	3
120	то же время	13	3
121	но он не	2	3
122	в это время	1	3
123	то есть как	1	3
124	к выводу что	1	3
125	в то же	10	3
126	с другом и	1	3
