1	дело в том что	4	7
2	в то же время	24	5
3	это не значит что	2	3
4	в том что в	3	3
5	заключается в том что	2	3
6	с точки зрения их	1	2
7	в одном из писем	1	2
8	но в то же	6	2
9	и т д и	1	2
10	и в самом деле	1	2
11	в том смысле что	1	2
12	в том числе и	2	2
13	но это не значит	1	1
14	в том что этот	1	1
15	дело не только в	1	1
16	это объясняется тем что	1	1
17	и в то же	6	1
18	до сих пор таких	1	1
19	в начале xix века	1	1
20	говорить о том что	1	1
21	на той же странице	1	1
22	что с точки зрения	1	1
23	до сих пор еще	1	1
24	каких бы то ни	1	1
25	то же время с	1	1
26	так же как и	1	1
27	молиться за царя ирода	1	1
28	ответ на этот вопрос	1	1
29	т д и т	1	1
30	но это еще не	1	1
31	в целом ряде случаев	1	1
32	так же как в	1	1
33	д и т д	1	1
34	в том и другом	1	1
35	в борисе годунове и	1	1
36	нельзя молиться за царя	1	1
37	из бориса годунова но	1	1
38	с другой стороны и	1	1
39	и т д в	1	1
40	бы то ни было	1	1
41	том и другом случае	1	1
