N	3gram	Medvedev_U	slovoVRo
1	не может быть	4	19
2	то же время	3	18
3	в то же	3	18
4	с одной стороны	1	11
5	более или менее	1	9
6	в этом случае	1	9
7	но в то	1	7
8	и в то	1	6
9	с другой стороны	3	6
10	большей или меньшей	1	6
11	в том что	2	5
12	хотя бы и	2	5
13	не только в	1	5
14	в этом отношении	2	5
15	на первый план	1	4
16	друг с другом	1	4
17	до сих пор	2	4
18	в большей или	1	4
19	можно сказать что	1	4
20	в точном смысле	1	4
21	или меньшей степени	1	4
22	не могут быть	2	4
23	никогда не может	1	4
24	тех или иных	2	3
25	в данном случае	1	3
26	в широком смысле	1	3
27	таким образом на	1	2
28	а между тем	2	2
29	и с другой	1	2
30	а не только	1	2
31	на каждом шагу	2	2
32	но по существу	1	2
33	но прежде всего	1	2
34	но конечно не	1	2
35	сводится именно к	1	2
36	тем что он	1	2
37	и в частности	2	2
38	и не только	1	2
39	в конечном счете	4	1
40	в той же	1	1
41	входит в эстетический	1	1
42	у стерна у	1	1
43	у нас в	1	1
44	том что она	1	1
45	в качестве героя	1	1
46	так или иначе	1	1
47	конечно не приходится	1	1
48	конечно не в	1	1
49	по себе еще	1	1
50	к проблеме художественного	1	1
51	само по себе	1	1
52	и прежде всего	1	1
53	то ни было	3	1
54	не входит в	1	1
55	бы то ни	3	1
56	и в различных	1	1
57	но это не	1	1
58	слово как таковое	1	1
59	в которой все	1	1
60	его и в	1	1
61	равно как и	1	1
62	на то что	1	1
63	выдвигает на первый	1	1
64	по крайней мере	2	1
65	все они в	1	1
66	в эстетический объект	1	1
67	имеем в виду	1	1
68	ссылка на то	1	1
69	это не только	1	1
70	он в той	1	1
71	он может быть	1	1
72	в противном случае	2	1
73	мы имеем в	1	1
74	на своем месте	1	1
75	язык в его	1	1
76	для всех этих	1	1
77	это было бы	1	1
