N	3gram	Nazirov_Tr	Analitik
1	в том что	2	25
2	не может быть	1	19
3	в то же	5	16
4	о том что	2	15
5	в данном случае	2	14
6	в отличие от	2	14
7	то же время	5	14
8	как и в	1	8
9	во всяком случае	1	7
10	тем не менее	1	6
11	по природе своей	1	6
12	не только не	1	5
13	в этом случае	1	5
14	в самом деле	1	4
15	и не может	1	4
16	и в этом	1	4
17	том что он	1	4
18	и как бы	2	3
19	и то что	1	3
20	и т п	1	3
21	и сам автор	1	3
22	хотя бы и	1	3
23	сам по себе	1	3
24	в связи с	1	3
25	в этой связи	1	3
26	и в самом	2	3
27	и все же	1	3
28	не могут быть	1	3
29	что он не	1	2
30	на всем протяжении	1	2
31	не только к	1	2
32	в применении к	1	2
33	отнюдь не является	1	2
34	и стал смотреть	1	2
35	в обоих случаях	1	2
36	смысле этого слова	1	2
37	к тому что	1	2
38	мысль о том	1	2
39	а между тем	1	2
40	в борьбе за	1	2
41	но в то	2	2
42	который в своей	1	1
43	и он сам	1	1
44	же слова были	1	1
45	в той же	1	1
46	себя а за	1	1
47	не так ли	1	1
48	но и на	1	1
49	как и его	1	1
50	черт ивана карамазова	1	1
51	это по слову	1	1
52	друг перед другом	1	1
53	на вопрос о	1	1
54	одно из самых	1	1
55	вместе с ними	1	1
56	что при таком	1	1
57	эта встреча не	1	1
58	в конце концов	1	1
59	своего отца и	1	1
60	и вместе с	1	1
61	в этом мире	1	1
62	в эпизоде гибели	1	1
63	это было в	1	1
64	и даже отчасти	1	1
65	может быть понят	1	1
66	бы и в	1	1
67	и ненавистью к	1	1
68	не за себя	1	1
69	все же не	1	1
70	в третий раз	1	1
71	он вообще не	1	1
72	за себя а	1	1
73	не только по	1	1
74	ли есть необходимость	1	1
75	он и в	1	1
76	в одном из	1	1
77	и что же?	1	1
78	и должно быть	1	1
79	ведет к тому	1	1
80	еще в году	1	1
81	случае как и	1	1
82	но при этом	1	1
83	же время он	1	1
84	свою жизнь и	1	1
85	к жизни на	1	1
86	в виду не	1	1
87	уже не к	1	1
88	точно так же	2	1
89	ивана карамазова в	1	1
90	в этой борьбе	1	1
91	и в частности	2	1
92	между отцом и	1	1
93	говорит о его	1	1
94	в xx веке	1	1
95	и при этом	1	1
96	так и в	3	1
97	в частности своего	1	1
98	он тот кто	1	1
99	после того как	1	1
100	еще ничего не	1	1
