N	4gram	Tiupa_Teor	Marksizm
1	в то же время	8	15
2	бы то ни было	2	12
3	одного и того же	4	9
4	но в то же	2	9
5	не может быть и	1	4
6	в том что он	2	4
7	с одной стороны и	1	3
8	в связи с этим	1	3
9	в том числе и	2	3
10	одно и то же	2	3
11	в той или иной	1	3
12	одним и тем же	1	3
13	какой бы то ни	1	3
14	ни в коем случае	2	2
15	в том или ином	1	2
16	в таком случае это	1	2
17	– это и есть	1	2
18	то же время эти	1	1
19	этого слова как и	1	1
20	с этой точки зрения	2	1
21	в их отношении к	1	1
22	не что иное как	1	1
23	в более или менее	1	1
24	внутренней речи как бы	1	1
25	дело в том что	1	1
26	а в то же	1	1
27	и по отношению к	1	1
28	языка не может быть	1	1
29	ни к чему не	1	1
30	себе отчет в том	1	1
31	бы они ни были	1	1
32	по отношению к нему	1	1
33	в отношении к нему	1	1
34	в коем случае не	2	1
35	он тем не менее	2	1
36	– не может быть	1	1
37	приводит к тому что	2	1
38	то же время они	1	1
39	более или менее широком	1	1
