N	4gram	Vinokur_Vv	Morfolog
1	в связи с этим	1	4
2	и т д но	5	4
3	состоит в том что	2	3
4	в собственном смысле слова	1	3
5	и т д а	2	2
6	и т д в	2	2
7	бы то ни было	1	2
8	и тем не менее	3	2
9	приводят к тому что	1	2
10	не что иное как	5	2
11	говорить о том что	1	2
12	с этой точки зрения	2	1
13	и т д таким	1	1
14	то для того чтобы	1	1
15	о том что такое	5	1
16	еще не значит что	1	1
17	и т д и	1	1
18	т д все эти	1	1
19	и т д можно	1	1
20	в том что он	1	1
21	одно и то же	2	1
22	и т д такая	1	1
23	было бы сказать что	1	1
24	но как мы уже	1	1
25	т д таким образом	1	1
26	и т д словом	1	1
27	здесь не может быть	1	1
28	это еще не значит	1	1
29	ответить на этот вопрос	1	1
30	сомневаться в том что	1	1
31	в то же время	6	1
32	и т д эти	1	1
33	т д но есть	1	1
34	и т д все	2	1
35	не может быть и	1	1
36	есть не что иное	3	1
