N	3gram	Voloshinov	NovoeSre
1	в высшей степени	6	6
2	мы живем в	1	5
3	не может быть	14	4
4	со всех сторон	1	3
5	в наше время	1	3
6	не было такого	1	3
7	во всех сферах	1	3
8	это совсем не	1	2
9	равно как и	2	2
10	так же как	1	2
11	большую роль в	1	2
12	в этом смысле	2	2
13	с одной стороны	2	2
14	она не может	1	2
15	быть не может	1	1
16	в том что	9	1
17	и связаны с	1	1
18	и в высшей	1	1
19	до сих пор	3	1
20	еще не знает	1	1
21	должна быть понята	1	1
22	и быть не	1	1
23	от того чтобы	1	1
24	в такой же	1	1
25	в эту эпоху	1	1
26	как будто бы	1	1
27	что она не	1	1
28	вообще не существует	1	1
29	в зависимости от	4	1
30	на протяжении всей	6	1
31	в эпоху упадка	1	1
32	но для этого	1	1
33	можно было бы	1	1
34	то что он	1	1
35	мы должны перейти	1	1
36	в свою противоположность	1	1
37	только потому что	1	1
38	но и в	1	1
39	чтобы разобраться в	2	1
40	в большинстве случаев	5	1
41	но это совсем	1	1
42	в отличие от	2	1
43	жизни и творчества	2	1
44	есть прежде всего	1	1
45	но она не	1	1
46	о том что	3	1
47	и не могут	1	1
48	не могут быть	4	1
49	всего они совсем	1	1
50	выходит за пределы	2	1
51	во всяком случае	8	1
52	других людей и	1	1
53	конечно не в	1	1
54	мы конечно не	1	1
55	себе и в	1	1
56	не в силах	3	1
57	в то время	1	1
58	имея в виду	1	1
59	они совсем не	1	1
60	это и есть	2	1
61	в основе их	1	1
62	всех сферах культуры	1	1
63	ни в чем	4	1
64	и совсем не	1	1
65	и не может	3	1
