N	3gram	Berdyaev_N	Istorich
1	с другой стороны	2	46
2	до сих пор	1	30
3	с одной стороны	2	28
4	так же как	2	27
5	в том что	1	25
6	не может быть	4	24
7	вместе с тем	2	23
8	о том что	1	22
9	не только в	1	19
10	в то время	1	13
11	то время как	1	13
12	но и в	1	12
13	как и в	1	10
14	можно было бы	1	10
15	же как и	1	9
16	и вместе с	1	9
17	совершенно так же	1	8
18	подобно тому как	3	8
19	в зависимости от	1	8
20	в большинстве случаев	1	7
21	наряду с этим	1	7
22	то что в	1	7
23	во всяком случае	1	7
24	это значит что	1	6
25	то что он	1	5
26	в отличие от	1	5
27	со всех сторон	3	5
28	в том чтобы	1	5
29	в том числе	1	5
30	вопрос о том	2	4
31	он не может	2	4
32	но наряду с	1	4
33	о том чтобы	1	4
34	сами по себе	1	4
35	в свою противоположность	1	4
36	и в ней	1	4
37	это и есть	1	4
38	как будто бы	1	3
39	что в этом	1	3
40	с другой же	1	3
41	другой же стороны	1	3
42	в средние века	3	3
43	не в том	1	3
44	будет сказать что	1	3
45	в том смысле	1	3
46	что в нем	2	3
47	это не значит	2	2
48	между небом и	1	2
49	быть не может	1	2
50	она не может	2	2
51	в жизни народа	1	2
52	том числе и	1	2
53	а не с	1	2
54	в ней нет	1	2
55	и потому что	1	2
56	должны помнить что	1	2
57	большую роль в	2	2
58	и не могут	1	2
59	не могут быть	1	2
60	не значит что	3	2
61	может быть только	1	2
62	это конечно не	1	2
63	есть вместе с	1	2
64	а не в	1	2
65	и не может	1	2
66	равно как и	2	2
67	и должно быть	2	2
68	что в эту	1	2
69	только потому что	1	2
70	играют большую роль	1	2
71	но для чего	1	1
72	что она не	1	1
73	и трудно будет	1	1
74	вполне возможно что	1	1
75	для борьбы со	1	1
76	но я не	1	1
77	а в более	1	1
78	он не имеет	2	1
79	на них нельзя	1	1
80	совсем не в	2	1
81	поставлен вопрос о	1	1
82	и пр в	1	1
83	не имеют никакого	1	1
84	к вопросу о	1	1
85	должен быть признан	1	1
86	все эти формы	2	1
87	должна быть признана	1	1
88	и к ней	1	1
89	живем в эпоху	4	1
90	по существу своему	1	1
91	было то что	1	1
92	и оно же	1	1
93	в социальной жизни	1	1
94	начала xix века	1	1
95	одна из сторон	1	1
96	в этом смысле	2	1
97	этого мира не	1	1
98	также еще не	1	1
99	тому как в	1	1
100	в истории не	1	1
101	смысле в каком	1	1
102	конечно не означает	1	1
103	как это делали	1	1
104	это тем что	1	1
105	и в большинстве	1	1
106	я думаю что	1	1
107	был ли он	1	1
108	быть отнесены к	1	1
109	у него как	1	1
110	в том случае	1	1
111	хотя и в	1	1
112	в такой же	1	1
113	в то что	1	1
114	помнить что в	1	1
115	эти слова в	1	1
116	не было и	1	1
117	в этом он	1	1
118	мы живем в	5	1
119	но это уже	1	1
120	в высшей степени	6	1
121	лицом к лицу	3	1
122	никогда не было	2	1
123	в значительной степени	1	1
124	о природе и	1	1
125	не знает что	1	1
126	что он может	1	1
127	в нее входит	1	1
128	так и должно	1	1
129	и не в	1	1
130	конечно не в	1	1
131	в своем развитии	1	1
132	есть и другая	1	1
133	эпохи в которую	1	1
134	что в это	1	1
135	и формы жизни	1	1
136	к единству и	1	1
137	я не могу	1	1
138	вообще не существует	1	1
139	том смысле в	1	1
140	не хочет его	1	1
141	и к образованию	1	1
142	и все они	1	1
