N	4gram	Vinokur_Ku	Literetu
1	в то же время	4	21
2	состоит в том что	4	8
3	не говоря уже о	1	6
4	с этой точки зрения	3	5
5	бы то ни было	1	4
6	но с другой стороны	1	3
7	только в том что	1	2
8	не говоря уже об	1	2
9	до тех пор пока	1	2
10	дело в том что	1	2
11	поскольку речь идет о	1	2
12	и в самом деле	4	2
13	не только в том	1	2
14	одно и то же	1	2
15	состоит не в том	1	1
16	и т п я	1	1
17	в виду не только	1	1
18	не что иное как	2	1
19	лишь в той мере	2	1
20	и тем не менее	4	1
21	все более и более	1	1
22	когда речь идет о	1	1
23	если бы я был	1	1
24	не может и не	1	1
25	и в то же	1	1
26	одного и того же	2	1
27	и вместе с тем	1	1
28	содержат в себе и	1	1
29	не выходит за рамки	1	1
30	в каждый данный момент	1	1
31	а то и вовсе	1	1
32	в том что он	3	1
33	не в том чтобы	4	1
34	записывает в своем дневнике	1	1
35	какой бы то ни	1	1
36	однако в том что	1	1
37	в начале xix века	1	1
