N	3gram	Propp_Morf	OGranits
1	с точки зрения	6	5
2	не может быть	9	4
3	одно и то	1	3
4	по отношению к	7	3
5	в том что	4	2
6	не что иное	2	2
7	в данном случае	2	2
8	но так как	2	2
9	и то же	1	2
10	есть не что	1	2
11	что иное как	2	2
12	с одной стороны	2	2
13	с другой стороны	5	2
14	с самого начала	1	2
15	и при анализе	1	2
16	на самом деле	4	1
17	собственном смысле слова	3	1
18	таким образом мы	7	1
19	и тот же	1	1
20	как это обычно	1	1
21	иметь в виду	1	1
22	между тем мы	1	1
23	может быть объяснено	1	1
24	подобно тому как	5	1
25	это и не	2	1
26	весь этот материал	1	1
27	как бы сам	1	1
28	если бы мы	1	1
29	в нашу задачу	1	1
30	и пр с	1	1
31	тех или иных	1	1
32	на то что	3	1
33	для того чтобы	3	1
34	мы уже видели	2	1
35	не может входить	1	1
36	и вне этой	1	1
37	во всей своей	1	1
38	в чем же	1	1
39	что в основе	1	1
40	другой стороны оно	1	1
41	в собственном смысле	3	1
42	тех случаях когда	2	1
43	один и тот	1	1
44	этой точки зрения	1	1
45	и в некоторых	1	1
46	как и в	3	1
47	в связи с	9	1
48	не входит в	2	1
49	то что в	2	1
50	в нашей работе	1	1
51	а вовсе не	2	1
52	и пр на	1	1
53	к тому что	4	1
54	с ними и	1	1
55	тем не менее	6	1
56	всегда связана с	1	1
57	связаны между собою	1	1
58	еще тем что	1	1
59	один из наиболее	1	1
60	в этом отношении	2	1
61	в одном случае	1	1
62	то же время	1	1
63	далеко не всегда	1	1
64	более или менее	2	1
65	в то же	1	1
66	мы не сумеем	2	1
67	но и его	1	1
68	с этой точки	1	1
69	можно было бы	2	1
70	те или иные	1	1
71	мы не можем	1	1
72	в тех случаях	2	1
73	состоит в том	3	1
74	потому что они	1	1
75	а также и	5	1
76	может быть и	2	1
