N	3gram	Voloshinov	Poddanst
1	в том что	1	4
2	с точки зрения	6	3
3	с одной стороны	1	3
4	друг с другом	1	1
5	но в общем	2	1
6	и пр при	2	1
7	вместе с тем	1	1
8	в применении к	1	1
9	мы знаем что	1	1
10	не может быть	3	1
11	во многих случаях	1	1
12	в большинстве случаев	3	1
13	в этом смысле	3	1
14	по сравнению с	3	1
15	есть прежде всего	1	1
16	и пр в	1	1
17	во всяком случае	3	1
18	для того чтобы	1	1
19	сводится к следующему	1	1
20	касается не только	1	1
21	бы оно ни	1	1
22	так же как	2	1
23	и теперь в	1	1
24	и в этом	2	1
