N	3gram	Propp_Morf	Poddanst
1	то же время	1	7
2	в то же	1	7
3	в том что	4	4
4	с точки зрения	6	3
5	с одной стороны	2	3
6	нужно помнить что	1	2
7	и т д	60	1
8	друг с другом	1	1
9	совершенно ясно что	1	1
10	а в качестве	1	1
11	далеко не все	3	1
12	чтобы это сделать	1	1
13	того чтобы это	1	1
14	в применении к	1	1
15	если бы мы	1	1
16	думается что в	1	1
17	не может быть	9	1
18	о котором говорит	1	1
19	в большинстве случаев	3	1
20	если мы не	3	1
21	не более как	1	1
22	в собственном смысле	3	1
23	но в этом	1	1
24	точки зрения исторической	1	1
25	между тем в	1	1
26	во всяком случае	2	1
27	для того чтобы	3	1
28	ни к чему	2	1
29	и вслед за	1	1
30	как таковые как	1	1
31	с другой стороны	5	1
32	тем и другим	2	1
33	и в качестве	1	1
34	мы не будем	2	1
35	в настоящее время	3	1
36	но и другие	1	1
37	более или менее	2	1
38	мы не сумеем	2	1
39	каждый в отдельности	1	1
40	эти могут быть	1	1
41	и в какой	1	1
42	а в с	1	1
