N	3gram	Propp_Isto	EvropaiE
1	с одной стороны	7	8
2	в том что	6	6
3	одной стороны и	1	6
4	так же как	6	5
5	для того чтобы	1	5
6	того или иного	1	4
7	само по себе	2	4
8	не только в	5	4
9	то ни было	2	4
10	бы то ни	2	4
11	и в этом	1	4
12	друг с другом	3	3
13	во всех случаях	2	3
14	можно было бы	5	3
15	в этом смысле	1	3
16	же как и	1	3
17	и прежде всего	1	3
18	в этом отношении	1	3
19	в одном из	1	2
20	мы можем сказать	1	2
21	приводит нас к	1	2
22	но в то	1	2
23	не может быть	8	2
24	на то что	5	2
25	в большинстве случаев	4	2
26	прежде всего в	1	2
27	по себе не	1	2
28	хотя бы в	1	2
29	к тому чтобы	1	2
30	друг от друга	1	2
31	то что в	2	2
32	с другой стороны	7	2
33	вслед за тем	1	2
34	тому или иному	1	2
35	с течением времени	1	2
36	не говоря уже	1	2
37	мы видели что	3	1
38	при помощи которого	1	1
39	и т д	35	1
40	кажется что в	1	1
41	как одно из	1	1
42	только в области	1	1
43	нельзя сказать чтобы	1	1
44	в противном случае	1	1
45	в одной из	1	1
46	она никогда не	1	1
47	в том случае	1	1
48	и не только	1	1
49	на берегу моря	1	1
50	именно потому что	1	1
51	другой стороны в	1	1
52	не означает что	2	1
53	дело в том	3	1
54	а именно в	1	1
55	смысле этого слова	1	1
56	это может быть	2	1
57	большей или меньшей	2	1
58	к тому или	1	1
59	вопрос о характере	1	1
60	так и по	1	1
61	всех этих случаях	1	1
62	в других случаях	2	1
63	мы не можем	3	1
64	вместо того чтобы	2	1
65	на своем пути	1	1
66	к тому что	1	1
67	но и в	4	1
68	можем сказать что	1	1
69	отнюдь не означает	1	1
70	что наряду с	2	1
71	тех или иных	1	1
72	это один из	2	1
73	во многих случаях	1	1
74	то время как	3	1
75	в соответствии с	1	1
76	во всех этих	1	1
77	в отличие от	3	1
78	мы хотели бы	1	1
79	во всем его	1	1
80	в себе в	1	1
81	то мы увидим	1	1
82	через некоторое время	1	1
83	тех случаях когда	1	1
84	один и тот	2	1
85	при вступлении в	2	1
86	не более как	1	1
87	не могут быть	1	1
88	с тем что	3	1
89	мы увидим что	8	1
90	вовсе не в	1	1
91	в связи с	5	1
92	так и с	1	1
93	в некоторых случаях	2	1
94	и тот же	2	1
95	он не получит	1	1
96	прибавим от себя	1	1
97	можно рассматривать как	1	1
98	в стороне от	1	1
99	только в пределах	1	1
100	это значит что	1	1
101	в своем развитии	1	1
102	в нем и	1	1
103	в себе ничего	1	1
104	же обстоит дело	2	1
105	указать на то	1	1
106	говоря уже о	1	1
107	этот вопрос мы	2	1
108	в то время	3	1
109	только тогда когда	1	1
110	что в этом	1	1
111	более или менее	5	1
112	в значительной степени	1	1
113	но так как	2	1
114	на этот вопрос	2	1
115	это потому что	1	1
116	в большей или	1	1
117	но и для	1	1
118	в тех случаях	1	1
119	к тому же	1	1
