N	4gram	Tiupa_Vved	formyVre
1	в то же время	4	18
2	одного и того же	1	9
3	и в то же	1	8
4	с одной стороны и	3	5
5	в том числе и	1	5
6	одно и то же	1	5
7	одних и тех же	1	4
8	в той или иной	1	3
9	но в то же	1	3
10	так же как и	1	3
11	и в этом случае	1	2
12	дело в том что	1	2
13	одна и та же	1	2
14	той или иной степени	1	2
15	имеет начало и конец	1	2
16	то же время они	1	2
17	здесь как и в	1	2
18	и не могло быть	1	1
19	уплотняется становится художественно-зримым пространство	1	1
20	никогда не может быть	1	1
21	в осмысленном и конкретном	1	1
22	одновременно понимаем и всю	1	1
23	не было и не	1	1
24	художественно-зримым пространство же интенсифицируется	1	1
25	ее целостности и нераздельности	1	1
26	рассказывания в этом последнем	1	1
27	перед нами два события	1	1
28	события эти происходят в	1	1
29	и всю разность составляющих	1	1
30	нераздельности но одновременно понимаем	1	1
31	полноту в ее целостности	1	1
32	в едином но сложном	1	1
33	и на разных местах	1	1
34	слияние пространственных и временных	1	1
35	произведении и событие самого	1	1
36	сами участвуем как слушатели-читатели	1	1
37	как произведение в его	1	1
38	всю разность составляющих ее	1	1
39	обозначить как произведение в	1	1
40	событии которое мы можем	1	1
41	но сложном событии которое	1	1
42	участвуем как слушатели-читатели события	1	1
43	место слияние пространственных и	1	1
44	временных примет в осмысленном	1	1
45	движение времени сюжета истории	1	1
46	же время они неразрывно	1	1
47	и нераздельности но одновременно	1	1
48	последнем мы и сами	1	1
49	одной и той же	1	1
50	едином но сложном событии	1	1
51	бы не о чем	1	1
52	произведение в его событийной	1	1
53	того мира в котором	1	1
54	и конкретном целом время	1	1
55	осмысленном и конкретном целом	1	1
56	с другой стороны в	1	1
57	понимаем и всю разность	1	1
58	в движение времени сюжета	1	1
59	эту полноту в ее	1	1
60	и сами участвуем как	1	1
61	этом последнем мы и	1	1
62	к жизни и смерти	1	1
63	чужом для него мире	1	1
64	становится художественно-зримым пространство же	1	1
65	самого рассказывания в этом	1	1
66	конкретном целом время здесь	1	1
67	целом время здесь сгущается	1	1
68	целостности и нераздельности но	1	1
69	мы и сами участвуем	1	1
70	в ее целостности и	1	1
71	было и не могло	1	1
72	и по длительности и	1	1
73	эти происходят в разные	1	1
74	местах и в то	1	1
75	слушатели-читатели события эти происходят	1	1
76	можем обозначить как произведение	1	1
77	по длительности и на	1	1
78	рассказано в произведении и	1	1
79	как раз в том	1	1
80	в этом последнем мы	1	1
81	котором рассказано в произведении	1	1
82	на разных местах и	1	1
83	мы можем обозначить как	1	1
84	пространство же интенсифицируется втягивается	1	1
85	воспринимаем эту полноту в	1	1
86	втягивается в движение времени	1	1
87	примет в осмысленном и	1	1
88	дело не только в	1	1
89	длительности и на разных	1	1
90	в его событийной полноте	1	1
91	время здесь сгущается уплотняется	1	1
92	они неразрывно объединены в	1	1
93	неразрывно объединены в едином	1	1
94	сгущается уплотняется становится художественно-зримым	1	1
95	во времени и пространстве	1	1
96	разность составляющих ее моментов	1	1
97	в произведении и событие	1	1
98	которое мы можем обозначить	1	1
99	и событие самого рассказывания	1	1
100	пространственных и временных примет	1	1
101	и временных примет в	1	1
102	здесь сгущается уплотняется становится	1	1
103	разных местах и в	1	1
104	же интенсифицируется втягивается в	1	1
105	время они неразрывно объединены	1	1
106	о котором рассказано в	1	1
107	но в данном случае	1	1
108	событие самого рассказывания в	1	1
109	мы воспринимаем эту полноту	1	1
110	как слушатели-читатели события эти	1	1
111	сложном событии которое мы	1	1
112	было бы не о	1	1
113	интенсифицируется втягивается в движение	1	1
114	имеет место слияние пространственных	1	1
115	объединены в едином но	1	1
116	в качестве одной из	1	1
117	но одновременно понимаем и	1	1
118	событие о котором рассказано	1	1
119	происходят в разные времена	1	1
