N	3gram	Berdyaev_N	Stilisti
1	в зависимости от	1	7
2	заключает в себе	1	4
3	но и в	1	3
4	эти слова в	1	3
5	не только в	1	3
6	и для того	1	2
7	вместе с тем	2	2
8	не может быть	4	2
9	о том что	1	2
10	только потому что	1	2
11	равно как и	2	2
12	не должно быть	1	2
13	в значительной степени	1	2
14	в том что	1	1
15	в человеческом обществе	1	1
16	и в жизни	1	1
17	в том и	2	1
18	на это не	1	1
19	и в наши	1	1
20	всех своих сторон	1	1
21	мы должны перейти	1	1
22	в большинстве случаев	1	1
23	должны помнить что	1	1
24	в социальной жизни	1	1
25	это связано с	1	1
26	как и в	1	1
27	и во всех	1	1
28	в своем развитии	1	1
29	одного и того	1	1
30	не будет уже	1	1
31	со всех своих	1	1
32	до сих пор	1	1
33	было так много	1	1
34	в наши дни	3	1
35	должно было быть	1	1
36	в нем ничего	1	1
37	и того же	1	1
38	и не могут	1	1
39	в высшей степени	6	1
40	нужно помнить что	1	1
41	та или иная	1	1
42	с другой стороны	2	1
43	вопрос о том	2	1
44	можно было бы	1	1
45	и не может	1	1
