N	3gram	Medvedev_U	Tragedij
1	то же время	3	5
2	в то же	3	5
3	в том что	2	2
4	и в частности	2	2
5	но в то	1	2
6	в данном случае	1	2
7	и не случайно	1	2
8	ничего не значит	1	1
9	сам по себе	1	1
10	должно быть по	1	1
11	а между тем	2	1
12	в конце концов	2	1
13	она все же	1	1
14	в той же	1	1
15	не может быть	4	1
16	по нашему мнению	3	1
17	в этом случае	1	1
18	и то что	2	1
19	не могут быть	2	1
20	хотя бы и	2	1
21	может быть в	1	1
22	в самом деле	2	1
23	не только к	1	1
24	все же не	1	1
25	еще ничего не	2	1
