N	3gram	Bakhtin_Pr	FransuaR
1	то же время	10	55
2	в то же	10	55
3	мы уже говорили	2	43
4	как мы уже	2	28
5	в том что	10	27
6	в том числе	1	27
7	до сих пор	3	27
8	в большинстве случаев	3	22
9	с точки зрения	21	20
10	но в то	5	20
11	в этом отношении	7	20
12	для того чтобы	3	17
13	том числе и	1	17
14	о том что	5	17
15	как мы видели	3	16
16	и до конца	4	16
17	то есть в	10	15
18	жизни и смерти	7	15
19	сих пор еще	1	15
20	нужно сказать что	2	14
21	с начала и	2	14
22	начала и до	2	14
23	не может быть	8	13
24	дело в том	1	13
25	в той же	3	13
26	на самом деле	4	13
27	и в то	3	12
28	с другой стороны	3	12
29	в другом месте	1	12
30	все то что	3	11
31	в отличие от	3	11
32	можно сказать что	3	11
33	в той или	2	10
34	таким образом и	1	10
35	той или иной	3	10
36	в данном случае	3	10
37	в значительной степени	1	10
38	в конце концов	7	10
39	не только в	2	10
40	мы видим что	2	9
41	по отношению к	17	9
42	так и в	1	9
43	зрения на мир	7	9
44	до известной степени	1	9
45	существенную роль в	1	9
46	вполне понятно что	1	8
47	таким образом в	2	8
48	в его целом	8	8
49	более или менее	1	8
50	в его романе	1	8
51	на протяжении всего	2	8
52	и т.п все	2	8
53	в самом деле	5	7
54	в то время	3	7
55	нужно отметить что	1	7
56	и в романе	3	7
57	в чем же	1	7
58	можно было бы	4	7
59	прежде всего в	1	7
60	это конечно не	1	7
61	и в других	1	7
62	в своей книге	2	7
63	подобно тому как	5	7
64	во всех этих	1	7
65	то есть о	1	6
66	но все же	3	6
67	имеем в виду	2	6
68	нужно подчеркнуть что	1	6
69	выходит за пределы	2	6
70	это прежде всего	1	6
71	то есть только	2	6
72	в новое время	1	6
73	с самого начала	3	6
74	в сущности только	2	6
75	как мы сказали	2	6
76	друг с другом	4	5
77	то же самое	1	5
78	по сравнению с	2	5
79	и в частности	1	5
80	мы имеем в	2	5
81	во всяком случае	3	5
82	все это в	1	5
83	прежде всего необходимо	1	5
84	на первом плане	1	5
85	в первом случае	1	5
86	потому что он	2	5
87	только то что	2	5
88	как бы в	3	5
89	это и есть	3	5
90	и так сказать	1	5
91	то что в	1	4
92	т.п все это	1	4
93	и той же	1	4
94	то есть с	2	4
95	сказать что в	1	4
96	для правильного понимания	1	4
97	сочетается здесь с	1	4
98	но несмотря на	1	4
99	в частности и	1	4
100	по ту сторону	2	4
101	так как его	1	4
102	точки зрения на	2	4
103	понимания и оценки	1	4
104	и еще не	2	4
105	в самой жизни	1	4
106	в одном из	3	4
107	таким образом все	2	4
108	на этот вопрос	1	4
109	так же как	4	4
110	и то что	1	4
111	в нем только	1	4
112	литературе и в	1	4
113	сказать что и	1	4
114	в самом начале	3	4
115	в нем и	2	4
116	что и в	1	4
117	может быть и	1	4
118	точку зрения на	4	4
119	на мир и	3	4
120	но прежде всего	1	4
121	одной и той	1	4
122	как раз и	2	4
123	мы увидим дальше	1	4
124	это вовсе не	2	4
125	и не может	3	4
126	но он не	2	4
127	и в самом	1	4
128	а следовательно и	1	4
129	конечно не в	1	4
130	это в сущности	1	4
131	о котором мы	1	4
132	и как бы	3	3
133	он как бы	2	3
134	или иной степени	2	3
135	переходит в другое	2	3
136	в своей статье	1	3
137	у него в	1	3
138	друг от друга	2	3
139	но и с	1	3
140	очень характерно для	1	3
141	не только с	1	3
142	в сущности не	1	3
143	в его творчестве	3	3
144	смысле этого слова	2	3
145	между тем как	4	3
146	в одном месте	1	3
147	можно говорить о	1	3
148	они вовсе не	1	3
149	не только не	1	3
150	и того же	1	3
151	и т.п и	1	3
152	не входит в	3	3
153	в виду прежде	1	3
154	но это не	3	3
155	в области литературы	1	3
156	он не только	2	3
157	правда о мире	1	3
158	то есть все	1	3
159	в себе и	1	3
160	в целом ряде	2	3
161	у него был	1	3
162	как один из	1	3
163	в этих условиях	1	3
164	все же не	1	3
165	но конечно не	1	3
166	ни с одним	1	3
167	как бы ни	1	3
168	но на самом	1	3
169	и не могут	1	3
170	является одним из	2	3
171	оно ни было	1	3
172	почти во всех	1	3
173	мы уже отмечали	2	3
174	в себе в	1	3
175	прямо сказать что	1	3
176	что все это	1	3
177	в этом смысле	12	3
178	в ее целом	1	3
179	можно прямо сказать	1	3
180	далеко за пределы	1	3
181	уже говорили в	1	3
182	одного и того	1	3
183	в одной плоскости	7	3
184	именно потому что	3	3
185	тех или иных	1	3
186	хотя он и	1	3
187	бы то ни	3	3
188	говорит об этом	2	3
189	и в том	2	3
190	и в этом	8	3
191	там где он	1	3
192	с одним из	1	3
193	виду прежде всего	1	3
194	так в особенности	1	3
195	заключается в том	2	3
196	характерно что в	1	3
197	бы оно ни	1	3
198	так и не	1	3
199	с таким же	1	3
200	в основе этого	1	3
201	в дантовском мире	2	3
202	все эти три	1	3
203	что в нем	1	3
204	в предисловии к	1	3
205	нет и не	1	3
206	может быть в	1	2
207	но и не	2	2
208	несмотря на их	1	2
209	же время не	3	2
210	том что это	1	2
211	точка зрения на	2	2
212	в пятой главе	1	2
213	на одном уровне	1	2
214	они и не	2	2
215	самом деле в	1	2
216	наконец и это	1	2
217	как и его	1	2
218	что и у	1	2
219	и превращается в	1	2
220	совершенно так же	2	2
221	потому что она	3	2
222	рядом с этим	1	2
223	но не только	2	2
224	не потому что	3	2
225	друг за другом	1	2
226	нам важна здесь	4	2
227	он в сущности	1	2
228	что это не	1	2
229	далеко не все	1	2
230	большинстве случаев в	1	2
231	оно и не	1	2
232	как мы сейчас	1	2
233	то ни было	2	2
234	в нем нет	1	2
235	и потому не	1	2
236	в нем в	1	2
237	то что он	1	2
238	сливается с ним	1	2
239	и только в	1	2
240	видеть в нем	1	2
241	роль в романе	1	2
242	в том чтобы	1	2
243	здесь вовсе не	1	2
244	еще раз подчеркнуть	2	2
245	смысл и значение	1	2
246	в своем произведении	1	2
247	в нашем смысле	1	2
248	в основе его	1	2
249	вовсе еще не	1	2
250	он остается в	2	2
251	у нее нет	1	2
252	громадную роль в	1	2
253	так и к	1	2
254	в них в	1	2
255	он и не	3	2
256	рядом с ним	1	2
257	как бы к	1	2
258	с самим собой	1	2
259	не могут быть	1	2
260	можем судить о	1	2
261	никогда не может	1	2
262	притом не только	1	2
263	в литературе как	1	2
264	новые и новые	1	2
265	в полной мере	1	2
266	мы можем судить	1	2
267	можем сказать что	2	2
268	в себе все	2	2
269	же что и	1	2
270	которой можно было	1	2
271	нам важно подчеркнуть	1	2
272	как бы оно	1	2
273	и есть то	1	2
274	все новые и	1	2
275	может быть только	3	2
276	сводить к нему	1	2
277	и не только	1	2
278	мы можем сказать	2	2
279	целом ряде других	2	2
280	в его произведениях	3	2
281	каждый из них	1	2
282	жизни в ее	1	2
283	и по отношению	1	2
284	к нему все	1	2
285	то что для	1	2
286	котором мы остановимся	1	2
287	на равных правах	2	2
288	поэтому он и	1	2
289	его как бы	1	2
290	и в его	3	2
291	в известном смысле	1	2
292	кроме того он	1	2
293	была для него	3	2
294	к нему и	2	2
295	в дальнейшем в	1	2
296	на котором мы	1	2
297	обычной то есть	1	2
298	что у него	1	2
299	и вот в	1	2
300	понять и оценить	2	2
301	но в них	1	2
302	плоскости на одном	1	2
303	какой бы то	1	2
304	и в нем	1	2
305	и особенно у	1	2
306	ничего общего с	1	2
307	со всеми ее	1	2
308	и на равных	1	2
309	мир и на	3	2
310	но именно этот	2	2
311	своей статье о	1	2
312	видения и понимания	3	2
313	что дело идет	2	2
314	мира с его	1	2
315	же время и	1	2
316	в обычном смысле	2	2
317	то что было	3	2
318	и в целом	2	2
319	выход за пределы	1	2
320	при всей их	1	2
321	в этом случае	1	2
322	том что он	4	2
