N	3gram	Bakhtin_fo	SlovoVZh
1	по отношению к	3	11
2	не может быть	4	7
3	можно сказать что	1	5
4	в том что	4	4
5	дело в том	2	4
6	как если бы	2	4
7	до сих пор	4	3
8	этой точки зрения	1	3
9	это как бы	1	3
10	может быть и	4	3
11	имеем в виду	3	2
12	на самом деле	1	2
13	и для других	1	2
14	одной стороны и	2	2
15	в жизни и	1	2
16	то же самое	1	2
17	в этих двух	1	2
18	одно и то	4	2
19	в данном случае	2	2
20	в зависимости от	1	2
21	лежит на границе	1	2
22	с одной стороны	3	2
23	с другой стороны	1	2
24	до известной степени	1	2
25	и то же	4	2
26	но отнюдь не	1	2
27	с точки зрения	9	2
28	и явлениями и	1	1
29	со всех сторон	2	1
30	сих пор не	1	1
31	сами по себе	2	1
32	в нашем случае	1	1
33	зависимости от ранга	1	1
34	в пространстве и	5	1
35	о том что	2	1
36	включает в себя	1	1
37	только в организации	1	1
38	в самом деле	1	1
39	совершенно ясно что	1	1
40	и самое слово	1	1
41	особенно важное значение	2	1
42	все более и	2	1
43	в высшей степени	1	1
44	в свою очередь	1	1
45	но мы можем	1	1
46	и в поэзии	2	1
47	и в частности	2	1
48	мы это уже	1	1
49	и та же	2	1
50	разобранные нами моменты	1	1
51	как и в	3	1
52	они должны быть	1	1
53	том что все	1	1
54	место в событии	1	1
55	как мы уже	11	1
56	сама по себе	1	1
57	он имеет в	1	1
58	но в процессе	1	1
59	в том же	3	1
60	при этом свое	1	1
61	более того если	1	1
62	прежде всего совершенно	1	1
63	и для него	1	1
64	в так называемой	1	1
65	во всяком случае	1	1
66	в литературе и	1	1
67	и др и	1	1
68	здесь имеет место	1	1
69	никогда не бывает	1	1
70	но в то	2	1
71	и проч из	1	1
72	равно как и	4	1
73	и дает место	2	1
74	в своем движении	1	1
75	здесь же мы	1	1
76	с самого начала	3	1
77	вступает в свои	1	1
78	же как и	2	1
79	и в пространстве	1	1
80	одна и та	2	1
81	по аналогии с	1	1
82	которого и является	1	1
83	принимают участие в	1	1
84	в этом отношении	5	1
85	так же как	2	1
86	то же время	13	1
87	точку зрения другого	1	1
88	между тем как	1	1
89	в свои права	1	1
90	вещами и явлениями	1	1
91	точки зрения не	3	1
92	для нас не	1	1
93	и прежде всего	4	1
94	прежде всего нужно	2	1
95	но и в	5	1
96	в них и	1	1
97	более и более	2	1
98	в то же	10	1
99	мы имеем в	2	1
100	в чем не	3	1
101	в значительной степени	1	1
102	то время как	2	1
103	говорит о том	1	1
104	том что в	1	1
105	и во времени	3	1
106	на второй план	1	1
107	и в этом	2	1
108	ни в чем	3	1
109	с такою же	1	1
110	того чтобы не	1	1
111	в частности в	1	1
112	и тогда когда	1	1
113	к герою и	1	1
114	в то время	3	1
115	или хотя бы	1	1
116	но все это	1	1
117	ровно ничего не	1	1
118	вопросов связанных с	1	1
119	но все же	3	1
120	пространстве и во	2	1
121	мы уже сказали	4	1
122	мы видели в	1	1
123	все разобранные нами	1	1
124	к тому же	2	1
125	друг к другу	2	1
126	человеческого общества все	1	1
127	может быть только	3	1
128	к вопросу о	2	1
