N	3gram	Bakhtin_Fr	VrazhdaK
1	то же время	12	4
2	в то же	12	4
3	в связи с	2	3
4	имел в виду	1	3
5	в том что	4	2
6	но в то	3	2
7	в эти годы	1	2
8	как раз в	1	2
9	с точки зрения	4	2
10	что в начале	1	2
11	в году в	1	2
12	все же в	1	1
13	к людям если	1	1
14	году в париже	1	1
15	и все что	1	1
16	а также в	1	1
17	в свою очередь	3	1
18	в ту эпоху	1	1
19	каждый из них	2	1
20	же время и	1	1
21	одна из вариаций	1	1
22	в то время	1	1
23	в конце концов	5	1
24	не знали что	1	1
25	речь идет о	1	1
26	и во всей	1	1
27	в нем самом	1	1
28	вот ее начало	1	1
29	был в то	1	1
30	о том как	3	1
31	в той же	5	1
32	в период создания	1	1
33	что уже в	1	1
34	и во всем	1	1
35	не забудем что	1	1
36	в этом смысле	1	1
37	заключается в том	1	1
38	а с другой	1	1
39	в июле года	1	1
40	что в нем	1	1
41	они как бы	1	1
42	к этому образу	1	1
43	это не было	1	1
44	и то что	1	1
45	раз в году	1	1
46	о том что	4	1
47	в мировой литературе	1	1
48	до сих пор	3	1
49	в это время	1	1
50	в том же	1	1
51	во всяком случае	1	1
52	а следовательно и	2	1
53	вряд ли он	1	1
54	как он сам	1	1
55	и в самом	1	1
56	как бы в	1	1
57	на первый план	2	1
58	с другой стороны	2	1
59	в другой раз	1	1
60	более того в	1	1
61	в литературе и	2	1
62	чуть было не	1	1
63	у него в	2	1
64	и из него	1	1
65	один раз в	1	1
66	что у него	2	1
67	это и есть	1	1
68	и в ней	1	1
69	тем более что	1	1
70	в этом отношении	3	1
71	и что он	1	1
72	и в этом	1	1
