N	4gram	Trubetskoy	FransuaR
1	в то же время	10	55
2	но в то же	1	20
3	в том числе и	1	17
4	дело в том что	1	13
5	не подлежит никакому сомнению	1	5
6	подлежит никакому сомнению что	1	4
7	и не может быть	1	4
8	то же время в	1	4
9	одного и того же	1	3
10	но на самом деле	1	3
11	с точки зрения этих	1	2
12	мы уже знаем что	1	2
13	заключается в том что	1	2
14	бы то ни было	1	2
15	для этого прежде всего	1	2
16	этого прежде всего необходимо	1	2
17	и прежде всего в	1	2
18	говорили в другом месте	1	2
19	только для того чтобы	1	2
20	и с точки зрения	1	2
21	то же время эти	1	1
22	в том и в	2	1
23	два аспекта одного и	1	1
24	что с точки зрения	1	1
25	во всяком случае не	1	1
26	но для этого прежде	1	1
27	по самому своему существу	1	1
28	в основе его лежит	1	1
29	и в другом случае	2	1
30	их в самом себе	1	1
31	и вместе с тем	2	1
32	аспекта одного и того	1	1
33	том и в другом	2	1
34	и в том и	2	1
35	в большинстве случаев это	1	1
36	в том случае если	3	1
37	до сих пор мы	1	1
38	то же время она	1	1
39	это то же самое	1	1
40	но мы уже знаем	1	1
41	то же время вполне	1	1
42	говорить о том что	1	1
43	того чтобы освободиться от	1	1
44	яркое выражение в его	1	1
45	и в некоторых других	1	1
46	свидетельствуют о том что	1	1
