N	2gram	Propp_Isto	DiskursI
1	в качестве	4	72
2	а не	13	60
3	может быть	22	56
4	не только	28	49
5	и в	43	49
6	как и	9	47
7	тогда как	6	47
8	при этом	4	46
9	и не	16	44
10	в том	13	44
11	представляет собой	6	41
12	том что	12	40
13	в этом	25	38
14	в себе	2	37
15	состоит в	4	37
16	в частности	6	36
17	но и	24	35
18	своего рода	1	32
19	но не	10	31
20	со стороны	3	28
21	но в	15	28
22	так и	6	28
23	не может	8	27
24	по своей	1	26
25	как в	6	25
26	такого рода	1	24
27	отнюдь не	1	23
28	еще не	15	23
29	а также	5	20
30	в своей	4	19
31	все же	13	19
32	в нем	11	19
33	прежде всего	3	19
34	далеко не	3	18
35	то же	11	17
36	в данном	7	17
37	с другой	10	17
38	в мире	1	17
39	по отношению	2	17
40	отношению к	2	17
41	точки зрения	3	16
42	только в	8	16
43	о том	4	15
44	то что	20	15
45	роль в	2	15
46	в его	7	15
47	не менее	6	14
48	можно сказать	3	14
49	одной стороны	2	14
50	с одной	2	14
51	не в	9	14
52	это не	10	14
53	как бы	5	13
54	в целом	4	13
55	в своих	1	12
56	ведет к	2	12
57	при всей	1	12
58	в своем	2	12
59	и на	7	12
60	и все	4	12
61	данном случае	6	12
62	как правило	3	11
63	не было	2	11
64	столь же	1	11
65	что в	29	11
66	с его	1	11
67	и как	6	11
68	в тексте	1	11
69	не столько	1	10
70	а в	13	10
71	также и	1	10
72	в них	6	9
73	уже не	11	9
74	себя в	2	9
75	между тем	2	9
76	в силу	2	9
77	в то	2	9
78	героя в	6	9
79	сводится к	1	9
80	в этих	18	8
81	и даже	4	8
82	в соответствии	1	8
83	к тому	9	8
84	в котором	5	8
85	в одном	9	8
86	из них	7	8
87	хотя и	4	8
88	в себя	3	8
89	он не	11	8
90	не на	2	8
91	не следует	2	8
92	совпадает с	1	8
93	потому что	8	8
94	соответствии с	1	8
95	человека в	2	8
96	не с	2	8
97	и о	2	8
98	о чем	1	7
99	другой стороны	10	7
100	таким образом	15	7
101	в русской	5	7
102	одной из	1	7
103	что и	17	7
104	тому же	4	7
105	его в	7	7
106	к этому	10	7
107	в этой	7	7
108	могут быть	9	7
109	например в	3	7
110	ни в	2	7
111	приводит к	1	7
112	перед нами	4	7
113	той же	3	7
114	но это	5	7
115	и для	3	7
116	в пределах	5	7
117	и ее	3	7
118	и его	10	7
119	не как	1	6
120	одно из	2	6
121	именно в	1	6
122	в сказании	1	6
123	времени в	1	6
124	одна из	2	6
125	никогда не	9	6
126	сказать и	1	6
127	с точки	1	6
128	в ее	1	6
129	не знает	2	6
130	во всех	1	6
131	героя и	1	6
132	однако в	1	6
133	в особенности	3	6
134	и то	4	6
135	что он	17	6
136	к его	1	6
137	в которых	7	6
138	что же	2	6
139	здесь не	6	6
140	одновременно и	1	6
141	в эпоху	1	6
142	в одной	4	6
143	тому как	3	6
144	и может	1	6
145	отношение к	4	6
146	одного из	2	6
147	исходя из	2	5
148	в виду	2	5
149	к своим	1	5
150	в первую	1	5
151	в другом	11	5
152	не всегда	7	5
153	но они	2	5
154	говорить о	1	5
155	для данного	1	5
156	не вполне	7	5
157	свою очередь	1	5
158	перед ним	1	5
159	к ним	1	5
160	сказать что	5	5
161	к себе	3	5
162	несмотря на	1	5
163	как раз	1	5
164	в сторону	3	5
165	на этом	5	5
166	с ее	2	5
167	тем что	8	5
168	во второй	2	5
169	один из	7	5
170	представляют собой	5	5
171	подобно тому	3	5
172	в свою	5	5
173	принадлежит к	4	5
174	при котором	2	5
175	ничего не	12	5
176	того что	8	5
177	того как	3	5
178	о нем	2	5
179	здесь в	2	5
180	в ней	3	5
181	и потому	2	5
182	из этих	5	5
183	но она	2	5
184	стороны и	3	5
185	же самое	1	5
186	как будто	2	5
187	не к	1	5
188	в самом	1	4
189	и к	4	4
190	человеческой жизни	1	4
191	говорит о	1	4
192	по мере	2	4
193	ни одна	1	4
194	или на	1	4
195	и до	1	4
196	см в	4	4
197	в жизни	3	4
198	его на	6	4
199	отличается от	1	4
200	во всяком	2	4
201	восходит к	1	4
202	между двумя	6	4
203	чего не	1	4
204	только на	2	4
205	а сам	2	4
206	что они	14	4
207	указать на	4	4
208	об одном	1	4
209	тем не	6	4
210	к жизни	2	4
211	связи с	9	4
212	будто бы	1	4
213	одним из	4	4
214	что не	3	4
215	который по	1	4
216	я не	3	4
217	не есть	3	4
218	одном из	3	4
219	по себе	3	4
220	в исторической	3	4
221	и это	5	4
222	и тем	2	4
223	как это	5	4
224	должны быть	1	4
225	хотя в	1	4
226	это в	2	4
227	и есть	3	4
228	с ним	1	4
229	из того	2	4
230	особого рода	3	4
231	с ней	6	4
232	к другому	1	4
233	более чем	1	4
234	подобного рода	1	4
235	и во	1	4
236	мире в	2	4
237	у них	1	4
238	неотделимо от	1	4
239	предстает как	1	4
240	этом случае	8	4
241	зависит от	1	4
242	мы имеем	24	4
243	не для	1	4
244	и др	4	4
245	со своим	1	4
246	или в	14	4
247	однако это	4	4
248	по своему	1	4
249	но уже	1	4
250	на его	5	4
251	вследствие чего	2	4
252	а на	5	4
253	а к	1	4
254	а по	1	4
255	и прежде	1	4
256	является в	2	3
257	в момент	1	3
258	которая в	2	3
259	дело с	2	3
260	на смену	7	3
261	в мифе	2	3
262	но все	5	3
263	и сам	1	3
264	там же	2	3
265	их в	6	3
266	тенденция к	1	3
267	с этим	13	3
268	вопрос о	4	3
269	входит в	1	3
270	наличие в	2	3
271	как на	1	3
272	имеем дело	1	3
273	тут же	4	3
274	о ней	2	3
275	и он	2	3
276	в жертву	1	3
277	и столь	1	3
278	вплоть до	2	3
279	обнаруживается в	1	3
280	к которому	6	3
281	или не	3	3
282	в которой	1	3
283	к чему	2	3
284	на себя	5	3
285	в области	1	3
286	между собой	2	3
287	как у	2	3
288	о себе	3	3
289	но как	2	3
290	выступает в	1	3
291	действия в	1	3
292	и что	6	3
293	в тех	3	3
294	для человека	1	3
295	в форме	1	3
296	героя как	1	3
297	не просто	4	3
298	было бы	5	3
299	не будучи	1	3
300	его как	1	3
301	о его	2	3
302	и от	3	3
303	ней в	2	3
304	бы быть	1	3
305	и по	6	3
306	не случайно	2	3
307	еще одно	1	3
308	из возможных	1	3
309	они и	3	3
310	живет в	8	3
311	должна быть	2	3
312	с миром	3	3
313	содержит в	2	3
314	заключается в	1	3
315	обоих случаях	1	3
316	как не	2	3
317	вместе с	12	3
318	где герой	1	3
319	и герой	3	3
320	не имеет	3	3
321	да и	2	3
322	в следующей	1	3
323	всей своей	1	3
324	он мог	1	3
325	уже говорилось	1	3
326	это и	4	3
327	в главе	2	3
328	и более	3	3
