N	2gram	Trubetskoy	Istorich
1	и в	26	181
2	может быть	10	115
3	не только	10	114
4	что он	4	111
5	мы имеем	2	102
6	что в	9	90
7	но и	9	85
8	в этом	15	81
9	так как	9	75
10	то что	7	73
11	таким образом	22	72
12	вместе с	15	71
13	и не	8	67
14	мы видим	1	65
15	все же	6	65
16	в этих	4	64
17	еще не	2	63
18	не может	4	61
19	так же	5	57
20	то же	4	56
21	никогда не	5	56
22	в том	11	53
23	том что	7	53
24	а в	4	52
25	с другой	8	52
26	потому что	7	52
27	и что	4	51
28	и здесь	2	51
29	что и	6	51
30	мы видели	2	49
31	а не	5	48
32	о том	6	48
33	связь с	2	47
34	его в	1	47
35	не в	2	47
36	другой стороны	1	46
37	превращается в	2	45
38	и пр	1	44
39	мы должны	6	44
40	но в	7	44
41	это не	1	43
42	и его	1	43
43	мы знаем	1	42
44	в нем	4	42
45	только в	4	42
46	как в	1	42
47	представление о	6	41
48	тем что	1	38
49	и на	2	38
50	в его	5	38
51	как и	1	37
52	уже не	3	37
53	мы уже	1	37
54	он не	4	37
55	что здесь	1	37
56	так и	6	37
57	мы можем	2	36
58	что они	1	35
59	с тем	18	35
60	мы не	1	35
61	все эти	6	35
62	не всегда	2	34
63	связи с	9	34
64	но не	8	34
65	а именно	1	34
66	у него	1	34
67	во время	4	34
68	что это	3	34
69	видим что	1	34
70	же как	3	33
71	там где	1	33
72	сих пор	5	32
73	попадает в	4	32
74	в качестве	3	32
75	один из	2	31
76	прежде всего	2	31
77	представляет собой	3	31
78	ничего не	1	31
79	с этим	1	30
80	с одной	7	30
81	до сих	5	30
82	к нему	7	30
83	при помощи	1	30
84	но все	7	29
85	одной стороны	7	29
86	но это	1	29
87	и другие	3	28
88	что она	1	28
89	и с	10	28
90	так что	3	27
91	могут быть	1	27
92	в образе	2	27
93	того что	3	27
94	в ином	1	27
95	представляют собой	1	26
96	в ней	1	26
97	не менее	3	24
98	к этому	3	24
99	было бы	1	24
100	того как	1	24
101	в виде	4	24
102	если бы	3	24
103	что мы	2	24
104	их в	1	23
105	как бы	12	23
106	точно так	3	23
107	и это	2	23
108	тем не	3	23
109	в этой	4	23
110	имеем в	1	23
111	все это	6	23
112	когда он	3	23
113	и по	4	22
114	с ним	1	22
115	при этом	3	22
116	связано с	2	21
117	в одном	3	21
118	сказать что	2	21
119	совершенно ясно	1	21
120	в связи	3	21
121	связан с	2	21
122	должны были	1	21
123	здесь не	1	21
