N	4gram	Voloshinov	Literetu
1	в то же время	7	21
2	не говоря уже о	1	6
3	с этой точки зрения	1	5
4	бы то ни было	11	4
5	какого бы то ни	2	3
6	с одной стороны и	1	3
7	в том числе и	3	3
8	до тех пор пока	2	2
9	дело в том что	1	2
10	мыслится при этом как	1	2
11	одно и то же	3	2
12	именно в том что	1	1
13	не что иное как	1	1
14	и прежде всего в	1	1
15	не только по отношению	1	1
16	и того же слова	3	1
17	все более и более	2	1
18	по крайней мере двух	1	1
19	и не может быть	5	1
20	и в соответствии с	1	1
21	с точки зрения говорящего	1	1
22	нет и не может	2	1
23	одного и того же	9	1
24	в том что он	3	1
25	только по отношению к	1	1
26	с предшествующим и последующим	1	1
27	тех пор пока не	1	1
28	в той или иной	3	1
29	но в то же	6	1
30	приводит к тому что	1	1
31	одним и тем же	2	1
32	какой бы то ни	3	1
