N	3gram	Voloshinov	Sovremen
1	с точки зрения	31	5
2	в зависимости от	2	4
3	не может быть	23	4
4	мы видели что	1	3
5	с самого начала	9	3
6	реальный момент времени	1	2
7	друг с другом	2	2
8	самый вопрос о	1	2
9	в свою очередь	5	2
10	с помощью которых	1	2
11	то же самое	8	2
12	во всяком случае	4	2
13	тем не менее	3	2
14	в отличие от	7	2
15	в настоящее время	6	2
16	может быть и	8	2
17	в один реальный	1	1
18	не было бы	3	1
19	что в каждом	1	1
20	то ни было	11	1
21	состоит из двух	1	1
22	с и т.д	1	1
23	в том что	9	1
24	один и тот	3	1
25	и те же	5	1
26	на самом деле	5	1
27	совершенно независимо от	2	1
28	дело идет о	1	1
29	не могут быть	3	1
30	как и во	1	1
31	до сих пор	10	1
32	одни и те	5	1
33	одной стороны и	1	1
34	ведь ясно что	2	1
35	все более и	2	1
36	а может быть	1	1
37	до наших дней	1	1
38	ясно что все	1	1
39	сами по себе	1	1
40	и тот же	3	1
41	в новое время	1	1
42	но уже в	1	1
43	лишь там где	3	1
44	не что иное	1	1
45	одна и та	1	1
46	в предыдущей главе	1	1
47	и та же	1	1
48	в связи с	12	1
49	ни в один	1	1
50	может быть в	1	1
51	в самом деле	13	1
52	какой бы то	3	1
53	дело в том	1	1
54	между ним и	1	1
55	как мы видим	1	1
56	той или иной	5	1
57	в результате мы	1	1
58	что иное как	1	1
59	и не было	1	1
60	от общего и	1	1
61	все это делает	1	1
62	но все же	4	1
63	мы уже знаем	2	1
64	равно как и	1	1
65	совершенно так же	1	1
66	в этом направлении	1	1
67	один реальный момент	1	1
68	и пр но	2	1
69	остается подвести итоги	1	1
70	ничего общего не	1	1
71	и прежде всего	4	1
72	и той же	2	1
73	в конечном счете	1	1
74	это значит что	1	1
75	но если мы	1	1
76	с одной стороны	2	1
77	точки зрения своего	2	1
78	одной и той	2	1
79	она и не	1	1
80	они не могут	1	1
81	всегда и всюду	3	1
82	более и более	2	1
83	так же как	2	1
84	по аналогии с	1	1
85	точки зрения и	1	1
86	то же время	7	1
87	прежде всего необходимо	1	1
88	а не только	1	1
89	в одном направлении	1	1
90	не может ведь	1	1
91	быть и речи	4	1
92	по отношению к	9	1
93	в то же	7	1
94	но они не	1	1
95	но ведь это	1	1
96	оно может быть	1	1
97	бы то ни	11	1
98	теперь мы должны	2	1
99	главного представителя современного	1	1
100	почти у каждого	1	1
101	на этот вопрос	3	1
102	но отнюдь не	1	1
103	по крайней мере	1	1
104	в этом случае	3	1
105	тот или иной	2	1
106	же самое что	1	1
107	можно было бы	2	1
108	именно в том	1	1
109	в этом смысле	2	1
110	и не может	11	1
111	ни о каком	1	1
112	но тем не	1	1
113	же этот процесс	1	1
114	может быть только	1	1
