N	4gram	Bakhtin_sl	TeoriaLi
1	в то же время	15	8
2	имеем в виду не	1	3
3	мы имеем в виду	1	3
4	в том числе и	1	2
5	с этой точки зрения	1	2
6	в том что он	1	2
7	одно и то же	2	2
8	бы то ни было	1	2
9	но в то же	6	2
10	и в то же	6	2
11	бы они ни были	1	1
12	том что он не	1	1
13	в том что в	1	1
14	с одной стороны и	2	1
15	языка не может быть	2	1
16	в отношении к нему	1	1
17	уходит своими корнями в	2	1
18	дело в том что	1	1
19	и тем и другим	2	1
20	в той или иной	12	1
21	сама по себе еще	1	1
22	оттесняет на задний план	1	1
