N	3gram	Ircho_Kome	Hudozhes
1	по отношению к	5	10
2	в том что	13	8
3	в то же	5	7
4	в отличие от	3	7
5	то же время	5	7
6	с другой стороны	6	6
7	более или менее	1	6
8	той или иной	1	5
9	для того чтобы	3	5
10	состоит в том	1	5
11	так или иначе	4	4
12	того или иного	1	4
13	так и не	1	4
14	в этом смысле	2	3
15	и в самом	1	3
16	в том числе	4	3
17	тем не менее	2	3
18	подобно тому как	1	3
19	в связи с	3	3
20	с одной стороны	5	3
21	бы то ни	4	2
22	но он не	1	2
23	и прежде всего	1	2
24	в общественном сознании	1	2
25	этой точки зрения	1	2
26	с этой точки	1	2
27	в коем случае	1	2
28	ни в коем	1	2
29	в отношении к	1	2
30	том числе и	1	2
31	том что он	4	2
32	то ни было	4	2
33	к тому что	3	2
34	в значительной степени	1	2
35	мы имеем дело	1	2
36	точно так же	1	1
37	что он не	2	1
38	может и не	1	1
39	мере в какой	1	1
40	автор обращается к	1	1
41	если никто не	1	1
42	вовсе не означает	1	1
43	те и другие	1	1
44	если говорить о	1	1
45	в соответствии с	2	1
46	только в условиях	1	1
47	в котором по	1	1
48	в самом начале	3	1
49	при этом что	2	1
50	о том что	6	1
51	далекого прошлого с	1	1
52	в последние десятилетия	1	1
53	как и в	2	1
54	и те и	1	1
55	а в другом	1	1
56	и частной жизни	1	1
57	как один из	1	1
58	что одна из	1	1
59	состоит не в	1	1
60	как видно из	2	1
61	не в состоянии	3	1
62	связи с этим	1	1
63	друг от друга	2	1
64	друг перед другом	1	1
65	в то время	8	1
66	в основе его	1	1
67	во времени и	1	1
68	в частности все	1	1
69	в одной из	1	1
70	в том случае	1	1
71	именно потому что	2	1
72	не что иное	1	1
73	между тем к	1	1
74	в зависимости от	1	1
75	так же как	1	1
76	речь идет о	5	1
77	в поле зрения	2	1
78	можно говорить о	1	1
79	к тому же	12	1
80	решающая роль в	1	1
81	в первую очередь	5	1
82	в рамках этой	1	1
83	в частности в	2	1
84	в новое время	2	1
85	то же самое	2	1
86	том случае если	1	1
87	что иное как	1	1
88	и на его	1	1
89	едва ли не	6	1
90	точки зрения у	1	1
91	в одном случае	1	1
92	перед лицом смерти	1	1
93	я думаю что	2	1
94	не более чем	2	1
95	и в том	1	1
96	со своей стороны	1	1
97	имеем дело с	1	1
98	так и против	1	1
