N	4gram	Voloshinov	Psycholo
1	с этой точки зрения	1	10
2	одно и то же	2	7
3	до тех пор пока	3	6
4	не что иное как	2	6
5	один и тот же	1	5
6	в том что в	1	4
7	в собственном смысле слова	1	4
8	состоит в том что	1	4
9	в то же время	1	3
10	с его точки зрения	1	2
11	то что в этом	1	2
12	к тому что он	1	2
13	указать на то что	1	2
14	и не может быть	1	2
15	не может быть объяснено	1	2
16	есть не что иное	2	2
17	само по себе а	1	1
18	вступает в свои права	1	1
19	собственном смысле слова и	1	1
20	из него все то	1	1
21	мы все же полагаем	1	1
22	но может быть это	1	1
23	и более или менее	1	1
24	мы можем поставить вопрос	2	1
25	к тому направлению которое	1	1
26	что до тех пор	1	1
27	в узком смысле слова	1	1
28	в каждом отдельном случае	1	1
29	и то же слово	2	1
30	что те или иные	1	1
31	него все то что	1	1
32	те же самые слова	1	1
33	с точки зрения своего	1	1
34	и подобно тому как	1	1
35	но мы все же	1	1
36	само собой разумеется что	1	1
