N	4gram	Propp_Russ	Vladivir
1	в том что в	6	5
2	в то время как	1	5
3	не что иное как	3	4
4	на самом же деле	2	3
5	обращает на себя внимание	1	2
6	как мы увидим ниже	1	2
7	не имеет ничего общего	1	2
8	но вместе с тем	3	2
9	имеет ничего общего с	1	2
10	том что в этот	1	1
11	состоит в том что	16	1
12	в полной уверенности что	1	1
13	каждый из этих элементов	1	1
14	может быть и не	1	1
15	но тем не менее	2	1
16	точно так же в	1	1
17	вместе с тем и	2	1
18	чем можно судить по	1	1
19	места на место в	1	1
20	из всего этого видно	1	1
21	в том что это	2	1
22	а может быть и	1	1
23	а вместе с тем	1	1
24	всего этого видно что	1	1
25	приходит к выводу что	1	1
26	наряду с этим в	1	1
27	иметь в виду что	1	1
28	обращают на себя внимание	1	1
29	есть вместе с тем	1	1
30	как мы уже знаем	2	1
31	в данном случае мы	1	1
32	о чем можно судить	1	1
33	по этому поводу с	1	1
34	необходимо указать еще на	1	1
35	о том что в	1	1
36	так же как и	3	1
37	в том чтобы установить	1	1
38	привело к тому что	2	1
39	которые можно было бы	1	1
40	мы не будем здесь	2	1
41	с места на место	1	1
42	самом же деле это	1	1
43	бросается в глаза при	1	1
