N	2gram	Losev_Vesc	KFilosof
1	может быть	37	45
2	в его	5	42
3	в нем	6	32
4	не может	44	29
5	и не	57	28
6	и в	44	28
7	в бытии	2	26
8	в котором	4	24
9	не есть	79	22
10	для меня	3	22
11	в себе	23	21
12	только в	23	18
13	и его	4	18
14	в своем	9	17
15	в ее	8	17
16	а не	34	17
17	в этом	17	15
18	для него	8	13
19	как момент	1	13
20	не в	14	13
21	точки зрения	10	13
22	к нему	3	12
23	ни в	11	12
24	но не	9	12
25	поскольку я	1	12
26	и это	17	12
27	в своей	6	11
28	все эти	5	11
29	во всех	5	11
30	из себя	6	11
31	все это	7	10
32	это не	9	10
33	в едином	1	10
34	с точки	6	10
35	и есть	40	10
36	бытия и	6	10
37	от себя	1	10
38	и для	13	10
39	в целом	3	10
40	в их	4	9
41	и все	6	9
42	но и	19	9
43	как бы	19	9
44	для нее	2	9
45	момент его	1	9
46	не было	4	8
47	если бы	8	8
48	быть только	6	8
49	со стороны	9	8
50	было бы	24	8
51	лишь в	1	8
52	в себя	13	8
53	жизни и	6	8
54	себя в	11	8
55	во всем	2	7
56	и здесь	5	7
57	современной философии	1	7
58	что и	11	7
59	должен быть	5	7
60	вовсе не	11	7
61	уже не	15	7
62	совершенно не	11	7
63	то что	47	7
64	я должен	4	7
65	конечно не	2	7
66	на основе	1	7
67	но лишь	2	7
68	для себя	6	7
69	момент в	6	7
70	и только	11	7
71	отнюдь не	8	7
72	ее и	2	6
73	должно быть	8	6
74	не значит	11	6
75	но все	3	6
76	в моем	1	6
77	но эта	2	6
78	я не	7	6
79	не имеет	2	6
80	и я	1	6
81	в смысле	22	6
82	смысл и	12	6
83	в том	15	6
84	и их	11	6
85	и действительно	1	6
86	отношение к	4	6
87	жизнь как	1	6
88	он не	4	6
89	но это	14	6
90	от его	2	5
91	со всем	5	5
92	то же	12	5
93	мы имеем	8	5
94	не только	48	5
95	с ним	8	5
96	я могу	3	5
97	но как	3	5
98	его в	8	5
99	в основе	4	5
100	есть лишь	2	5
101	но в	8	5
102	именно в	2	5
103	но ведь	2	5
104	как и	15	5
105	все же	18	5
106	жизни в	3	5
107	себя и	8	5
108	бытия но	1	5
109	еще не	12	5
110	что я	26	5
111	принципиально не	3	5
112	хотя бы	9	5
113	в одном	6	5
114	а в	6	5
115	единое и	1	5
116	я и	8	5
117	культуры и	1	5
118	его как	2	5
119	жизни как	1	5
120	и единственный	1	5
121	бытия в	2	5
122	никогда не	5	5
123	что в	11	4
124	бытие не	2	4
125	должна быть	8	4
126	и весь	1	4
127	при этом	1	4
128	ни было	12	4
129	что это	18	4
130	о нем	1	4
131	не как	2	4
132	для нас	2	4
133	прежде всего	17	4
134	является человек	1	4
135	в своих	3	4
136	как его	1	4
137	и момент	1	4
138	с ними	4	4
139	том что	13	4
140	в чем	10	4
141	в каком	6	4
142	могло бы	1	4
143	но можно	3	4
144	бытие как	1	4
145	только как	2	4
146	нисколько не	7	4
147	где я	1	4
148	во всей	1	4
149	могла бы	3	4
150	здесь мы	1	4
151	я мыслю	1	4
152	времени и	1	4
153	тем самым	2	4
154	чем не	2	4
155	быть в	1	4
156	всех своих	1	4
157	себя а	1	4
158	из него	1	4
159	вне ее	1	4
160	меня не	2	4
161	ближе к	2	3
162	и может	3	3
163	бытие в	1	3
164	та же	1	3
165	и на	2	3
166	котором и	1	3
167	на язык	3	3
168	и пр	10	3
169	мы не	8	3
170	ним и	1	3
171	тогда когда	5	3
172	и этот	2	3
173	того что	16	3
174	где он	1	3
175	эстетического и	1	3
176	сознания и	2	3
177	бытие и	6	3
178	на самом	1	3
179	ясно что	10	3
180	в виду	2	3
181	и тот	1	3
182	и делает	2	3
183	я имею	3	3
184	самом деле	7	3
185	и отношения	1	3
186	тем что	7	3
187	но для	2	3
188	стороны в	1	3
189	что этот	1	3
190	не дает	1	3
191	единый и	1	3
192	я активно	1	3
193	не менее	11	3
194	здесь не	2	3
195	один и	2	3
196	лишь как	2	3
197	себе и	2	3
198	но конечно	1	3
199	той или	3	3
200	эти момента	1	3
201	себя не	2	3
202	это и	12	3
203	того или	1	3
204	бы и	9	3
205	данный момент	1	3
206	ясно и	1	3
207	что не	11	3
208	не могу	1	3
209	когда я	5	3
210	в свою	5	3
211	и ни	3	3
212	в другом	3	3
213	для того	3	3
214	и должна	2	3
215	в ней	14	3
216	быть и	5	3
217	и та	2	3
218	смысл в	2	3
219	к чему	2	3
220	этом смысле	2	3
221	в современной	1	3
222	мне как	1	3
223	от того	7	3
224	я буду	1	3
225	человека и	3	3
226	не я	2	3
227	с человеком	1	3
228	всем другим	1	3
229	из его	2	3
230	нет и	4	3
231	не быть	4	3
232	только с	3	3
233	могут быть	1	3
234	предмета в	1	3
235	нигде не	1	3
236	о том	11	3
237	теории и	1	3
238	области и	1	3
239	есть момент	2	3
240	и единство	1	3
241	в данный	1	3
242	в то	11	3
243	а следовательно	4	3
244	независимо от	5	3
245	всех этих	1	3
246	и совершенно	2	3
247	тот же	4	3
248	и тем	7	3
249	ничего не	12	3
250	меня и	1	3
251	бы то	12	2
252	как к	5	2
253	и эти	3	2
254	и значимость	1	2
255	знать что	2	2
256	один из	5	2
257	я уже	2	2
258	бы он	1	2
259	и мы	5	2
260	ему в	1	2
261	мышления и	1	2
262	может не	4	2
263	чего не	2	2
