N	2gram	Medvedev_S	Literetu
1	и не	1	47
2	не только	3	46
3	и в	3	44
4	может быть	2	43
5	но и	2	41
6	в том	5	39
7	в этом	5	38
8	том что	2	32
9	в частности	2	30
10	то что	2	29
11	в мире	1	28
12	то же	2	26
13	как и	1	23
14	в то	1	23
15	не в	3	22
16	так и	1	22
17	не может	1	22
18	я и	1	21
19	же время	1	21
20	прежде всего	1	19
21	как бы	2	18
22	с другой	1	17
23	в его	3	17
24	в этой	1	16
25	только в	2	15
26	в целом	1	15
27	по отношению	2	14
28	что он	1	14
29	с одной	1	13
30	но не	1	13
31	и его	1	13
32	в своей	1	12
33	о том	1	12
34	в данном	1	12
35	одной стороны	1	12
36	еще не	2	12
37	отношению к	2	12
38	никогда не	1	11
39	в конечном	1	11
40	столь же	1	11
41	это не	1	11
42	а в	1	11
43	даже в	1	10
44	конечном счете	1	10
45	что в	2	10
46	отнюдь не	1	10
47	в области	1	10
48	связи с	1	9
49	один из	1	9
50	тем что	1	8
51	все же	1	8
52	ли не	1	8
53	в конце	2	8
54	по существу	2	8
55	и как	1	8
56	именно в	1	7
57	для этого	1	7
58	наконец в	1	7
59	это как	1	7
60	у него	1	6
61	его в	1	6
62	не было	1	6
63	в каждом	1	6
64	было бы	2	6
65	еще и	1	6
66	тем же	1	6
67	далеко не	2	6
68	как будто	2	6
69	право на	1	6
70	и только	3	6
71	и наконец	1	6
72	тех кто	1	5
73	в связи	1	5
74	хотя бы	1	5
75	между тем	1	5
76	в силу	1	5
77	в сущности	1	5
78	быть не	1	5
79	мы не	1	5
80	место в	1	5
81	более не	1	4
82	в них	1	4
83	только для	1	4
84	во всяком	1	4
85	как совокупность	1	4
86	очевидно что	2	4
87	и что	2	4
88	за пределы	2	4
89	и есть	1	4
90	более чем	3	4
91	таким образом	2	4
92	для нас	3	4
93	объекта и	1	4
94	вовсе не	1	4
95	в этих	1	3
96	по себе	1	3
97	с ним	1	3
98	крайней мере	1	3
99	а с	1	3
100	в чем	1	3
101	но как	1	3
102	но только	1	3
103	вот в	1	3
104	же это	1	3
105	должна быть	2	3
106	из тех	1	3
107	они не	1	3
108	по крайней	1	3
109	всяком случае	1	3
110	ничего не	1	3
111	исторической жизни	2	3
112	все эти	1	3
113	сказать и	1	3
114	и потому	1	3
115	он говорит	1	3
116	только то	1	3
117	же самое	1	3
118	и о	1	3
119	а вот	1	2
120	в результате	2	2
121	историю литературы	1	2
122	собой не	1	2
123	на первый	1	2
124	в котором	1	2
125	только как	2	2
126	словесного творчества	1	2
127	о литературе	3	2
128	тем более	2	2
129	и мы	2	2
130	не от	1	2
131	исторической поэтики	1	2
132	тому что	1	2
133	одно дело	2	2
134	в литературоведении	2	2
135	бы в	1	2
136	остается в	1	2
137	бы они	1	2
138	и по	1	2
139	в него	1	2
140	иначе говоря	1	2
141	литературы как	1	2
142	никак не	1	2
143	все то	1	2
144	его собственная	1	2
145	и будет	1	2
146	перед нами	1	2
147	это и	2	2
148	и более	1	2
149	время в	1	2
150	чуть ли	1	2
151	ведь это	2	2
152	этом не	1	2
153	между собою	1	2
154	дело не	2	2
155	нужно было	2	2
156	со своими	1	2
157	что на	1	2
158	не меняет	1	1
159	стиля как	1	1
160	не пошел	1	1
161	настаивает на	1	1
162	искусство слова	1	1
163	как только	2	1
164	по достоинству	1	1
165	у которых	1	1
166	из понимания	1	1
167	может служить	1	1
168	в строгом	1	1
169	существу своему	1	1
170	конечно не	1	1
171	себе из	1	1
172	точке зрения	1	1
173	поэта и	1	1
174	к которому	2	1
175	сколь и	1	1
176	это значит	1	1
177	представить себе	1	1
178	как же	3	1
179	или не	1	1
180	произведение как	1	1
181	литературе и	1	1
182	между ними	1	1
183	существу это	1	1
184	должно было	1	1
185	в смысле	2	1
186	полагает что	1	1
187	творчество в	1	1
188	в лучшем	1	1
189	опираясь на	1	1
190	каждом своем	1	1
191	в наше	1	1
192	границы и	1	1
193	не один	1	1
194	новые и	1	1
195	даже не	1	1
196	для наших	1	1
197	когда мы	1	1
198	на отдельные	1	1
199	что без	1	1
200	наше время	1	1
201	нет а	1	1
202	не мешает	1	1
203	литературоведении и	1	1
204	не желаем	1	1
205	стихотворении или	1	1
206	данном стихотворении	1	1
207	что автор	1	1
208	что это	1	1
209	ни одно	1	1
210	не выходит	1	1
211	в процессе	1	1
212	своего ремесла	1	1
213	том как	1	1
214	в те	1	1
215	друг от	1	1
216	в труде	1	1
217	художественных произведений	1	1
218	именно на	1	1
219	но сам	1	1
220	на основании	1	1
221	он по	1	1
222	ни были	1	1
223	литературы на	1	1
224	для изучения	1	1
225	но именно	1	1
226	на этот	1	1
227	к изучению	1	1
228	значении слова	1	1
229	необходимо быть	1	1
230	выходит за	1	1
231	на что	1	1
232	ни на	1	1
233	чтобы сделаться	1	1
234	все это	7	1
235	но одно	1	1
236	в виде	1	1
237	в таких	1	1
238	от друга	1	1
239	же по	1	1
240	сама по	1	1
241	или даже	2	1
242	далеко еще	1	1
243	перейти к	1	1
244	на все	1	1
245	системы как	1	1
246	мысли в	1	1
247	что эти	1	1
248	кто не	1	1
249	как то	1	1
250	только поэзия	1	1
251	можно будет	1	1
252	любой литературный	1	1
253	эти два	1	1
254	конце концов	2	1
255	лучшем случае	1	1
256	как живой	1	1
