N	2gram	Tiupa_Disk	Poddanst
1	не только	36	17
2	и в	27	14
3	и не	25	12
4	в области	3	11
5	в этом	29	10
6	в том	29	9
7	то же	12	9
8	в качестве	45	9
9	но в	15	9
10	хотя бы	3	8
11	в пределах	4	8
12	только в	9	7
13	же время	9	7
14	в то	8	7
15	в ней	2	6
16	xix века	1	6
17	было бы	1	6
18	но и	22	6
19	в смысле	1	6
20	может быть	29	5
21	отношении к	1	5
22	россии в	1	5
23	с другой	14	5
24	не в	8	5
25	и о	4	5
26	в которых	5	5
27	в русской	4	4
28	и к	4	4
29	что в	8	4
30	в котором	7	4
31	по себе	3	4
32	и потому	3	4
33	но также	2	4
34	мы должны	1	4
35	не может	17	4
36	а в	5	4
37	то что	10	4
38	как бы	9	4
39	если бы	1	4
40	а также	15	4
41	в своем	11	4
42	же в	1	4
43	том что	27	4
44	наряду с	1	3
45	в себе	22	3
46	ей в	2	3
47	с одной	12	3
48	мы не	2	3
49	это не	5	3
50	одной стороны	12	3
51	между тем	5	3
52	с точки	3	3
53	хотя и	3	3
54	с тем	1	3
55	потому что	7	3
56	прежде всего	17	3
57	вслед за	1	3
58	сводится к	7	3
59	тем самым	6	3
60	сами по	2	3
61	в россии	1	3
62	заключается в	3	3
63	но не	17	3
64	могут быть	5	3
65	я и	3	3
66	и как	9	3
67	с ними	1	3
68	столь же	6	3
69	в нем	16	3
70	и без	2	3
71	точки зрения	6	3
72	с этим	3	2
73	во всех	6	2
74	в сочетании	1	2
75	в проблеме	1	2
76	и это	3	2
77	и других	1	2
78	в полной	1	2
79	и мы	1	2
80	было в	4	2
81	если в	2	2
82	более чем	3	2
83	в значительной	3	2
84	том числе	3	2
85	явственно различимы	1	2
86	каждый в	2	2
87	и весьма	2	2
88	в ее	4	2
89	и тем	2	2
90	того что	4	2
91	никак не	1	2
92	как раз	1	2
93	в частности	18	2
94	в его	9	2
95	xix веке	1	2
96	в глубинах	1	2
97	не о	2	2
98	а не	35	2
99	все это	2	2
100	говорить о	3	2
101	для них	1	2
102	заключает в	1	2
103	может и	4	2
104	своем значении	2	2
105	и есть	2	2
106	стороны и	3	2
107	в виде	1	2
108	в них	6	2
109	только это	1	2
110	не было	9	2
111	подошел к	1	2
112	историческом и	1	2
113	к чему	2	2
114	и с	2	2
115	из важнейших	2	2
116	в начале	2	2
117	может ли	1	2
118	как на	1	2
119	слова но	1	2
120	в а	1	2
121	полной мере	1	2
122	мысль о	3	2
123	именно в	5	2
124	должно быть	2	2
125	в жизни	2	2
126	отношения к	2	2
127	в определенную	1	2
128	в силу	5	2
129	одна из	1	2
130	в мире	9	2
131	например в	4	2
132	не менее	6	2
133	в ряду	4	2
134	не столько	3	2
135	отнюдь не	11	2
136	со стороны	17	2
137	да и	2	2
138	точек зрения	1	2
139	не нужно	2	2
140	исключительно в	1	2
141	культуры в	1	2
142	из них	6	2
143	человеческого счастья	1	2
144	тем более	1	2
145	есть в	3	2
146	общекультурное значение	1	2
147	что из	1	2
148	в е	3	2
149	переход от	2	2
150	не к	3	2
151	мира с	2	2
152	в xix	1	2
153	что было	1	1
154	этих двух	1	1
155	и мир	1	1
156	были бы	1	1
157	и заблуждения	1	1
158	как к	2	1
159	во всяком	3	1
160	к истине	1	1
161	ни к	11	1
162	не есть	3	1
163	и теперь	1	1
164	и то	4	1
165	знание в	1	1
166	но как	2	1
167	выступает в	1	1
168	бы и	1	1
169	мы можем	1	1
170	и эти	1	1
171	а с	8	1
172	в данном	9	1
173	с его	9	1
174	его нет	1	1
175	и более	1	1
176	можно говорить	2	1
177	те же	1	1
178	вместе с	3	1
179	по природе	6	1
180	в иных	1	1
181	и на	8	1
182	как возможность	1	1
183	отличие от	13	1
184	традиции в	2	1
185	в самом	4	1
186	мир в	1	1
187	вопрос о	2	1
188	имеет два	1	1
189	в народе	1	1
190	они не	2	1
191	в исторической	2	1
192	восходит к	4	1
193	них в	2	1
194	в момент	2	1
195	это в	4	1
196	такова же	1	1
197	поскольку мы	1	1
198	в истоках	1	1
199	в философии	1	1
200	себе личности	1	1
201	усомниться в	1	1
202	и главное	1	1
203	друга на	1	1
204	в случаях	1	1
205	в основном	1	1
206	исходить из	1	1
207	исторического бытия	3	1
208	отчасти и	1	1
209	она не	1	1
210	уже в	2	1
211	должна быть	2	1
212	чем то	1	1
213	человеческого бытия	1	1
214	при отсутствии	2	1
215	более или	2	1
216	в творчестве	4	1
217	не одной	1	1
218	в окружающем	1	1
219	они едины	1	1
220	живет в	3	1
221	к сфере	1	1
222	и иных	1	1
223	св георгия	1	1
224	этом мире	2	1
225	представляет собой	24	1
226	в отдельности	1	1
227	помимо воли	1	1
228	как известно	1	1
229	в определенном	1	1
230	себе те	1	1
231	что это	1	1
232	не более	3	1
233	в отношениях	1	1
234	одно и	2	1
235	которых не	1	1
236	в последующие	1	1
237	вот как	1	1
238	в напряжении	2	1
239	не были	1	1
240	мысли и	2	1
241	в формах	2	1
242	должна была	1	1
243	из этих	3	1
244	что с	2	1
245	преимущественно к	1	1
246	как таковые	1	1
247	не как	5	1
248	и другие	1	1
249	и вся	1	1
250	мы все	2	1
251	в каждом	2	1
252	только на	2	1
253	бытия как	1	1
254	не с	4	1
255	может оказаться	1	1
256	например с	1	1
257	полноты и	1	1
258	не об	1	1
259	в других	1	1
260	и при	1	1
261	и что	2	1
262	в различных	2	1
263	частности в	2	1
264	что и	5	1
265	связывается с	1	1
266	другой стороны	5	1
267	иными словами	1	1
268	еще в	6	1
269	и охватывает	2	1
270	этом смысле	1	1
271	к жизни	1	1
272	далеко не	10	1
273	только то	2	1
274	недостаточно для	1	1
275	в современной	2	1
276	в этих	4	1
277	не вполне	1	1
278	в истории	5	1
279	в историческом	2	1
280	можно рассматривать	1	1
281	различия между	3	1
282	человека с	1	1
283	также и	6	1
284	как она	1	1
285	его в	1	1
286	даже знаком	1	1
287	каждый из	2	1
288	в большинстве	3	1
289	и наоборот	1	1
290	который не	2	1
291	было и	1	1
292	в г	2	1
293	все же	8	1
294	и притом	1	1
295	ее собственных	1	1
296	теми же	1	1
297	но на	1	1
298	рассматривать как	2	1
299	что его	1	1
300	в результате	3	1
301	в рамках	11	1
302	в которой	2	1
303	оказывается в	2	1
304	в прошлом	1	1
305	должен быть	1	1
306	в этой	5	1
307	или иным	1	1
308	числе и	3	1
309	к ним	3	1
310	именно здесь	1	1
311	и еще	1	1
312	тот или	2	1
313	в отличие	13	1
314	по преимуществу	2	1
315	себя в	8	1
316	из двух	5	1
317	известном смысле	1	1
318	на две	1	1
319	ней и	1	1
320	же как	1	1
321	о русском	1	1
322	на себя	2	1
323	что не	4	1
324	мы и	1	1
325	определенный и	1	1
326	по стилю	5	1
327	развития в	1	1
328	та или	1	1
329	в эпоху	5	1
330	тем же	1	1
331	но для	2	1
332	именно о	1	1
333	в каком	1	1
334	к небу	1	1
335	последующие века	1	1
336	в ходе	5	1
337	но есть	1	1
338	в смене	2	1
339	не входят	1	1
340	ведет к	6	1
341	к другим	3	1
342	русской литературы	1	1
343	или иная	1	1
344	отношением к	1	1
345	в сферу	3	1
346	свидетельство о	1	1
347	и другим	1	1
348	религиозные и	1	1
349	это ощущение	1	1
350	представляют собой	2	1
351	в какой	2	1
352	отношения в	1	1
353	место в	2	1
354	как и	27	1
355	входят в	1	1
356	в некотором	1	1
357	и само	2	1
358	следует понимать	1	1
359	или иной	8	1
360	в собственном	1	1
361	случаях когда	1	1
362	к миру	1	1
363	и именно	1	1
364	начала в	1	1
365	для каждого	1	1
366	мире в	1	1
367	большинстве случаев	2	1
368	и недостаточно	1	1
369	действительный и	1	1
370	одновременно и	3	1
371	тому на	1	1
372	в одно	2	1
373	также отчасти	1	1
374	все еще	1	1
375	вопросом о	1	1
376	на то	1	1
377	на фоне	1	1
378	своего существования	1	1
379	ли не	3	1
380	и по	2	1
381	там где	1	1
382	первоначально и	1	1
383	и творческих	1	1
384	надлежит не	1	1
385	что во	1	1
386	и только	1	1
387	к предмету	1	1
388	в и	1	1
389	поэзии и	1	1
390	всяком случае	2	1
391	о котором	2	1
392	бы мы	1	1
393	не все	1	1
394	в условиях	1	1
395	друг друга	2	1
396	в себя	7	1
397	многие из	1	1
398	в это	1	1
399	без которой	1	1
400	для этого	1	1
401	с ее	3	1
402	в известном	1	1
403	и чем	1	1
404	не просто	1	1
405	он был	1	1
406	на каждом	1	1
407	культурной традиции	1	1
408	тем чем	1	1
409	не имеет	1	1
410	одно из	4	1
411	или менее	2	1
412	и ее	5	1
413	это область	1	1
414	как учения	1	1
415	особенно в	1	1
416	являются наиболее	1	1
417	которая и	2	1
418	к более	1	1
419	бы это	2	1
420	связаны с	1	1
421	грань между	1	1
422	сознания к	1	1
423	и быть	1	1
424	никогда не	3	1
425	к истокам	1	1
426	еще не	20	1
