N	2gram	Tiupa_Teor	Problemy
1	и в	24	106
2	и не	17	90
3	как бы	8	70
4	может быть	22	66
5	в его	12	56
6	в этом	12	52
7	в нем	7	51
8	не может	8	49
9	как и	6	44
10	что он	4	44
11	точки зрения	11	40
12	но и	14	40
13	для него	5	39
14	и его	11	39
15	а не	14	38
16	о себе	2	37
17	то же	12	36
18	не только	24	36
19	в пределах	5	35
20	то что	6	33
21	но в	12	33
22	прежде всего	3	32
23	он не	5	29
24	в то	9	29
25	все это	2	29
26	в одном	3	27
27	не в	9	27
28	к другому	2	27
29	же время	8	26
30	в самом	7	25
31	к нему	2	25
32	с точки	3	25
33	в сущности	1	25
34	себе самому	1	25
35	с самим	1	24
36	не как	1	24
37	вовсе не	3	24
38	героя и	6	24
39	самом деле	2	24
40	рядом с	1	23
41	и на	2	23
42	слова и	1	23
43	по себе	2	22
44	в каждом	1	22
45	таким образом	3	22
46	как мы	1	21
47	все же	1	20
48	никогда не	4	20
49	только в	9	20
50	потому что	3	20
51	что в	10	19
52	с его	6	19
53	отношению к	10	19
54	слова в	4	19
55	уже не	6	18
56	по отношению	10	18
57	в себе	14	18
58	еще не	6	18
59	но не	13	18
60	все эти	3	18
61	и к	3	17
62	себе самом	1	17
63	самим собою	2	17
64	с ним	1	17
65	а в	15	17
66	в том	20	17
67	это не	4	17
68	так и	14	17
69	так же	2	16
70	если бы	3	16
71	в своей	8	16
72	этом смысле	3	16
73	в другом	4	16
74	о мире	1	15
75	у него	2	15
76	до конца	1	15
77	и для	3	15
78	и сам	4	14
79	на чужое	1	14
80	в своем	7	14
81	как раз	3	14
82	в конце	2	14
83	в отношении	4	14
84	себя самого	1	14
85	так как	1	14
86	я не	2	14
87	он и	2	14
88	лишь в	10	14
89	с другими	6	13
90	его в	4	13
91	большинстве случаев	1	13
92	в мире	26	13
93	и это	2	13
94	в романе	3	13
95	себя и	2	13
96	перед нами	3	13
97	голосов в	1	13
98	в большинстве	2	13
99	в целом	4	13
100	при этом	20	12
101	даже в	3	12
102	отношении к	4	12
103	и как	3	12
104	и даже	2	12
105	чужому слову	1	12
106	и слово	1	12
107	к тому	4	12
108	в котором	1	12
109	к чужому	2	12
110	что и	2	12
111	не знает	4	12
112	себе и	1	12
113	так что	1	12
114	и что	4	12
115	за пределы	2	12
116	было бы	1	12
117	между тем	5	12
118	одного сознания	3	12
119	как в	5	12
120	том что	11	12
121	слово в	1	12
122	в одной	1	12
123	тем что	1	11
124	их в	3	11
125	входит в	4	11
126	с другой	9	11
127	должно быть	1	11
128	бы в	1	11
129	в форме	4	11
130	не могут	2	11
131	сливается с	1	11
132	этого слова	4	11
133	сознания и	1	11
134	она не	1	11
135	как будто	2	11
136	более того	1	11
137	в произведении	3	10
138	что не	1	10
139	с чужим	1	10
140	в него	1	10
141	для себя	3	10
142	с собою	1	10
143	в слове	4	10
144	приводит к	6	10
145	той же	1	10
146	в самой	2	10
147	к одному	2	10
148	слова с	1	10
149	далеко не	4	10
150	отношение к	7	10
151	в той	2	9
152	другой стороны	6	9
153	в них	2	9
154	ивана карамазова	1	9
155	хотя и	4	9
156	но он	4	9
157	точек зрения	1	9
158	могут быть	5	9
159	ни в	5	9
160	в единстве	1	9
161	самим собой	4	9
162	да и	1	9
163	романе достоевского	1	9
164	или в	3	9
165	раз и	1	9
166	и потому	3	9
167	же и	1	8
168	в результате	1	8
169	и до	1	8
170	о том	2	8
171	из них	1	8
172	к герою	2	8
173	несмотря на	2	8
174	ни было	2	8
175	но как	2	8
176	одним из	3	8
177	здесь не	2	8
178	и от	1	8
179	что это	1	8
180	никак не	1	8
181	не на	4	8
182	с ними	2	8
183	в диалоге	2	8
184	наконец в	1	8
185	из его	1	8
186	самого автора	1	8
187	в произведениях	2	8
188	как к	5	8
189	того что	5	8
190	это и	2	8
191	с их	2	8
192	и о	5	8
193	от него	1	7
194	тем как	1	7
195	в виду	5	7
196	на свой	1	7
197	на мир	2	7
198	в жизни	3	7
199	к самому	1	7
200	отличается от	2	7
201	и со	1	7
202	вопрос о	1	7
203	в себя	5	7
204	из своего	1	7
205	только на	2	7
206	сказать что	4	7
207	ее как	1	7
208	что все	1	7
209	что она	2	7
210	от себя	3	7
211	что они	2	7
212	не было	1	7
213	между ними	6	7
214	в этих	4	7
215	во всех	3	7
216	то ни	2	7
217	кажется что	1	7
218	друг другу	1	7
219	и др	3	7
220	с которым	1	7
221	и ее	4	7
222	бы то	2	7
223	его с	1	7
224	например в	3	7
225	не входит	2	7
226	автора и	2	7
227	он в	1	7
228	тот же	1	7
229	но на	2	7
230	в их	4	7
231	но эта	1	7
232	сама по	2	7
233	мира и	4	7
234	к своему	2	7
235	и другого	1	7
236	и их	1	7
237	я для	1	6
238	сознаний в	1	6
239	в своих	1	6
240	не менее	6	6
241	на фоне	2	6
242	с этим	1	6
243	превращается в	2	6
244	этого мира	1	6
245	не становится	1	6
246	одна из	1	6
247	героя не	1	6
248	на почве	5	6
249	в драме	1	6
250	в художественном	5	6
251	на этом	2	6
252	внутренней речи	13	6
253	а с	3	6
254	человека как	1	6
255	можно было	1	6
256	в этой	3	6
257	я в	18	6
258	себя в	7	6
259	герой из	1	6
260	и здесь	2	6
261	за ним	1	6
262	в другой	1	6
263	в плоскости	1	6
264	от автора	1	6
265	отношения к	4	6
266	ни был	2	6
267	зависимости от	1	6
268	в основе	6	6
269	и вот	3	6
270	другого в	1	6
271	в отличие	7	6
272	друг друга	1	6
273	на вопрос	2	6
274	и пр	1	6
275	но с	1	6
276	стремится к	1	6
277	по существу	1	6
278	что ж	1	6
279	на его	1	6
280	на них	1	6
281	слова как	3	6
282	отличие от	7	6
283	на меня	3	6
284	художественного мира	4	6
285	идет о	2	6
286	жизни и	1	6
287	на то	1	6
288	и только	1	6
289	для этого	1	6
290	героя но	1	6
291	те же	1	5
292	с собой	1	5
293	именно в	3	5
294	с тем	1	5
295	по своим	1	5
296	а между	1	5
297	в глаза	2	5
298	к которому	3	5
299	в зависимости	1	5
300	того же	4	5
301	него не	1	5
302	крайней мере	1	5
303	тому же	1	5
304	на себя	2	5
305	я и	2	5
306	зрения и	2	5
307	в чем	2	5
308	в такой	1	5
309	той или	3	5
310	в уста	1	5
311	когда я	1	5
312	ту сторону	1	5
313	однако в	7	5
314	его как	1	5
315	что может	2	5
316	автора как	2	5
317	один из	2	5
318	то есть	22	5
319	ним и	1	5
320	была бы	3	5
321	художественного творчества	5	5
322	подобно тому	3	5
323	со всеми	1	5
324	все то	1	5
325	здесь мы	2	5
326	героев и	1	5
327	вместе с	2	5
328	по крайней	1	5
329	совершенно не	1	5
330	но у	1	5
331	авторского замысла	1	5
332	чужое сознание	1	5
333	в мир	1	5
334	но именно	1	5
335	том же	1	5
336	в ее	6	5
337	другого и	1	5
338	и то	3	5
339	они не	1	5
340	не во	1	5
341	того и	1	5
342	по ту	1	5
343	ведь это	1	5
344	для других	1	5
345	по своему	4	5
346	в авторском	1	5
347	он это	1	5
348	он ни	1	5
349	быть и	2	5
350	человека с	3	5
351	с человеком	2	5
352	или иной	7	5
353	тому что	2	5
354	тому как	3	5
355	мира в	3	5
356	является в	1	4
357	все что	1	4
358	оно стремится	1	4
359	художественном мире	1	4
360	с этой	3	4
361	без исключения	4	4
362	героя о	1	4
363	более или	6	4
364	в первом	2	4
365	как другого	1	4
366	в одно	2	4
367	при всей	2	4
368	для автора	2	4
369	европейского романа	1	4
370	автора в	1	4
371	к третьему	1	4
372	его за	1	4
373	или менее	6	4
374	входят в	1	4
375	во всей	3	4
376	для понимания	2	4
377	на котором	2	4
378	они могут	1	4
379	я как	2	4
380	тем не	3	4
381	которого он	1	4
382	что такое	2	4
383	личности в	4	4
384	не была	1	4
385	связи с	3	4
386	в которой	3	4
387	то в	2	4
388	не есть	1	4
389	в сторону	3	4
390	на себе	1	4
391	остается в	1	4
392	стиля в	1	4
393	оно не	2	4
394	именно потому	1	4
395	в рассказе	2	4
396	речи и	4	4
397	одно и	2	4
398	но только	1	4
399	ни были	1	4
400	в первой	6	4
401	в точке	3	4
402	с ее	4	4
403	вопрос кто	1	4
404	образом и	2	4
405	он уже	1	4
406	своего собственного	1	4
407	теперь в	1	4
408	из которых	2	4
409	речи как	1	4
410	если не	1	4
411	и действительно	1	4
412	в словах	1	4
413	бы не	1	4
414	героев в	1	4
415	вследствие этого	2	4
416	нет в	1	4
417	же я	1	4
418	реплики и	1	4
419	то и	1	4
420	совпадает с	4	4
421	о своем	2	4
422	времени и	2	4
423	каждый из	1	4
424	над собой	1	4
425	к миру	1	4
426	мире в	1	4
427	со словом	1	4
428	он должен	3	4
429	тоже не	1	4
430	в формах	2	4
431	в литературе	4	4
432	все и	1	4
433	ли я	1	4
434	такое слово	1	4
435	и без	1	4
436	слова не	2	4
437	это было	2	4
438	ибо и	1	4
439	в каждой	1	4
440	об этом	2	4
441	особенно в	1	4
442	бы ни	1	4
443	собственный голос	1	4
444	жизнь и	1	4
445	героя к	1	4
