N	2gram	Tiupa_Hudo	Retstnzi
1	не может	9	4
2	и в	23	3
3	если в	1	2
4	в центре	1	2
5	один из	2	2
6	может и	1	1
7	в особенности	1	1
8	несмотря на	2	1
9	может быть	19	1
10	не только	20	1
11	точки зрения	11	1
12	с точки	3	1
13	может не	1	1
14	для него	5	1
15	ситуации и	1	1
16	тех же	1	1
17	в каждом	1	1
18	связи с	3	1
19	с другими	5	1
20	если бы	3	1
21	художественного произведения	4	1
22	исходя из	1	1
23	литературного произведения	13	1
24	в его	11	1
25	не менее	5	1
26	деятельности в	4	1
27	но и	14	1
28	мы видим	1	1
29	к тому	4	1
30	сравнении с	1	1
31	можно назвать	1	1
32	тому что	2	1
33	вопрос что	2	1
34	произведения лишь	1	1
35	в то	8	1
36	из этих	3	1
37	и больше	2	1
38	же время	7	1
39	то же	12	1
40	по своим	1	1
41	а не	13	1
42	бы в	1	1
43	в системе	3	1
44	и не	16	1
45	на нее	1	1
46	о литературе	3	1
47	и на	3	1
48	художественного целого	3	1
