N	4gram	Bakhtin_fo	PoTuStor
1	ни в чем не	3	3
2	и пр и пр	1	2
3	для него существует только	1	1
4	с этой точки зрения	1	1
5	ни внешнего ни внутреннего	1	1
6	одних и тех же	2	1
7	нечего и говорить о	1	1
8	те же что и	2	1
9	или во всяком случае	1	1
10	одна и та же	2	1
11	одну и ту же	1	1
12	в стадии разложения и	1	1
13	и тех же элементов	1	1
14	из одних и тех	1	1
15	до сих пор еще	1	1
16	дело в том что	2	1
17	все то что можно	1	1
18	так же как и	2	1
19	мы имеем в виду	2	1
20	мы можем коснуться лишь	1	1
21	одного и того же	6	1
22	в связи с этим	4	1
23	остановимся прежде всего на	1	1
24	точки зрения может быть	1	1
25	все снова и снова	1	1
