N	3gram	Losev_Prob	Poddanst
1	то же время	1	7
2	в то же	2	7
3	в том что	13	4
4	не только в	5	4
5	в сравнении с	4	3
6	с точки зрения	13	3
7	с одной стороны	5	3
8	но и в	2	2
9	заключается в том	1	2
10	в ней не	1	2
11	в значительной мере	3	2
12	в том числе	2	2
13	и т д	1	1
14	в борьбе с	1	1
15	совершенно ясно что	1	1
16	именно потому что	1	1
17	с тем же	1	1
18	можно судить по	1	1
19	и в частности	4	1
20	за то что	2	1
21	к науке и	1	1
22	чуть ли не	1	1
23	далеко не все	1	1
24	вместе с тем	5	1
25	но в то	2	1
26	еще более резкую	1	1
27	насколько можно судить	1	1
28	в xix в	1	1
29	том числе и	1	1
30	если бы мы	1	1
31	не может быть	2	1
32	в большинстве случаев	1	1
33	том что в	1	1
34	ни на какие	1	1
35	в этом смысле	4	1
36	в настоящую минуту	1	1
37	и то что	3	1
38	история и жизнь	1	1
39	в каком смысле	1	1
40	во всяком случае	6	1
41	для того чтобы	3	1
42	и вслед за	1	1
43	что то же	1	1
44	с другой стороны	7	1
45	именно на этой	1	1
46	в известном смысле	1	1
47	мы не будем	3	1
48	не в том	1	1
49	в настоящее время	7	1
50	сливаются в одно	1	1
51	этой последней в	1	1
52	более или менее	1	1
53	не только как	1	1
54	только в виде	2	1
55	науки и техники	1	1
56	и в этом	1	1
57	или что то	1	1
