N	2gram	Tiupa_Vved	DiskursI
1	в качестве	18	72
2	а не	31	60
3	может быть	25	56
4	не только	32	49
5	и в	23	49
6	как и	21	47
7	тогда как	16	47
8	при этом	43	46
9	и не	24	44
10	в том	21	44
11	представляет собой	18	41
12	то есть	13	41
13	в прозе	1	41
14	том что	16	40
15	в этом	27	38
16	в себе	15	37
17	состоит в	23	37
18	в частности	19	36
19	но и	31	35
20	и т.п	14	32
21	своего рода	20	32
22	но не	9	31
23	отличие от	11	28
24	со стороны	15	28
25	но в	14	28
26	так и	14	28
27	в отличие	11	27
28	не может	14	27
29	по своей	4	26
30	как в	8	25
31	такого рода	23	24
32	коммуникативного события	8	24
33	отнюдь не	14	23
34	еще не	8	23
35	в рамках	5	23
36	а также	12	20
37	в своей	10	19
38	все же	10	19
39	в нем	9	19
40	прежде всего	11	19
41	далеко не	5	18
42	в основе	6	18
43	то же	8	17
44	в данном	22	17
45	с другой	10	17
46	в мире	9	17
47	по отношению	11	17
48	отношению к	11	17
49	точки зрения	1	16
50	только в	9	16
51	о том	7	15
52	художественного письма	9	15
53	то что	9	15
54	роль в	2	15
55	в его	9	15
56	не менее	4	14
57	можно сказать	6	14
58	одной стороны	9	14
59	с одной	9	14
60	не в	12	14
61	картины мира	12	14
62	ни к	3	14
63	не является	7	14
64	это не	7	14
65	или иной	5	14
66	дискурсивных практик	1	14
67	как бы	8	13
68	для него	5	13
69	в целом	4	13
70	в своих	5	12
71	ведет к	2	12
72	при всей	3	12
73	в своем	9	12
74	того же	1	12
75	природе своей	2	12
76	и на	5	12
77	и все	8	12
78	данном случае	15	12
79	являет собой	5	12
80	система ценностей	1	11
81	по мысли	5	11
82	как правило	6	11
83	по природе	2	11
84	не было	5	11
85	не сводится	7	11
86	столь же	3	11
87	что в	6	11
88	с его	1	11
89	и как	2	11
90	в тексте	11	11
91	не столько	5	10
92	в лирике	1	10
93	той или	5	10
94	а с	4	10
95	для себя	2	10
96	вследствие этого	5	10
97	по сути	5	10
98	а в	15	10
99	же время	4	10
100	также и	6	10
101	высказывания в	1	10
102	и т.д	6	10
103	в них	4	9
104	уже не	7	9
105	пока еще	6	9
106	себя в	4	9
107	внимание на	4	9
108	коммуникативное событие	10	9
109	между тем	3	9
110	ментальное событие	1	9
111	[...] в	4	9
112	в силу	2	9
113	в то	5	9
114	героя в	3	9
115	сводится к	6	9
116	художественного целого	2	9
117	картина мира	17	9
118	еще в	3	9
119	тем самым	6	9
120	в этих	5	8
121	и даже	3	8
122	в соответствии	8	8
123	к тому	9	8
124	в котором	11	8
125	в противоположность	1	8
126	в одном	5	8
127	из них	1	8
128	хотя и	10	8
129	он не	6	8
130	если в	3	8
131	не на	3	8
132	не следует	3	8
133	жизни в	5	8
134	потому что	7	8
135	соответствии с	8	8
136	этом отношении	7	8
137	человека в	2	8
138	как уже	1	8
139	не с	4	8
140	очевидным образом	2	8
141	и о	4	8
142	коммуникативной ситуации	3	7
143	о чем	4	7
144	другой стороны	3	7
145	быть определена	1	7
146	с позиций	1	7
147	таким образом	6	7
148	иначе говоря	8	7
149	одной из	1	7
150	что и	6	7
151	тому же	6	7
152	его в	1	7
153	к этому	3	7
154	в этой	2	7
155	могут быть	5	7
156	в рассказе	15	7
157	коммуникативную ситуацию	1	7
158	например в	2	7
159	в составе	3	7
160	в процессе	1	7
161	приводит к	2	7
162	перед нами	13	7
163	ни для	1	7
164	с позиции	5	7
165	присутствия в	7	7
166	той же	3	7
167	но это	4	7
168	и для	8	7
169	основе своей	2	7
170	нового времени	5	7
171	в пределах	3	7
172	лишь в	4	7
173	определена как	1	7
174	в ходе	3	7
175	и ее	2	7
176	и его	9	7
177	мира в	8	7
178	о.м фрейденберг	1	6
179	не как	2	6
180	в строгом	2	6
181	именно в	1	6
182	конечном счете	2	6
183	и того	3	6
184	в противовес	4	6
185	времени в	3	6
186	в контексте	4	6
187	одна из	5	6
188	крайней мере	1	6
189	картину мира	5	6
190	никогда не	6	6
191	то в	1	6
192	в принципе	3	6
193	сказать и	1	6
194	в ее	1	6
195	в конечном	2	6
196	можно признать	1	6
197	не знает	2	6
198	нарративная стратегия	4	6
199	во всех	2	6
200	анекдота и	1	6
201	героя и	5	6
202	однако в	9	6
203	в особенности	3	6
204	в сущности	3	6
205	и то	1	6
206	имеет место	6	6
207	разумеется не	1	6
208	значении этого	1	6
209	что он	2	6
210	к его	5	6
211	в которых	2	6
212	собственно и	2	6
213	по крайней	1	6
214	в истории	1	6
215	что же	6	6
216	здесь не	2	6
217	нарративной стратегии	5	6
218	дело в	1	6
219	в эпоху	1	6
220	времени и	7	6
221	в одной	2	6
222	тому как	3	6
223	отношение к	5	6
224	одного из	3	6
225	в период	2	6
226	в той	5	5
227	субъекта в	1	5
228	исходя из	4	5
229	может служить	4	5
230	строго говоря	2	5
231	общения с	1	5
232	в виду	3	5
233	нарративного дискурса	8	5
234	мысль о	2	5
235	по своим	3	5
236	обращения к	1	5
237	в ряду	2	5
238	было в	2	5
239	своей природе	2	5
240	в другом	2	5
241	писал бахтин	3	5
242	не всегда	2	5
243	но они	3	5
244	говорить о	5	5
245	не обязательно	2	5
246	значительной степени	2	5
247	не вполне	4	5
248	свою очередь	5	5
249	за рамки	1	5
250	к ним	4	5
251	сказать что	1	5
252	на протяжении	2	5
253	сводится ни	1	5
254	к себе	2	5
255	несмотря на	2	5
256	проявляется в	1	5
257	как раз	5	5
258	сути своей	1	5
259	высказывания не	1	5
260	дискурса как	2	5
261	от нормы	2	5
262	так сказать	2	5
263	же касается	2	5
264	в сторону	1	5
265	внутренней речи	1	5
266	опыта в	5	5
267	на этом	1	5
268	текста а	1	5
269	но при	7	5
270	следует признать	6	5
271	рода в	2	5
272	с ее	3	5
273	тем что	2	5
274	события рассказывания	4	5
275	одного и	1	5
276	во второй	1	5
277	но одновременно	2	5
278	во втором	4	5
279	один из	3	5
280	представляют собой	3	5
281	по слову	1	5
282	подобно тому	3	5
283	себе не	1	5
284	оно не	2	5
285	претендует на	2	5
286	самого рассказывания	3	5
287	в свою	5	5
288	в значительной	2	5
289	известной степени	1	5
290	адресата в	1	5
291	переход от	1	5
292	принадлежит к	3	5
293	при котором	1	5
294	ничего не	3	5
295	того что	7	5
296	в литературе	2	5
297	общения в	1	5
298	того как	1	5
299	о нем	1	5
300	несет в	4	5
301	в ней	5	5
302	и состоит	1	5
303	речевых практик	1	5
304	не предполагает	2	5
305	дискурс это	1	5
306	мира и	5	5
307	в их	2	5
308	и потому	2	5
309	в вероятностном	2	5
310	из этих	5	5
311	по бахтину	2	5
312	что касается	5	5
313	но она	2	5
314	в концовке	4	5
315	стороны и	4	5
316	же самое	2	5
317	как будто	6	5
318	не к	4	5
319	существенную роль	1	4
320	в самом	6	4
321	и к	2	4
322	и составляет	3	4
323	человеческой жизни	4	4
324	действующее лицо	2	4
325	в равной	1	4
326	по выражению	3	4
327	говорит о	1	4
328	общения и	1	4
329	в году	2	4
330	в результате	5	4
331	по мере	2	4
332	и само	2	4
333	в первом	3	4
334	ни одна	1	4
335	и до	1	4
336	см в	1	4
337	в жизни	7	4
338	его на	1	4
339	в нарративном	2	4
340	во всяком	3	4
341	восходит к	2	4
342	на адресата	1	4
343	из жизни	3	4
344	ценностный статус	1	4
345	между двумя	5	4
346	следует отнести	2	4
347	чего не	1	4
348	повествовательного дискурса	1	4
349	только на	2	4
350	и судии	5	4
351	а сам	1	4
352	с читателем	1	4
353	точка зрения	3	4
354	и представляет	4	4
355	что они	2	4
356	стороны адресата	1	4
357	указать на	1	4
358	в произведении	1	4
359	тем не	3	4
360	аналогии с	2	4
361	к жизни	2	4
362	связи с	2	4
363	не о	2	4
364	рассказа как	1	4
365	будто бы	3	4
366	полной мере	1	4
367	одним из	5	4
368	адресата к	1	4
369	что не	2	4
370	жизненной позиции	1	4
371	не есть	2	4
372	человеческого существования	4	4
373	одном из	1	4
374	по себе	2	4
375	и это	2	4
376	в наше	1	4
377	коммуникативным событием	1	4
378	и тем	3	4
379	как это	2	4
380	рассказывания в	7	4
381	о событиях	1	4
382	хотя в	2	4
383	и есть	2	4
384	события в	1	4
385	или иного	1	4
386	в культуре	2	4
387	наше время	1	4
388	однако и	3	4
389	на эпизоды	1	4
390	опирается на	1	4
391	жизни а	1	4
392	с ним	3	4
393	не ограничивается	1	4
394	классической риторики	2	4
395	из того	1	4
396	вероятностном мире	2	4
397	не могут	1	4
398	с ней	1	4
399	можно назвать	2	4
400	сути дела	4	4
401	и адресата	6	4
402	произведение в	2	4
403	в становлении	1	4
404	рассказ алехина	4	4
405	во мне	1	4
406	для меня	1	4
407	подобного рода	3	4
408	в данной	2	4
409	первобытного человека	2	4
410	и во	2	4
411	до конца	5	4
412	мире в	1	4
413	до известной	1	4
414	у них	3	4
415	предстает как	1	4
416	текста в	3	4
417	этом случае	1	4
418	зависит от	3	4
419	того и	1	4
420	мы имеем	8	4
421	не для	1	4
422	есть в	2	4
423	и др	2	4
424	со своим	1	4
425	свидетеля и	5	4
426	или в	3	4
427	объекта и	1	4
428	с той	1	4
429	в какой	4	4
430	однако это	1	4
431	по своему	3	4
432	на его	2	4
433	вследствие чего	1	4
434	нарративный дискурс	4	4
435	а на	4	4
436	того или	1	4
437	а к	3	4
438	в полной	1	4
439	которая может	3	4
440	а по	1	4
441	к данному	2	4
442	частности в	2	4
443	т.п но	1	4
444	человеческого сознания	2	4
445	для обозначения	2	4
446	н.д тамарченко	1	4
447	строгом значении	2	4
448	драматургического текста	1	4
449	и прежде	1	4
450	может и	1	4
451	в е	3	4
452	или напротив	3	4
453	более того	1	4
454	более не	2	3
455	человеческого присутствия	3	3
456	рассказ о	1	3
457	которая в	3	3
458	дело с	4	3
459	к числу	1	3
460	событийного ряда	2	3
461	характер и	1	3
462	рассмотренных выше	1	3
463	не бывает	1	3
464	на смену	2	3
465	более или	2	3
466	и сам	2	3
467	миметическая репрезентация	1	3
468	к другим	1	3
469	событий а	1	3
470	их в	3	3
471	места времени	1	3
472	на первый	3	3
473	первый взгляд	3	3
474	и предполагает	2	3
475	в действительности	1	3
476	в пределе	1	3
477	входит в	2	3
478	имея в	1	3
479	системы персонажей	1	3
480	речевой практики	2	3
481	принадлежащих к	1	3
482	имеем дело	5	3
483	момент в	1	3
484	речь о	1	3
485	тут же	3	3
486	о ней	4	3
487	ближе к	3	3
488	на почве	1	3
489	и он	4	3
490	вплоть до	2	3
491	в повестях	1	3
492	о событии	2	3
493	ситуации а	1	3
494	к которому	2	3
495	излагаемых событий	1	3
496	опираясь на	1	3
497	стремится к	1	3
498	и притом	3	3
499	или не	3	3
500	к чему	1	3
501	исторической поэтики	1	3
502	своего и	2	3
503	по аналогии	4	3
504	на себя	5	3
505	письма но	1	3
506	в области	5	3
507	между собой	2	3
508	как у	3	3
509	здесь как	2	3
510	о себе	1	3
511	повестях белкина	1	3
512	но как	1	3
513	выступает в	1	3
514	причастности к	1	3
515	с адресатом	1	3
516	самому себе	1	3
517	этой причине	2	3
518	одно и	1	3
519	и что	2	3
520	жанровой природы	1	3
521	в форме	1	3
522	греческой античности	1	3
523	не просто	2	3
524	но так	2	3
525	высказывания состоит	1	3
526	равной степени	1	3
527	в иных	1	3
528	было бы	4	3
529	не будучи	1	3
530	и от	3	3
531	бы быть	1	3
532	и по	3	3
533	художественной литературе	1	3
534	рассказ в	4	3
535	в точке	4	3
536	не случайно	1	3
537	имеет дело	1	3
538	угадывается в	1	3
539	этого термина	1	3
540	мире и	1	3
541	жизненного поведения	2	3
542	них в	1	3
543	и вследствие	4	3
544	принадлежат к	4	3
545	живет в	1	3
546	должна быть	3	3
547	как анекдот	1	3
548	но также	2	3
549	содержит в	1	3
550	[...] и	3	3
551	различного рода	3	3
552	истории в	6	3
553	литературного произведения	1	3
554	событие рассказывания	4	3
555	текста и	4	3
556	ориентировано на	1	3
557	оказывается в	3	3
558	говорящего и	1	3
559	в структуре	1	3
560	заключается в	2	3
561	себя с	1	3
562	в романе	6	3
563	рассказчика и	3	3
564	обоих случаях	1	3
565	отношения к	1	3
566	присутствует в	1	3
567	вместе с	2	3
568	событийного характера	1	3
569	и герой	1	3
570	перед лицом	4	3
571	не имеет	3	3
572	да и	3	3
573	о котором	5	3
574	художественной словесности	2	3
575	в следующей	2	3
576	всей своей	4	3
577	он мог	1	3
578	уже говорилось	1	3
579	но оно	1	3
580	дискурс в	2	3
581	это и	1	3
582	и более	5	3
583	это мир	2	3
584	своей собственной	1	3
585	который не	1	3
586	как наррация	1	3
587	идет о	3	3
588	но здесь	1	3
589	на том	1	3
590	автора и	1	3
591	слова и	3	3
592	значение для	1	3
593	креативной компетенции	1	3
594	на основании	1	3
595	событие является	1	3
596	рассказ с	1	3
597	в обоих	3	3
598	в речевой	2	3
599	текста к	1	3
600	заметить что	2	3
601	тем же	1	3
602	как мы	5	3
603	может оказаться	1	3
604	то она	1	3
605	к миру	1	3
606	всяком случае	3	3
607	по этой	2	3
608	а.н веселовского	1	3
609	в едином	3	3
610	рассказчика в	1	3
611	жизни не	2	3
612	нарративных стратегий	3	3
613	воззрения на	1	3
614	жизни но	1	3
615	от лат	6	3
616	ему в	2	3
617	мог быть	1	3
618	они не	3	3
619	произведения как	1	3
620	различие между	1	3
621	и было	1	3
622	мира которая	1	3
623	том числе	1	3
624	уже в	2	3
625	мы не	6	3
626	еще и	2	3
627	при встрече	1	3
628	в формах	1	3
629	коммуникативная стратегия	1	3
630	этом в	1	3
631	с их	2	3
632	место в	2	3
633	однако не	2	3
634	этого рода	1	3
635	а о	1	3
636	событийный статус	7	3
637	как целого	1	3
638	и без	1	3
639	не подлежит	2	3
640	все эти	1	3
641	или даже	2	3
642	в греческой	1	3
643	дистанцию между	1	3
644	ли не	2	3
645	не столь	1	3
646	сюжетной ситуации	1	3
647	в новом	1	3
648	нарративная интрига	6	3
649	в каждой	1	3
650	об этом	5	3
651	или менее	2	3
652	особенно в	3	3
653	знаменательно что	1	3
654	мере в	2	3
655	как коммуникативного	1	3
656	он говорит	1	3
657	а его	3	3
658	некоторого рода	1	3
659	хотя бы	2	3
660	из барышни-крестьянки	1	3
661	дело не	2	3
662	обнаруживаются в	1	3
663	в начале	3	3
664	при всем	1	3
665	с человеком	2	3
666	числе и	1	3
667	указывает на	2	3
668	рассказа в	3	3
669	слова в	3	3
670	жизни и	8	3
671	правило не	2	3
672	себе самому	1	3
673	бытия в	3	3
674	событий и	2	3
675	для этого	2	3
676	героического эпоса	1	3
677	и наконец	2	3
678	что на	4	3
679	и иные	1	3
680	котором он	2	3
681	во всем	1	2
682	мы можем	2	2
683	лицо события	2	2
684	могло произойти	1	2
685	в настоящем	2	2
686	отсылают к	3	2
687	различия в	1	2
688	нарративной стратегией	1	2
689	на происходящее	1	2
690	писателя с	3	2
691	т.е в	1	2
692	и читателем	1	2
693	все люди	1	2
694	в напряжении	1	2
695	или по	1	2
696	еще более	2	2
697	о них	4	2
698	стороны читателя	2	2
699	создает эффект	2	2
700	те же	2	2
701	которое может	2	2
702	принадлежности к	1	2
703	с собачкой	13	2
704	такова что	3	2
705	принципиально иную	1	2
706	переходит к	1	2
707	к собственному	1	2
708	как субъекта	1	2
709	данного термина	1	2
710	науках о	1	2
711	на переднем	1	2
712	в классическом	1	2
713	и с	2	2
714	жизнь в	1	2
715	нарративность в	1	2
716	но вполне	1	2
717	за ним	1	2
718	которое по	3	2
719	адресата как	1	2
720	коммуникативная ситуация	1	2
721	в.т и	1	2
722	чужому слову	1	2
723	отграниченная система	1	2
724	письма не	1	2
725	а.п чехова	1	2
726	наррации как	1	2
727	мысли о	1	2
728	собой не	1	2
729	большей или	1	2
730	тем или	1	2
731	рассказ не	1	2
732	речь идет	3	2
733	установку на	1	2
734	в гуманитарных	1	2
735	воспринимающего сознания	2	2
736	так например	2	2
737	фрейденберг и	1	2
738	значении данного	1	2
739	[...] но	1	2
740	обращение к	1	2
741	определяется не	1	2
742	нарратива в	2	2
743	большей части	4	2
744	собою не	1	2
745	изменение состояния	2	2
746	дело например	1	2
747	некоторые из	1	2
748	нарративности и	1	2
749	не могли	1	2
750	текста так	1	2
751	первого лица	1	2
752	представления о	1	2
753	о которых	2	2
754	для того	1	2
755	адресата и	1	2
756	сознания в	4	2
757	и действия	2	2
758	одной и	1	2
759	а непосредственно	1	2
760	с помощью	1	2
761	события самого	1	2
762	строго отграниченная	1	2
763	чеховского письма	1	2
764	в различных	1	2
765	обращаясь к	1	2
766	е годы	1	2
767	к которой	2	2
768	принадлежит не	1	2
769	о литературе	1	2
770	преодолеваемая даль	1	2
771	самого начала	1	2
772	точке зрения	1	2
773	указания на	1	2
774	было сказано	1	2
775	то чтобы	1	2
776	дистанция между	2	2
777	обратим внимание	3	2
778	жизни как	2	2
779	том чтобы	2	2
780	все то	1	2
781	установка на	1	2
782	записок охотника	1	2
783	в нашем	9	2
784	на него	3	2
785	в футляре	2	2
786	из трех	2	2
787	реализуется в	1	2
788	науке о	1	2
789	который в	5	2
790	нарративные стратегии	3	2
791	он сам	1	2
792	по поводу	5	2
793	общих чертах	1	2
794	интригой и	1	2
795	в.я проппа	1	2
796	является событием	2	2
797	едва ли	4	2
798	от ее	1	2
799	к нему	2	2
800	всего в	1	2
801	в науках	1	2
802	собой некий	2	2
803	ситуации и	4	2
804	события а	1	2
805	той мере	2	2
806	события свидетель	2	2
807	голос [...]	1	2
808	этого сказать	1	2
809	при сохранении	1	2
810	к их	1	2
811	системы ценностей	1	2
812	сознания с	1	2
813	х гг	3	2
814	рассказываемых событий	1	2
815	современная нарратология	5	2
816	принадлежность к	1	2
817	начала и	2	2
818	взаимодействующих сознаний	1	2
819	чем у	1	2
820	человеческого опыта	7	2
821	человек как	1	2
822	текст не	1	2
823	с другими	1	2
824	картине мира	5	2
825	не от	1	2
826	в третьем	2	2
827	у него	8	2
828	корнями к	1	2
829	некие рецептивные	1	2
830	однозначности [...]	1	2
831	в разные	1	2
832	система смыслов	1	2
833	хх столетия	1	2
834	что она	2	2
835	как его	2	2
836	восходящей к	1	2
837	но для	1	2
838	высказывания как	3	2
839	очевидно что	2	2
