N	3gram	Tiupa_Disk	Myshleni
1	в том что	18	133
2	с точки зрения	3	89
3	заключается в том	1	51
4	по отношению к	13	42
5	с одной стороны	12	39
6	с самого начала	2	36
7	то же самое	2	31
8	в этом отношении	4	30
9	в этом случае	3	27
10	вместе с тем	1	26
11	с другой стороны	4	26
12	на то что	1	25
13	о том что	8	25
14	не может быть	5	23
15	можно сказать что	3	21
16	в самом деле	1	19
17	из того что	1	19
18	в отличие от	12	18
19	состоит в том	3	18
20	во всяком случае	2	18
21	в этом смысле	1	18
22	до сих пор	1	17
23	и того же	4	17
24	как мы видели	1	17
25	в связи с	1	17
26	одного и того	4	17
27	между мыслью и	1	16
28	и то что	2	15
29	в данном случае	6	15
30	в известном смысле	1	15
31	на всем протяжении	1	14
32	друг от друга	1	14
33	в первую очередь	3	14
34	в свою очередь	3	14
35	подобно тому как	4	14
36	а с другой	4	13
37	в другом месте	1	13
38	и то же	2	12
39	в том чтобы	2	12
40	при переходе от	1	12
41	тем не менее	1	12
42	одно и то	2	12
43	в такой же	1	11
44	том что в	3	11
45	одной стороны и	3	10
46	такой же мере	1	10
47	том числе и	3	10
48	то что в	1	10
49	по своей природе	3	10
50	в том числе	3	10
51	друг на друга	1	10
52	на каждом шагу	1	10
53	по мере развития	1	10
54	не в состоянии	1	10
55	в целом и	1	9
56	как и в	3	9
57	более или менее	2	9
58	в конечном счете	2	9
59	на самом деле	1	9
60	именно в этом	1	9
61	том что он	1	9
62	только в том	2	8
63	сам по себе	1	8
64	речь идет о	2	8
65	той или иной	6	8
66	к одному и	1	8
67	не могут быть	1	8
68	что он не	1	8
69	в равной мере	1	8
70	о том как	1	7
71	и тому же	1	7
72	включает в себя	1	7
73	содержит в себе	3	7
74	одному и тому	1	7
75	в этот период	1	6
76	в обоих случаях	1	6
77	ситуации в которой	1	6
78	и тем же	1	6
79	заключает в себе	1	6
80	потому что в	2	6
81	и том же	1	6
82	только то что	2	6
83	одном и том	1	6
84	и не может	3	6
85	одним и тем	1	6
86	в том и	1	6
87	и как бы	5	5
88	не совпадает с	1	5
89	приходит к выводу	1	5
90	но все же	1	5
91	в этом заключается	1	5
92	того и другого	1	5
93	прежде всего в	2	5
94	во втором случае	1	5
95	сами по себе	2	5
96	в этом пункте	1	5
97	между собой и	1	5
98	что представляет собой	1	5
99	в свое время	3	5
100	в то же	7	5
101	только потому что	1	5
102	не только в	2	5
103	едва ли не	2	5
104	то что они	1	5
105	одни и те	1	4
106	таким же образом	1	4
107	так и в	4	4
108	между тем как	1	4
109	по аналогии с	2	4
110	что с помощью	1	4
111	в тех случаях	1	4
112	мы имеем дело	3	4
113	представляет собой не	1	4
114	об одном и	1	4
115	и тем более	1	4
116	как и все	1	4
117	в значительной степени	3	4
118	и те же	1	4
119	тому или иному	1	4
120	тому как в	1	4
121	тем же словом	1	4
122	тех случаях когда	1	4
123	в самых общих	1	3
124	на том что	1	3
125	и в другом	1	3
126	хотя бы и	1	3
127	но при этом	3	3
128	данном случае не	1	3
129	к тому же	4	3
130	или во всяком	1	3
131	то же время	9	3
132	в целом ряде	1	3
133	в результате этого	1	3
134	дело в том	3	3
135	того или иного	2	3
136	того положения что	1	3
137	и столь же	1	3
138	к которому мы	1	3
139	так например в	1	3
140	и потому что	1	3
141	тех или иных	1	3
142	в соответствии с	4	3
143	как раз и	1	3
144	говорит об этом	1	3
145	внимание на то	1	3
146	к тому или	1	3
147	той ситуации в	1	3
148	та или иная	1	3
149	а не как	2	3
150	в которой он	1	3
151	не приводит к	1	3
152	имеем дело с	1	3
153	нет и не	1	3
154	в той или	1	2
155	всего в том	1	2
156	поэтому что не	1	2
157	в этом направлении	1	2
158	решающую роль в	1	2
159	в частности в	2	2
160	не может существовать	1	2
161	именно в этой	1	2
162	к выводу о	1	2
163	но в этом	1	2
164	одновременно с этим	1	2
165	к которому он	1	2
166	лежит не в	1	2
167	в переходе от	1	2
168	во всех областях	1	2
169	и может быть	3	2
170	в этом же	1	2
171	и речевой деятельности	1	2
172	и т.п но	4	2
173	что не только	1	2
174	оно имеет свою	1	2
175	может быть в	1	2
176	в силу своей	2	2
177	один из важнейших	1	2
178	не требует от	1	2
179	не только потому	1	2
180	том что всякое	1	2
181	тем или иным	1	2
182	как и ее	1	2
183	и все же	3	2
184	по сути дела	3	2
185	в этом последнем	1	2
186	можно так выразиться	2	2
187	в одно и	2	2
188	время от времени	1	2
189	до известной степени	2	2
190	равной мере и	1	2
191	или иной мере	1	2
192	он не может	1	2
193	в котором он	1	2
194	мысли и ее	2	2
195	в том случае	1	2
196	хотя и в	2	2
197	легко заметить что	1	2
198	если можно так	2	2
199	при этом он	1	2
200	по себе не	2	2
201	заключать в себе	1	2
202	значении этого слова	1	2
203	и там где	1	2
204	точки зрения на	1	2
205	определенного рода в	1	2
206	что на деле	1	2
207	в большинстве случаев	2	2
208	том случае если	1	2
209	только по отношению	1	2
210	не столько в	1	2
211	и именно в	1	2
212	здесь как и	1	2
213	ту или иную	1	2
214	на некоторое время	1	2
215	что к этому	1	2
216	и не только	2	2
217	и мн др	3	2
218	не только по	1	2
219	к той же	1	2
220	самых общих чертах	1	2
221	во всех этих	1	2
222	в другом случае	1	2
223	быть сведено к	1	2
224	может быть сведено	1	2
225	на этом пути	1	2
226	в следующей главе	1	2
227	работа представляет собой	1	2
228	с ней в	1	2
229	тот или иной	2	2
230	тем самым он	1	1
231	одно из главных	1	1
232	с этим связан	1	1
233	все то что	1	1
234	этим путем в	1	1
235	и другого в	1	1
236	а по своей	1	1
237	к другому в	1	1
238	которое несмотря на	1	1
239	возможно только при	1	1
240	в известной степени	1	1
241	в себе как	1	1
242	в том или	1	1
243	в себя и	1	1
244	они и не	1	1
245	которые лежат в	1	1
246	говоря уже о	2	1
247	дело не в	1	1
248	идти этим путем	1	1
249	в предыдущей главе	1	1
250	во внешнем мире	1	1
251	которая состоит в	1	1
252	тем более не	1	1
253	следующим образом в	1	1
254	далеко не всегда	1	1
255	не могло быть	1	1
256	в качестве примера	2	1
257	и вообще в	1	1
258	в самом общем	2	1
259	к словесному выражению	1	1
260	внешнее по отношению	1	1
261	в любой из	1	1
262	во всяком новом	1	1
263	показать на примере	1	1
264	которое возникает в	1	1
265	особое внимание на	1	1
266	двух точек зрения	1	1
267	том что на	1	1
268	может и должен	1	1
269	не сводится к	4	1
270	то что оба	1	1
271	не может ли	1	1
272	в полной мере	1	1
273	для этого она	1	1
274	в чем не	1	1
275	воссоздания в словах	1	1
276	рассуждать исходя из	1	1
277	но также и	1	1
278	первую очередь по	1	1
279	к существенным недоразумениям	1	1
280	как одного из	1	1
281	сложный процесс расчленения	1	1
282	что во всех	1	1
283	собой как и	1	1
284	о том какое	1	1
285	и т.п и	1	1
286	как учение о	1	1
287	в основе которой	1	1
288	и все прочие	1	1
289	один из наиболее	1	1
290	а не только	2	1
291	имея в виду	1	1
292	выводу о том	1	1
293	уже одно это	1	1
294	а также и	1	1
295	в чистом виде	1	1
296	может и не	1	1
297	прежде всего как	1	1
298	его точка зрения	1	1
299	на передний план	2	1
300	с теми же	1	1
301	в данной главе	1	1
302	тогда как процесс	1	1
303	совпадают с теми	1	1
304	стороны и к	1	1
305	значение не только	1	1
306	том и в	1	1
307	то что и	2	1
308	еще и в	1	1
309	жизни сознания в	1	1
310	слова в ходе	1	1
311	прежде всего на	1	1
312	аналогично тому как	1	1
313	по крайней мере	3	1
314	случае мы имеем	1	1
315	легко показать на	1	1
316	которые в целом	1	1
317	все дело в	1	1
318	только в качестве	1	1
319	любой из этих	1	1
320	не является ни	1	1
321	еще не имели	1	1
322	чрезвычайно сложный процесс	1	1
323	имеем дело не	2	1
324	и пришел к	1	1
325	в одной из	2	1
326	прежде всего следует	1	1
327	состоит в образовании	1	1
328	или не хочет	1	1
329	с той или	2	1
330	это еще не	2	1
331	вопрос на который	1	1
332	так и на	1	1
333	одной стороны он	1	1
334	а представляет собой	1	1
335	которое может быть	2	1
336	включающее в себя	1	1
337	процесс расчленения мысли	1	1
338	постановки вопроса о	1	1
339	принципиальное различие между	1	1
340	в этом состоит	1	1
341	здесь в области	1	1
342	до наших дней	1	1
343	и на его	1	1
344	собой в сущности	1	1
345	самом общем виде	2	1
346	ни в чем	1	1
347	но все эти	1	1
348	представляет собой чрезвычайно	1	1
349	и не быть	1	1
350	и даже не	1	1
351	согласно которому в	1	1
352	как и вообще	1	1
353	во главе с	1	1
354	но они же	1	1
355	а к другому	1	1
356	что в одном	1	1
357	по своему происхождению	2	1
358	основания предполагать что	1	1
359	ни одно из	2	1
360	на определенной стадии	1	1
361	не только его	1	1
362	сомнение в правильности	1	1
363	тому на что	1	1
364	в виду как	1	1
365	не в том	3	1
366	и вследствие этого	2	1
367	в строгом смысле	1	1
368	полностью совпадает с	1	1
369	говорить не только	1	1
370	возникает в результате	1	1
371	значение в истории	1	1
372	здесь имеет место	1	1
373	в своем собственном	1	1
374	как и всякий	1	1
375	но для этого	1	1
376	в одном ряду	1	1
377	и в то	2	1
378	что в них	2	1
379	можно сказать словами	1	1
380	их сочетания и	1	1
381	не может стать	1	1
382	не только о	1	1
383	но и от	1	1
384	могла бы быть	2	1
385	а не в	2	1
386	при этом как	1	1
387	только в составе	1	1
388	или по крайней	1	1
389	и т.п в	1	1
390	но в случае	1	1
391	выступает в качестве	1	1
392	несмотря на все	1	1
393	и в современной	1	1
394	но и к	1	1
395	не могли быть	1	1
396	предполагает в качестве	1	1
397	в своем значении	1	1
398	в качестве своих	1	1
399	и заключается в	1	1
400	из той же	1	1
401	и в том	1	1
402	лишь в тех	1	1
403	друг друга и	1	1
404	представляет собой скорее	1	1
405	я и ты	1	1
406	большей или меньшей	2	1
407	равно как и	1	1
408	лежали в основе	1	1
409	природе своей предполагает	1	1
410	легко может быть	1	1
411	лежат в основе	1	1
412	не только от	1	1
413	и вне контекста	1	1
414	речи подобно тому	1	1
415	так и с	1	1
416	не последнюю роль	1	1
417	заключается прежде всего	1	1
418	по мере его	1	1
419	жизни в том	1	1
420	из них в	1	1
