N	3gram	Voloshinov	Tvorches
1	в том что	1	11
2	о том что	2	8
3	в конечном счете	2	6
4	не может быть	3	6
5	в самом деле	2	5
6	до сих пор	3	4
7	по крайней мере	3	4
8	с точки зрения	6	4
9	дело в том	1	4
10	с самого начала	4	4
11	во всяком случае	3	3
12	в году в	1	3
13	а может быть	1	2
14	в данном случае	1	2
15	для того чтобы	1	2
16	так и в	1	2
17	могут быть поняты	1	2
18	не могут быть	2	2
19	в высшей степени	1	2
20	так как он	1	2
21	таким образом и	1	2
22	в связи с	1	2
23	вместе с тем	1	2
24	вспомним хотя бы	1	2
25	в свою противоположность	1	2
26	можно сказать что	3	2
27	и та же	1	2
28	на самом деле	4	2
29	так же как	2	2
30	но отнюдь не	2	2
31	хотя и с	1	1
32	в этот момент	1	1
33	в применении к	1	1
34	и со всеми	1	1
35	ничего не говорит	1	1
36	но мы знаем	1	1
37	говорить о том	1	1
38	что в них	1	1
39	друг на друга	2	1
40	и еще одно	1	1
41	мы знаем что	1	1
42	мы по крайней	1	1
43	так ли это?	1	1
44	во многих случаях	1	1
45	и прежде всего	1	1
46	в чем не	3	1
47	в этой борьбе	1	1
48	в душе человека	1	1
49	а с другой	1	1
50	и как мы	1	1
51	заранее обречены на	1	1
52	человека и все	1	1
53	то ни было	1	1
54	и того же	1	1
55	одну и ту	1	1
56	то же самое	1	1
57	в нем нет	2	1
58	полном согласии с	1	1
59	бы то ни	1	1
60	или во всяком	1	1
61	на наших глазах	1	1
62	сих пор еще	1	1
63	на первый взгляд	1	1
64	и в этом	2	1
65	внутренний протест против	1	1
66	той или иной	1	1
67	прежде всего на	1	1
68	а вместе с	1	1
69	и ту же	1	1
70	в том смысле	1	1
71	крайней мере уже	1	1
72	со всеми его	1	1
73	имеем в виду	1	1
74	можно определить как	2	1
75	от своего имени	1	1
76	как один из	1	1
77	с одной стороны	1	1
78	каких бы то	1	1
79	форму и содержание	1	1
80	со всех сторон	1	1
81	не что иное	1	1
82	можно было бы	1	1
83	в полном согласии	1	1
84	при всей их	1	1
85	мы имеем в	1	1
86	есть прежде всего	1	1
87	же как и	1	1
88	одного и того	1	1
89	одна и та	1	1
90	что может быть	1	1
91	что иное как	1	1
92	в нем и	1	1
93	и только для	2	1
94	это и есть	1	1
95	ни в чем	3	1
96	мы не можем	1	1
97	если бы он	1	1
98	нам кажется что	2	1
