N	2gram	Tiupa_Hudo	VelikijI
1	и не	15	20
2	и в	34	16
3	так как	2	9
4	то что	13	9
5	к богу	1	8
6	еще не	10	8
7	и потому	3	7
8	что они	4	7
9	а не	23	7
10	на земле	2	7
11	к людям	2	6
12	человека и	4	6
13	хотя и	3	5
14	того что	5	5
15	все это	2	5
16	по пути	1	5
17	как бы	11	5
18	на себя	3	5
19	в мире	10	5
20	но и	13	5
21	к небытию	1	4
22	все что	4	4
23	в котором	5	4
24	в этом	22	4
25	что мы	1	4
26	потому что	7	4
27	в его	17	4
28	свою личность	1	4
29	в ней	6	4
30	так и	19	4
31	это еще	1	4
32	говорить о	4	4
33	смысла жизни	2	4
34	и все	10	4
35	что не	4	4
36	в образе	1	4
37	мировой жизни	1	4
38	что все	3	4
39	как и	16	4
40	что он	14	4
41	нет у	1	4
42	и я	1	4
43	к личности	2	4
44	в нем	5	4
45	во всех	2	3
46	что в	8	3
47	нет ничего	4	3
48	бы и	2	3
49	за ним	3	3
50	в конце	5	3
51	счастье и	1	3
52	должно быть	2	3
53	нас и	1	3
54	в первый	2	3
55	хотя бы	2	3
56	в том	24	3
57	первый раз	2	3
58	любовь к	1	3
59	тому что	8	3
60	личности и	3	3
61	не в	16	3
62	его во	1	3
63	и что	3	3
64	что и	3	3
65	же ты	1	3
66	ни в	5	3
67	они в	2	3
68	превращается в	6	3
69	в этих	7	3
70	в них	3	3
71	не было	8	3
72	лишь в	5	3
73	к чему	1	3
74	в жизни	9	3
75	что я	4	3
76	человечества и	1	3
77	и они	1	3
78	их в	2	3
79	в своей	15	3
80	никогда никогда	1	3
81	всех людей	1	3
82	с его	9	3
83	от этого	2	3
84	не имеет	2	3
85	но это	2	3
86	и для	5	3
87	жизни и	10	3
88	в чем	1	3
89	все эти	4	3
90	тот же	1	3
91	но в	6	3
92	к тому	11	3
93	за то	1	3
94	никогда не	8	3
95	людей в	1	3
96	зачем же	1	2
97	что было	3	2
98	всего в	1	2
99	во всяком	1	2
100	от него	3	2
101	его и	2	2
102	уже на	1	2
103	ее и	2	2
104	что от	1	2
105	один из	6	2
106	эти люди	2	2
107	превращаются в	1	2
108	не могли	1	2
109	в последнем	1	2
110	они и	2	2
111	которым можно	2	2
112	более чем	2	2
113	и люди	1	2
114	на том	3	2
115	его не	1	2
116	того чтобы	6	2
117	это не	12	2
118	вместо того	2	2
119	между тем	14	2
120	не только	22	2
121	для него	15	2
122	когда прошло	1	2
123	их жизнь	1	2
124	и тогда	2	2
125	с ним	6	2
126	но теперь	1	2
127	не будет	1	2
128	о свободе	1	2
129	для нас	4	2
130	и то	2	2
131	и за	1	2
132	не с	2	2
133	с тобой	1	2
134	прежде всего	12	2
135	в личности	1	2
136	для них	1	2
137	можно было	6	2
138	никогда еще	1	2
139	в форме	2	2
140	людей и	1	2
141	а между	4	2
142	вслед за	3	2
143	и это	7	2
144	мы не	2	2
145	и теперь	1	2
146	только в	8	2
147	все равно	2	2
148	а с	5	2
149	а в	11	2
150	можешь и	1	2
151	в духе	6	2
152	заботы и	1	2
153	в прошлом	1	2
154	истории и	1	2
155	и сам	3	2
156	нет и	2	2
157	ненависти и	1	2
158	и последний	1	2
159	но не	7	2
160	у людей	1	2
161	и никогда	1	2
162	тем что	6	2
163	быть личностью	3	2
164	могут быть	1	2
165	ничего и	1	2
166	с тем	1	2
167	давно уже	3	2
168	и т	15	2
169	мир от	1	2
170	одна из	4	2
171	любовь не	1	2
172	стало возможным	1	2
173	его к	1	2
174	не могут	1	2
175	т д	5	2
176	да и	5	2
177	том что	31	2
178	когда в	4	2
179	так много	1	2
180	для человека	1	2
181	но мы	2	2
182	в себя	3	2
183	что их	1	2
184	уже не	12	2
185	вопросе о	1	2
186	людей есть	1	2
187	от своей	1	2
188	людей не	1	2
189	смыслу жизни	1	1
190	о личности	2	1
191	жизни но	1	1
192	в самом	7	1
193	который он	1	1
194	жизни о	2	1
195	бы то	1	1
196	ли они	1	1
197	и человеческого	1	1
198	личностью и	3	1
199	и другие	5	1
200	то есть	1	1
201	его личности	3	1
202	и стало	1	1
203	было не	1	1
204	только себя	1	1
205	мечту о	1	1
206	человека в	10	1
207	но как	3	1
208	все в	2	1
209	и быть	4	1
210	если оно	1	1
211	что оно	1	1
212	людей от	1	1
213	любви и	3	1
214	человеческой жизни	9	1
215	речь идет	3	1
216	и столь	1	1
217	тоже не	2	1
218	будто бы	6	1
219	и на	6	1
220	ничем не	3	1
221	она и	1	1
222	вопрос о	2	1
223	от любви	1	1
224	на этом	5	1
225	же и	3	1
226	может быть	12	1
227	они не	2	1
228	что нет	1	1
229	между собою	1	1
230	к человеку	1	1
231	не имеют	3	1
232	конкретные формы	1	1
233	но часто	1	1
234	только польза	1	1
235	и было	2	1
