1	в преступлении и	2	3
2	записках из подполья	1	3
3	преступлении и наказании	2	3
4	в записках из	2	3
5	и в этом	1	2
6	не может быть	1	2
7	в этом мире	1	2
8	как и все	1	2
9	из мертвого дома	2	2
10	не могут быть	1	2
11	ставрогина и в	1	1
12	и то что	1	1
13	его ума и	1	1
14	бросается в глаза	2	1
15	по природе своей	1	1
16	в самом деле	1	1
17	униженные и оскорбленные	9	1
18	в виду не	1	1
19	одно из самых	1	1
20	сам по себе	1	1
21	не случайно достоевский	1	1
22	во всяком случае	1	1
23	со злом в	1	1
24	и не быть	1	1
25	добро и зло	1	1
26	после того как	1	1
27	в самой природе	1	1
28	бы и не	1	1
29	и не может	1	1
30	в другом разговоре	1	1
31	и все же	1	1
32	ивана карамазова в	1	1
33	о том что	2	1
34	не в силах	2	1
35	а это было	1	1
36	в том что	2	1
37	то что достоевский	1	1
38	вместо того чтобы	1	1
39	в бесах есть	1	1
40	как это часто	1	1
41	и в самом	2	1
42	приходит в голову	1	1
43	как и в	1	1
44	между этими двумя	2	1
45	смысле этого слова	1	1
46	по сравнению с	1	1
47	это должно быть	1	1
48	в братьях карамазовых	1	1
49	у достоевского не	1	1
