N	2gram	Berdyaev_M	KFilosof
1	может быть	42	45
2	в его	10	42
3	в нем	26	32
4	не может	39	29
5	и не	26	28
6	и в	61	28
7	по отношению	4	26
8	в котором	9	24
9	не есть	21	22
10	отношению к	4	22
11	в себе	12	21
12	только в	7	18
13	и его	13	18
14	в своем	17	17
15	в ее	3	17
16	а не	36	17
17	в этом	34	15
18	для него	28	13
19	как момент	1	13
20	не в	16	13
21	точки зрения	6	13
22	к нему	8	12
23	мир в	3	12
24	ни в	3	12
25	но не	8	12
26	и это	16	12
27	в своей	18	11
28	все эти	3	11
29	во всех	3	11
30	из себя	2	11
31	все это	6	10
32	это не	10	10
33	с точки	1	10
34	и есть	21	10
35	бытия и	1	10
36	и для	7	10
37	в их	4	9
38	и все	13	9
39	но и	34	9
40	как бы	10	9
41	момент его	2	9
42	не было	25	8
43	если бы	5	8
44	в мире	12	8
45	было бы	11	8
46	лишь в	8	8
47	жизни и	6	8
48	себя в	6	8
49	во всем	5	7
50	и здесь	6	7
51	этот момент	1	7
52	что и	6	7
53	должен быть	4	7
54	вовсе не	1	7
55	уже не	8	7
56	то что	10	7
57	конечно не	3	7
58	для себя	1	7
59	момент в	5	7
60	и только	1	7
61	ее и	2	6
62	должно быть	5	6
63	не значит	2	6
64	но все	1	6
65	лишь момент	4	6
66	но эта	2	6
67	менее всего	10	6
68	я не	4	6
69	не имеет	7	6
70	и я	5	6
71	в смысле	1	6
72	смысл и	1	6
73	в том	9	6
74	и их	3	6
75	и действительно	1	6
76	отношение к	9	6
77	жизнь как	1	6
78	место в	4	6
79	он не	34	6
80	но это	8	6
81	мира в	2	6
82	проникает в	3	5
83	от его	3	5
84	то же	4	5
85	ко всему	2	5
86	мы имеем	1	5
87	не только	42	5
88	с ним	5	5
89	его в	6	5
90	не проникает	1	5
91	не знает	12	5
92	в основе	4	5
93	есть лишь	23	5
94	но в	12	5
95	бы быть	1	5
96	но ведь	1	5
97	как и	14	5
98	все же	2	5
99	жизни в	3	5
100	себя и	6	5
101	бытия но	2	5
102	еще не	1	5
103	бытия как	1	5
104	что я	1	5
105	хотя бы	8	5
106	в одном	1	5
107	от своей	2	5
108	а в	4	5
109	и единственное	1	5
110	я и	3	5
111	культуры и	2	5
112	его как	2	5
113	жизни как	1	5
114	событие в	1	5
115	никогда не	30	5
116	что в	12	4
117	должна быть	7	4
118	и весь	1	4
119	что это	5	4
120	о нем	2	4
121	не как	4	4
122	для нас	3	4
123	прежде всего	18	4
124	с другим	3	4
125	в своих	4	4
126	как его	1	4
127	нет в	5	4
128	мира и	6	4
129	том что	7	4
130	в чем	3	4
131	в каком	2	4
132	входит в	3	4
133	нисколько не	1	4
134	во всей	1	4
135	не по	1	4
136	между тем	2	4
137	чем не	3	4
138	к ним	1	4
139	быть в	1	4
140	всех своих	1	4
141	себя а	1	4
142	из него	1	4
143	ближе к	1	3
144	от него	4	3
145	к единому	1	3
146	та же	4	3
147	и на	9	3
148	этого мира	3	3
149	в час	1	3
150	мы не	2	3
151	был бы	11	3
152	тогда когда	2	3
153	действительной жизни	1	3
154	и этот	4	3
155	того что	13	3
156	и этим	2	3
157	сознания и	1	3
158	на самом	2	3
159	а все	1	3
160	в виду	2	3
161	и тот	2	3
162	и делает	1	3
163	самом деле	2	3
164	прошлое и	1	3
165	ибо все	1	3
166	тем что	7	3
167	но для	2	3
168	людей и	5	3
169	не дает	1	3
170	рядом с	1	3
171	не менее	1	3
172	по своему	3	3
173	бы не	4	3
174	войти в	1	3
175	лишь как	3	3
176	себе и	4	3
177	в момент	3	3
178	в каждом	4	3
179	это и	7	3
180	бы и	8	3
181	что не	3	3
182	не могу	4	3
183	когда я	1	3
184	в свою	5	3
185	не должен	1	3
186	мира не	3	3
187	не должно	1	3
188	в другом	1	3
189	для того	4	3
190	в ней	23	3
191	ее жизни	1	3
192	быть и	2	3
193	вступает в	1	3
194	и та	2	3
195	к чему	5	3
196	от того	4	3
197	есть я	1	3
198	человека и	19	3
199	на своем	4	3
200	с человеком	2	3
201	а лишь	3	3
202	нем и	1	3
203	нет и	6	3
204	не быть	2	3
205	только с	3	3
206	могут быть	2	3
207	до конца	16	3
208	о том	5	3
209	человека вообще	1	3
210	есть момент	2	3
211	тем как	2	3
212	в то	2	3
213	для которого	1	3
214	а следовательно	1	3
215	всех этих	1	3
216	а изнутри	1	3
217	тот же	1	3
218	и тем	1	3
219	ничего не	4	3
220	бытия а	1	3
221	были бы	1	2
222	как к	2	2
223	и эти	1	2
