N	3gram	Vygotskiy_	Psycholo
1	в том что	33	78
2	для того чтобы	20	70
3	на то что	5	55
4	в самом деле	6	51
5	заключается в том	12	36
6	о том что	7	34
7	то же самое	7	31
8	с точки зрения	12	29
9	с одной стороны	10	28
10	так же точно	1	24
11	в сущности говоря	5	24
12	не может быть	4	23
13	до сих пор	3	23
14	с таким образом	1	21
15	к тому что	5	20
16	с другой стороны	8	20
17	в том чтобы	3	20
18	мы увидим что	1	19
19	на самом деле	3	17
20	мы видим что	2	16
21	не только не	7	16
22	с самого начала	8	16
23	в зависимости от	2	15
24	так же как	9	14
25	во всяком случае	2	14
26	само по себе	2	14
27	в то время	4	14
28	в этом отношении	7	14
29	можно было бы	8	13
30	то время как	4	13
31	сам по себе	1	12
32	что в этом	1	12
33	этой точки зрения	7	12
34	в конце концов	2	12
35	и той же	3	12
36	одной и той	3	12
37	то что он	3	11
38	мы никогда не	1	11
39	то что в	1	11
40	по сравнению с	9	11
41	подобно тому как	6	11
42	к тому чтобы	4	10
43	с этой точки	7	10
44	вместе с тем	4	10
45	только в том	2	10
46	и то что	6	10
47	сами по себе	1	10
48	том что он	3	10
49	он говорит что	1	9
50	никак не может	2	9
51	потому что в	4	9
52	таким образом что	2	9
53	надо сказать что	1	9
54	в отличие от	3	9
55	не то что	4	9
56	и что в	2	9
57	потому что он	7	9
58	в данном случае	3	9
59	что он не	3	9
60	в том и	1	9
61	не в состоянии	6	9
62	мы могли бы	15	9
63	чтобы увидеть что	1	9
64	и как бы	1	8
65	и то же	1	8
66	друг с другом	10	8
67	смысле этого слова	2	8
68	речь идет о	1	8
69	и таким образом	1	8
70	что в этой	1	8
71	с тем что	3	8
72	мы знаем что	2	8
73	то что она	1	8
74	так как это	3	7
75	состоит в том	7	7
76	бы сказать что	3	7
77	на этот вопрос	5	7
78	в этом смысле	5	7
79	совершенно очевидно что	1	7
80	а с другой	3	7
81	только то что	2	7
82	психологической точки зрения	2	7
83	в свою очередь	4	7
84	в какой мере	1	7
85	можно сказать что	7	7
86	именно то что	3	7
87	одно и то	1	7
88	что и в	1	7
89	совершенно прав когда	1	6
90	потому что она	1	6
91	так как она	2	6
92	сама по себе	4	6
93	с психологической точки	1	6
94	и может быть	1	6
95	было бы сказать	1	6
96	не что иное	2	6
97	которая существует между	1	6
98	же точно как	1	6
99	мы не можем	2	6
100	сводится к тому	1	6
101	и тот же	5	6
102	тем не менее	1	6
103	более или менее	1	6
104	именно потому что	3	6
105	того или иного	1	6
106	в противоречие с	1	6
107	и что следовательно	2	6
108	не только в	1	6
109	что иное как	2	6
110	при таком понимании	1	6
111	друг к другу	3	6
112	до самого конца	1	5
113	ни в каком	1	5
114	о том как	3	5
115	в собственном смысле	2	5
116	в первый раз	1	5
117	сказать что в	1	5
118	те же самые	4	5
119	таким образом все	1	5
120	и вместе с	1	5
121	образом мы видим	1	5
122	мы видим в	2	5
123	один и тот	5	5
124	в целом ряде	1	5
125	не было бы	1	5
126	и в частности	3	5
127	в том виде	1	5
128	в каком отношении	1	5
129	ту же самую	3	5
130	показывает что в	3	5
131	мы видели что	2	5
132	в том смысле	1	5
133	как бы в	1	5
134	не имеет никакого	1	5
135	в лучшем случае	3	5
136	как раз в	1	5
137	же как и	2	5
138	вместо того чтобы	5	5
139	имеет в виду	1	4
140	в применении к	1	4
141	прямо сказать что	1	4
142	если же мы	1	4
143	что эта теория	1	4
144	самом деле если	2	4
145	в настоящее время	2	4
146	это на примере	1	4
147	и того же	8	4
148	шаг за шагом	1	4
149	к тому же	1	4
150	имеет дело с	1	4
151	ничего не может	1	4
152	из того что	4	4
153	таким образом и	1	4
154	те или иные	1	4
155	собственном смысле слова	1	4
156	лежит в основе	2	4
157	таким образом мы	2	4
158	но и это	1	4
159	эта точка зрения	2	4
160	таким образом в	2	4
161	мы уже говорили	2	4
162	вопрос о том	4	4
163	это было бы	1	4
164	благодаря тому что	1	4
165	не значит что	1	4
166	одного и того	8	4
167	когда он говорит	1	4
168	том что мы	1	4
169	в этой области	3	4
170	том что в	2	4
171	и никогда не	1	4
172	мы должны будем	1	4
173	только тогда когда	2	4
174	и не может	3	4
175	внимание на то	1	4
176	говорит что в	1	4
177	от того что	6	4
178	все более и	3	4
179	же самое что	2	4
180	если мы хотим	1	4
181	более и более	3	4
182	того чтобы увидеть	1	4
183	принять во внимание	3	4
184	на то как	1	4
185	прибавим к этому	1	3
186	если мы примем	1	3
187	в себя и	1	3
188	и в другом	3	3
189	в прямом смысле	1	3
190	одни и те	1	3
191	друг от друга	5	3
192	как это мы	2	3
193	приходит к выводу	1	3
194	нечто такое что	1	3
195	по аналогии с	2	3
196	что это не	1	3
197	по прямой линии	1	3
198	а не только	1	3
199	так как в	1	3
200	могли бы сказать	3	3
201	мы не имеем	1	3
202	по отношению к	19	3
203	имел в виду	1	3
204	это не так	1	3
