N	2gram	Savitsky_P	DiskursI
1	в качестве	9	72
2	а не	2	60
3	может быть	5	56
4	не только	17	49
5	и в	14	49
6	как и	1	47
7	и не	12	44
8	в том	9	44
9	представляет собой	1	41
10	том что	4	40
11	в этом	10	38
12	в себе	3	37
13	в частности	2	36
14	но и	6	35
15	но не	3	31
16	отличие от	1	28
17	со стороны	2	28
18	но в	9	28
19	в отличие	1	27
20	не может	4	27
21	отнюдь не	2	23
22	еще не	1	23
23	в рамках	1	23
24	а также	4	20
25	все же	1	19
26	в нем	3	19
27	прежде всего	3	19
28	далеко не	1	18
29	то же	9	17
30	в данном	1	17
31	с другой	5	17
32	в мире	2	17
33	точки зрения	3	16
34	только в	7	16
35	то что	4	15
36	в его	2	15
37	не менее	2	14
38	одной стороны	3	14
39	с одной	3	14
40	не в	5	14
41	ни к	1	14
42	это не	3	14
43	или иной	1	14
44	как бы	4	13
45	ведет к	1	12
46	в своем	4	12
47	и на	1	12
48	по природе	1	11
49	не было	2	11
50	столь же	3	11
51	что в	4	11
52	с его	1	11
53	и как	3	11
54	не столько	2	10
55	а с	1	10
56	а в	4	10
57	же время	7	10
58	также и	1	10
59	в них	2	9
60	себя в	1	9
61	между тем	3	9
62	в силу	2	9
63	в то	7	9
64	сводится к	3	9
65	еще в	1	9
66	тем самым	3	9
67	в этих	1	8
68	в котором	4	8
69	в творчестве	1	8
70	из них	2	8
71	хотя и	3	8
72	в себя	1	8
73	если в	2	8
74	потому что	3	8
75	не с	1	8
76	и о	5	8
77	другой стороны	1	7
78	в русской	4	7
79	что и	1	7
80	его в	1	7
81	в этой	1	7
82	могут быть	3	7
83	например в	2	7
84	в пределах	8	7
85	в ходе	1	7
86	и ее	1	7
87	не как	1	6
88	одно из	1	6
89	именно в	2	6
90	одна из	2	6
91	никогда не	1	6
92	с точки	3	6
93	в ее	2	6
94	во всех	2	6
95	и то	1	6
96	в которых	5	6
97	в истории	1	6
98	одновременно и	1	6
99	в эпоху	1	6
100	можно говорить	1	5
101	из двух	1	5
102	по стилю	1	5
103	мысль о	2	5
104	в ряду	2	5
105	было в	2	5
106	говорить о	2	5
107	не вполне	1	5
108	в прошлом	1	5
109	к ним	1	5
110	как раз	2	5
111	я и	3	5
112	с ее	1	5
113	представляют собой	1	5
114	в значительной	2	5
115	переход от	2	5
116	того что	2	5
117	в ней	6	5
118	и потому	4	5
119	из этих	1	5
120	стороны и	2	5
121	не к	2	5
122	в самом	1	4
123	и к	4	4
124	в результате	1	4
125	и само	1	4
126	в жизни	2	4
127	во всяком	1	4
128	восходит к	1	4
129	только на	1	4
130	по преимуществу	1	4
131	к жизни	1	4
132	не о	2	4
133	полной мере	2	4
134	что не	1	4
135	не есть	1	4
136	по себе	4	4
137	в исторической	1	4
138	и это	2	4
139	и весьма	2	4
140	и тем	2	4
141	это в	1	4
