N	3gram	Medvedev_V	Problemy
1	то же время	5	26
2	в то же	5	26
3	по отношению к	7	18
4	и т п	9	18
5	в этом смысле	1	16
6	не может быть	8	14
7	но в то	1	11
8	в конце концов	2	11
9	до сих пор	2	10
10	в самом деле	1	9
11	с другой стороны	8	9
12	во всяком случае	2	9
13	в том что	5	8
14	и не может	2	8
15	сама по себе	1	7
16	и в то	3	7
17	и т д	16	7
18	как и все	1	6
19	в той или	1	5
20	хотя бы и	5	5
21	в зависимости от	5	5
22	к тому же	1	5
23	той или иной	1	5
24	по крайней мере	2	5
25	но все же	1	5
26	подобно тому как	3	5
27	можно было бы	2	5
28	сами по себе	1	4
29	а между тем	1	4
30	более или менее	6	4
31	как если бы	1	4
32	может быть даже	1	4
33	о том что	3	4
34	в этом отношении	14	4
35	хотя и не	1	4
36	он и не	1	4
37	может быть и	1	4
38	все то что	1	3
39	для него в	2	3
40	в братьях карамазовых	1	3
41	можно сказать что	4	3
42	и то же	1	3
43	каждый из них	1	3
44	в данном случае	1	3
45	не только не	2	3
46	это вовсе не	1	3
47	на то что	1	3
48	большей или меньшей	3	3
49	как мы знаем	1	3
50	на этот вопрос	1	3
51	в большей или	2	3
52	все же не	1	3
53	то все же	1	3
54	одно и то	1	3
55	или меньшей степени	2	3
56	в этом случае	1	3
57	в то время	1	3
58	т е в	2	3
59	то время как	1	3
60	что он не	1	2
61	в письме к	11	2
62	как будто бы	1	2
63	и в другом	2	2
64	того или другого	1	2
65	в том же	1	2
66	для того чтобы	3	2
67	никогда не может	1	2
68	в свою очередь	1	2
69	у него в	1	2
70	т е не	1	2
71	вместе с тем	4	2
72	между этими двумя	1	2
73	романов достоевского и	1	2
74	он сам по	1	2
75	в том или	1	2
76	и по отношению	1	2
77	о том же	3	2
78	то же самое	1	2
79	к тому что	4	2
80	только то что	2	2
81	т п все	1	2
82	в одном из	4	2
83	но она не	1	2
84	уже сама по	1	2
85	этой точки зрения	2	2
86	то что в	1	2
87	как один из	1	2
88	в художественном творчестве	5	2
89	все эти определения	1	2
90	таким образом и	1	2
91	что он в	1	2
