N	4gram	Bakhtin_fo	Komedia
1	в то же время	10	16
2	в то время как	2	9
3	ни в чем не	3	3
4	в том числе и	4	3
5	само собой разумеется что	2	3
6	до сих пор не	1	3
7	с этой точки зрения	1	2
8	с одной стороны и	2	2
9	в том что в	1	2
10	в тех случаях когда	1	2
11	одних и тех же	2	2
12	и в то же	6	2
13	мы имеем в виду	2	2
14	и до сих пор	1	1
15	с самого начала не	1	1
16	то же время он	1	1
17	друг с другом и	1	1
18	но вместе с тем	1	1
19	по своему содержанию и	1	1
20	для того чтобы не	1	1
21	жизни но и в	1	1
22	в то время когда	1	1
23	и т п в	1	1
24	с другой стороны в	1	1
25	как и во всех	1	1
26	в том что они	1	1
27	в связи с этим	4	1
28	только в том что	1	1
29	в основе его лежит	1	1
30	как мы уже знаем	1	1
31	же что и в	1	1
32	под тем же названием	1	1
33	она ни в чем	1	1
34	одного и того же	6	1
35	в соответствии с этим	2	1
36	в это время и	1	1
37	потому что весь этот	1	1
38	до сих пор еще	1	1
39	сводится к тому что	1	1
40	так же как и	2	1
41	дошедший до нас в	1	1
42	одна и та же	2	1
43	у великих французских реалистов	1	1
